次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V89No
1次,ラベル一覧（仕入商品リスト）,一覧表示画面,商品ID,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_items.id,D,商品マスタ（設定）,-,infomart_items.id,-,-,375
1次,ラベル一覧（仕入商品リスト）,一覧表示画面,商品名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_items.name,D,商品マスタ（設定）,-,infomart_items.name,-,-,377
1次,ラベル一覧（仕入商品リスト）,一覧表示画面,費目名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,monthly_cost_items.name,D,費目マスタ（設定）,-,monthly_cost_items.name,-,-,378
1次,ラベル一覧（仕入商品リスト）,一覧表示画面,ラベル名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,item_labels.label_name,D,ラベルマスタ（設定）,-,item_labels.label_name,-,-,379
1次,ラベル一覧（売上商品リスト）,一覧表示画面,発注先ID,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_clients.id,D,発注先マスタ（設定）,-,infomart_clients.id,-,-,380
1次,ラベル一覧（売上商品リスト）,一覧表示画面,発注先名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_clients.name,D,発注先マスタ（設定）,-,infomart_clients.name,-,-,381
1次,ラベル一覧（売上商品リスト）,一覧表示画面,ラベル名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,sales_item_labels.label_name,D,ラベルマスタ（設定）,-,sales_item_labels.label_name,-,-,382
1次,ラベル一覧（発注先リスト）,一覧表示画面,商品ID,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_items.id,D,商品マスタ（設定）,-,infomart_items.id,-,-,383
1次,ラベル一覧（発注先リスト）,一覧表示画面,商品名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_items.name,D,商品マスタ（設定）,-,infomart_items.name,-,-,384
1次,ラベル一覧（発注先リスト）,一覧表示画面,ラベル名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,client_labels.label_name,D,ラベルマスタ（設定）,-,client_labels.label_name,-,-,385
