No,カテゴリ,指標A属性,指標B属性,併記可否,理由,対応策,例
C-01,期間粒度,日次指標,月次指標,△条件付き,日次は月次の構成要素として表現可能だが、粒度違いで混乱,月次表示では日次平均または合計に集約,日次売上+月次目標
C-02,期間粒度,月次指標,年次指標,△条件付き,年次は月次の累積、同列表示なら年次を別カラムに分離,年次列は別セクションで表示,月次営業利益+年間営業利益累計
C-03,期間粒度,リアルタイム指標,月次指標,×併記不可,更新頻度が大きく異なる（秒単位vs月単位）,別ダッシュボードで分ける,リアルタイム売上速報+月次予算
C-04,期間粒度,日次指標,年次指標,×併記不可,粒度差2段階以上で意味が薄い,日次は当月の折れ線、年次は別表で,日次売上+年間予算達成率
C-05,スコープ,単店舗指標,全店舗指標,△条件付き,会社画面では全店がデフォルト、単店は比較のため,店舗選択ディメンションで切替,店舗Aの売上+全社売上シェア
C-06,スコープ,単店舗指標,店舗ラベル別指標,○可能,同じディメンションで並べられる,ラベルディメンション選択時に表示,店舗ラベル別FL率+店舗別FL率
C-07,スコープ,全店舗指標,店舗ラベル別指標,○可能,集計階層として共存可,階層表示（合計→ラベル→店舗）,全社売上+ラベル別売上
C-08,単位,金額,率,○可能,別列として自然に並べられる,列幅・書式を分ける,売上+FD仕入率
C-09,単位,金額,個数,○可能,別列として問題なし,書式分離,売上+客数
C-10,単位,率,率,○可能,同種属性なので比較しやすい,グルーピング推奨,FL率+達成率+成長率
C-11,単位,金額,時間,△条件付き,直接比較は困難,別グループとして配置,売上+営業時間
C-12,集計,SUM系,SUM系,○可能,加算可能、合計行が意味を持つ,合計行必要,売上+仕入+人件費
C-13,集計,SUM系,AVG系(客単価),△条件付き,合計行でAVG系は加重平均にする必要,加重平均ルール明記,売上+客単価+FD仕入率
C-14,集計,SUM系,率系,△条件付き,合計行で率を平均すると誤り,合計行での率は再計算,売上+FL率
C-15,集計,AVG系,AVG系,△条件付き,平均の平均はデータ歪み可能性,加重平均を使用,客単価+平均商品単価
C-16,集計,率系,率系,○可能,分母が同じなら加算可、違うなら並列,率の合算は意味確認,FL率+FLR率+原価率
C-17,集計,MAX/MIN系,SUM系,×併記不可,意味が異なる,別テーブル,最大日商+月次売上合計
C-18,確定度,実績値(確定),予算値(固定),○可能,予実対比の基本ペア,予実セット表示が自然,実績売上+予算売上+予実差額
C-19,確定度,実績値,予測値(変動),○可能,進捗管理に有用,予測の算出根拠を明記,当月実績+当月着地見込+月次予算
C-20,確定度,予算値,目標値,○可能,予算=目標or予算≠目標の場合あり,両者の差を説明,予算売上+目標売上
C-21,確定度,マスタ値(固定),トランザクション値,○可能,ディメンションとしてマスタを使用,マスタは値として集計しない,店舗名+店舗別売上
C-22,依存,商品ディメン時の指標,時間帯ディメン時の指標,×併記不可,ディメンションが競合,どちらか選択,商品別売上+時間帯別売上(同時不可)
C-23,依存,店舗ディメン時の指標,商品ディメン時の指標,△条件付き,店舗x商品のクロス集計として可能,2次元ディメンションクロス対応,店舗別商品別売上マトリクス
C-24,依存,全体指標,ディメンション分解指標,○可能,全体合計+詳細分解の典型,ドリルダウン対応,全社売上+ラベル別売上+店舗別売上
C-25,特殊,4次指標,5次指標,○可能,5次は4次の派生,注記で依存関係明示,FL率+店舗間FL率偏差
C-26,特殊,実績のみ指標,予算がない指標,△条件付き,予実対比で予算列が空白,空欄明示、または対比列を非表示,客単価+予算XX(なし)
C-27,特殊,数値指標,フラグ/区分指標,×併記不可,集計方法が全く異なる,フラグは別列or非表示,売上+営業ステータス
C-28,特殊,スナップショット◎指標,×不要指標,○可能,内部処理の違いだけ,読込速度差あり,予算対比率(◎)+商品名(×)
