セクション,機能名,機能説明,UI要素,選択肢／パラメータ,デフォルト値,制約・注意,関連指標
ディメンション,店舗コンテキスト,表示中の自店舗,ヘッダー表示（固定）,自店舗のみ,自店舗,会社画面の多店舗比較指標は無効化,shops.id
ディメンション,期間選択,データ集計対象の期間,カレンダー期間選択UI,カスタム期間 / 当日 / 当月 / 先月 / 直近7日 / 直近30日 / 直近3ヶ月 / 当年度,当月,日次〜年次まで対応,年月日
ディメンション,比較期間選択,比較用の期間,カレンダー期間選択UI,なし / 前日 / 前週 / 前月 / 前年同期,前月,比較表示時のみ,-
ディメンション,時系列粒度,期間内のデータ刻み,セレクトボックス,日次 / 週次 / 月次,月次,日次最大31日,-
ディメンション,商品ディメンション,商品軸での分解,セレクトボックス,なし / フード/ドリンク / 個別商品 / ABCランク,なし,商品系指標のみ併記可,商品マスタ(1次)
ディメンション,費目ディメンション,費目軸での分解,セレクトボックス,なし / 大分類 / 個別費目,なし,費用系指標のみ併記可,費目マスタ(1次)
ディメンション,時間帯ディメンション,時間帯軸での分解,セレクトボックス,なし / ランチ/ディナー / 2時間刻み / 曜日別,なし,POS系指標のみ,POS時間帯(1次)
ディメンション,仕入先ディメンション,仕入先軸での分解,セレクトボックス,なし / 主要仕入先 / 全仕入先,なし,仕入系指標のみ,仕入先マスタ(1次)
指標列,指標ピッカー,表示する指標を選択,モーダル,店舗V89の全1次〜5次指標（892件）,前回選択,併記不可は警告,店舗画面全指標
指標列,指標検索,指標名検索,検索ボックス,部分一致,-,-,-
指標列,指標絞込,属性フィルタ,チェックボックス,次数 / 経営重要度 / スナップショット対象 / 画面タイプ / カテゴリ,重要度S+A,-,-
指標列,指標グルーピング,指標のまとまり,ドラッグ&ドロップ,売上系 / 原価系 / 人件費系 / 経費系 / 客数系 / カスタム,自動判定,1グループ最大15,-
指標列,グループ内表示順,指標の順序,ドラッグ&ドロップ+ソート,表示順 / 昇順 / 降順 / 重要度順 / カスタム,カスタム,-,-
集計表,X軸Y軸切替,行列の入れ替え,トグルボタン,標準 / 転置,標準,-,-
集計表,行の並び順,行ソート,ソートアイコン,表示順 / 昇順 / 降順,表示順,-,-
集計表,列の並び順,列ソート,ドラッグ&ドロップ,表示順 / グループ内昇/降順,表示順,グループまたぎ不可,-
集計表,小計・合計行,合計表示,チェックボックス,なし / 期間合計 / 時間帯別小計,期間合計,AVG系は注意,-
集計表,表示形式,セル表示,セレクトボックス,値のみ / 値+前月比差 / 値+前月比率 / 値+予実差額 / 値+予算対比率 / 値+目標差 / ヒートマップ,値+予算対比率,-,-
集計表,閾値ハイライト,色分け,条件設定UI,達成率90%未満で赤 / 前月比-5%超で赤 / カスタム,達成率90%未満で赤,-,-
操作,レポート保存,保存,ボタン,プライベート / 店舗内共有,プライベート,店舗内の他店長とは共有不可,-
操作,レポート呼出,呼出,サイドパネル,-,-,-,-
操作,エクスポート,外部出力,ボタン,CSV / Excel / PDF,Excel,-,-
操作,ドリルダウン,詳細表示,セルクリック,時系列 / 日次内訳 / 商品内訳,時系列,-,-
操作,自動更新,更新間隔,トグル,オフ / 5分 / 30分,オフ,POS連携データは5分推奨,-
操作,モバイル対応,スマホ表示,画面切替,PC / タブレット / スマホ縦 / スマホ横,自動判定,スマホは指標最大5列,-
