No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照1-4次指標(V89/V69),判断基準・閾値目安,関連画面,データ基盤要件,備考
H-01,本部管理者,統制,全店舗日次売上達成率,5次,日次,全店の業績を日次で一覧把握、未達店舗の早期発見,店舗別(日次売上÷日次予算)×100 の全店一覧,赤/黄/緑で閾値別にハイライト,"日次売上(1次), 日次予算(3次)",95%以上:緑 / 85-95%:黄 / 85%未満:赤,"店舗別サマリー, 当月実績",日次予算の按分データ必要,朝会・午前ミーティングで確認
H-02,本部管理者,在庫管理,店舗別在庫残日数,5次,週次,仕入過剰/欠品リスクの検知、発注支援,期末在庫金額 ÷ 日次使用金額（平均）,主要食材別。冷凍/冷蔵/常温で分離可能,"棚卸金額(3次), 仕入金額(2次)",3-7日:適正 / 10日超:過剰在庫 / 2日未満:欠品リスク,"棚卸, 棚卸詳細, 商品別仕入分析",棚卸頻度週次以上が前提,食中毒リスク管理にも使用
H-03,本部管理者,統制,人件費日次予実乖離,5次,日次,人件費の予算超過を早期検知,(日次実績人件費 - 日次予算人件費) ÷ 日次予算人件費,全店横断でアラート表示,"人件費(2次), 人件費予算(3次)",±5%:許容 / +10%超:要確認,"店舗別人件費, PA人件費率分析",日次シフト×時給データの整備必要,本部から店長へ自動通知推奨
H-04,本部管理者,統制,実績入力遅延店舗リスト,5次,日次,データ入力コンプライアンス、本部集計遅延防止,前日までの実績入力が未完了の店舗一覧,日次売上・経費・棚卸の入力状態チェック,"入力ステータス(1次), 締切日(マスタ:1次)",当日正午までに全店入力完了が目標,"費用実績入力, 売上経費入力（売上）, 棚卸",入力タイムスタンプの記録必要,督促自動化も視野
H-05,本部管理者,統制,発注遅延店舗数,5次,日次,発注締切超過の検知,発注締切を過ぎた店舗数 / 全店数 × 100,仕入先別の締切管理,"発注日時(1次:納品書撮影 or 発注書一覧), 発注締切(マスタ:1次)",0%が目標 / 10%超で要対応,"発注書一覧, 納品書管理",発注締切マスタ整備必要,仕入先との関係維持
H-06,本部管理者,品質管理,納品差異サマリー（全店）,5次,日次,納品トラブルの全社集計、仕入先別問題把握,店舗×仕入先×日別の納品差異件数,差額・欠品・過剰の種別管理,"納品差異(2次), 仕入先(1次)",差異5件以上/日で要調査,"納品書管理, 納品書詳細",既存データから集計可能,仕入先評価にも使用
H-07,本部管理者,品質管理,店舗監査未実施リスト,5次,週次,定期監査の実施管理,前回監査から規定日数経過した店舗一覧,衛生・接客・運営の各監査区分別,"監査実施日(1次 要追加), 監査スケジュール(マスタ:1次)",規定サイクル内100%実施が目標,-（新規画面）,監査スケジュール管理機能の追加必要,コンプライアンス管理
H-08,本部管理者,リスク,閉店リスクスコア,5次,月次,継続営業リスクの早期警戒,営業利益率 × 売上成長率 ÷ 100,両方マイナスで危険信号。3ヶ月連続赤で対策,"営業利益率(4次), 売上成長率(4次)",>0:健全 / -5〜0:監視 / <-5:赤信号,"店舗別サマリー, 店舗ラベル別サマリー",時系列データ必要,閉店判断の補助指標
H-09,本部管理者,人的資源,店舗別労働分配率,5次,月次,人件費の粗利比率、店舗別人員適正化,人件費 ÷ 粗利 × 100,労働分配率。飲食業は40-50%が目安,"人件費(2次), 粗利(3次)",40%以下:優良 / 40-50%:標準 / 50%超:要改善,"店舗別人件費, PA人件費率分析",既存指標ベースで算出可能,業態依存
H-10,本部管理者,統制,達成率変動係数,5次,月次,予算達成率のばらつき、管理安定性指標,店舗別予算達成率の標準偏差 ÷ 平均,CV（変動係数）。低いほど均質な運営,"予算対比率(4次), 店舗別平均(4次)",0.1以下:非常に安定 / 0.3超:ばらつき大,"予算一覧（予算構成）, 予実対比（一覧）",既存データから算出,安定性評価の補助指標
H-11,本部管理者,成長性,新店vs既存店パフォーマンス,5次,月次,新店の立ち上がりペース評価,新店平均KPI ÷ 既存店平均KPI,売上・利益・客単価等で複合評価,"店舗ラベル(1次:新店フラグ), 各種業績指標(2-4次)",80%以上:立ち上がり順調 / 60%未満:要てこ入れ,"店舗別サマリー, 年間予実対比",新店フラグのラベル管理必要,新店の定義（開業後N月）を決定
H-12,本部管理者,人的資源,ヘルプ人件費率,5次,月次,応援人件費の恒常化チェック、採用計画の根拠,ヘルプ人件費 ÷ 総人件費 × 100,ヘルプが多い=固定人員不足の可能性,"ヘルプ人件費(2次), 総人件費(3次)",5%以下:健全 / 15%超:採用増強検討,"PA人件費率分析, 店舗別人件費",既存データから算出可能,繁忙期は一時的上昇許容
H-13,本部管理者,統制,全店舗異常検知アラート,5次,日次,売上/客数/在庫の異常変動を全店横断で監視,各指標のZスコア >= 2 の店舗一覧,統計的外れ値検出,"各種業績指標(2-4次), 過去平均・標準偏差(計算用)",Zスコア2以上:要確認 / 3以上:緊急調査,"ダッシュボード.主要KPI指標, 異常検知フラグ",過去データの保持が必要,即時アラート通知機能
H-14,本部管理者,効率,本部間接コスト配賦率,5次,月次,本部コストの店舗別按分、真の店舗収益性把握,本部コスト ÷ 全店舗売上 × 店舗別売上,配賦基準は売上 or 固定費 or 均等,"本部コスト(1次 要追加), 店舗別売上(2次)",営業利益への影響度を確認,-（新規画面）,本部コストの費目別入力必要,連結収益性評価
