次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V69No
1次,ユーザー,設定入力画面,ラクミーID,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.id,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.id,-,-,1
1次,ユーザー,設定入力画面,氏名,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.name,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.name,-,-,2
1次,ユーザー,設定入力画面,電話番号,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.phone_number,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.phone_number,-,-,3
1次,ユーザー,設定入力画面,ユーザー識別（本部、一般）,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.role,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.role,-,-,4
1次,ユーザー,設定入力画面,ステータス,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,users.status,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.status,-,-,5
1次,ラベル一覧,一覧表示画面,店舗ID,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.id,D,店舗マスタ（設定）,ラベルデータの一覧表示,shops.id,-,-,159
1次,ラベル一覧,一覧表示画面,店舗名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.name,D,店舗マスタ（設定）,ラベルデータの一覧表示,shops.name,-,-,160
1次,ラベル一覧,一覧表示画面,ラベル名,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shop_labels.label_name,D,ラベルマスタ（設定）,ラベルデータの一覧表示,shop_labels.label_name,-,-,161
1次,ラベル設定（ラベル）,設定入力画面,ラベルID,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.id,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.id,-,-,6
1次,ラベル設定（ラベル）,設定入力画面,ラベル名,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.name,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.name,-,-,7
