次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,用途・機能説明,概念式／演算ロジック,判断基準・閾値目安,依存先指標,データ基盤要件,V69No/戦略No
1次,本部管理者,ユーザー,設定入力画面,ラクミーID,,,,,L0,-,本部ユーザーの管理設定,マスタ参照,-,-,既存(V89/V69),1
1次,本部管理者,ユーザー,設定入力画面,氏名,,,,,L0,-,本部ユーザーの管理設定,マスタ参照,-,-,既存(V89/V69),2
1次,本部管理者,ユーザー,設定入力画面,電話番号,,,,,L0,-,本部ユーザーの管理設定,マスタ参照,-,-,既存(V89/V69),3
1次,本部管理者,ユーザー,設定入力画面,ユーザー識別（本部、一般）,,,,,L0,-,本部ユーザーの管理設定,マスタ参照,-,-,既存(V89/V69),4
1次,本部管理者,ユーザー,設定入力画面,ステータス,,,,,L0,-,本部ユーザーの管理設定,フラグ,-,-,既存(V89/V69),5
1次,本部管理者,ラベル一覧,一覧表示画面,店舗ID,,,,,L0,-,ラベルデータの一覧表示,マスタ参照,-,-,既存(V89/V69),159
1次,本部管理者,ラベル一覧,一覧表示画面,店舗名,,,,,L0,-,ラベルデータの一覧表示,マスタ参照,-,-,既存(V89/V69),160
1次,本部管理者,ラベル一覧,一覧表示画面,ラベル名,,,,,L0,-,ラベルデータの一覧表示,マスタ参照,-,-,既存(V89/V69),161
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,ラベルID,,,,,L0,-,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,マスタ参照,-,-,既存(V89/V69),6
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,ラベル名,,,,,L0,-,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,マスタ参照,-,-,既存(V89/V69),7
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,棚卸し,,,,,L0,-,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,フラグ,-,-,既存(V89/V69),8
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,ステータスフラグ,,,,,L0,-,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,フラグ,-,-,既存(V89/V69),9
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,店舗ID,,,,,L0,-,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,マスタ参照,-,-,既存(V89/V69),10
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,店舗名,,,,,L0,-,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,マスタ参照,-,-,既存(V89/V69),11
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,ラベル名,,,,,L0,-,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,マスタ参照,-,ラベル設定（ラベル）.ラベル名; 店舗管理.店舗名,既存(V89/V69),12
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,ステータスフラグ,,,,,L0,-,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,フラグ,-,-,既存(V89/V69),13
1次,本部管理者,店舗管理,設定入力画面,店舗名,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),14
1次,本部管理者,店舗管理,設定入力画面,電話番号,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),15
1次,本部管理者,店舗管理,設定入力画面,郵便番号,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),16
1次,本部管理者,店舗管理,設定入力画面,都道府県,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),17
1次,本部管理者,店舗管理,設定入力画面,住所,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),18
1次,本部管理者,店舗管理,設定入力画面,建物,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),19
1次,本部管理者,店舗管理,設定入力画面,業種,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),20
1次,本部管理者,店舗管理,設定入力画面,業態,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),21
1次,本部管理者,店舗管理,設定入力画面,総卓数,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),22
1次,本部管理者,店舗管理,設定入力画面,総席数,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),23
1次,本部管理者,店舗管理,設定入力画面,坪数,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),24
1次,本部管理者,店舗管理,設定入力画面,家賃種別,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),25
1次,本部管理者,店舗管理,設定入力画面,家賃（金額）,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),26
1次,本部管理者,店舗管理,設定入力画面,初期投資額,,,,,L0,-,店舗情報の登録・編集,マスタ参照,-,-,既存(V89/V69),27
1次,本部管理者,従業員管理,設定入力画面,従業員コード,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),28
1次,本部管理者,従業員管理,設定入力画面,所属コード,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),29
1次,本部管理者,従業員管理,設定入力画面,店舗ID,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),30
1次,本部管理者,従業員管理,設定入力画面,店舗名,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),31
1次,本部管理者,従業員管理,設定入力画面,区分（月給時給）,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),32
1次,本部管理者,従業員管理,設定入力画面,総支給額,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),33
1次,本部管理者,従業員管理,設定入力画面,所定労働時間,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),34
1次,本部管理者,従業員管理,設定入力画面,みなし残業時間,,,,,L0,-,従業員情報の登録・編集,マスタ参照,-,-,既存(V89/V69),35
1次,本部管理者,月次レポート,分析画面,店舗名,,,,,L0,-,月次の経営レポート,マスタ参照,-,[マスタ]shops.name,既存(V89/V69),149
1次,本部管理者,棚卸詳細,一覧表示画面,実施日,,,,,L0,-,棚卸データの詳細表示,日付,-,-,既存(V89/V69),166
1次,本部管理者,棚卸詳細,一覧表示画面,カテゴリ,,,,,L0,-,棚卸データの詳細表示,マスタ参照,-,-,既存(V89/V69),168
1次,本部管理者,棚卸詳細,一覧表示画面,ラベル,,,,,L0,-,棚卸データの詳細表示,マスタ参照,-,-,既存(V89/V69),169
1次,本部管理者,棚卸詳細,一覧表示画面,在庫数量,,,,,L0,-,棚卸データの詳細表示,入力値,-,-,既存(V89/V69),170
1次,本部管理者,棚卸詳細,一覧表示画面,商品単価,,,,,L0,-,棚卸データの詳細表示,入力値,-,-,既存(V89/V69),171
1次,本部管理者,納品書管理,一覧表示画面,店舗名,,,,,L0,-,納品書データの管理,マスタ参照,-,-,既存(V89/V69),176
1次,本部管理者,費用実績入力,実績入力画面,経費項目,,,,,L0,-,費用実績の入力・管理,入力値,-,-,既存(V89/V69),36
1次,本部管理者,費用実績入力,実績入力画面,経費コード,,,,,L0,-,費用実績の入力・管理,入力値,-,-,既存(V89/V69),37
1次,本部管理者,費用実績入力,実績入力画面,税区分,,,,,L0,-,費用実績の入力・管理,入力値,-,-,既存(V89/V69),39
1次,本部管理者,費用実績入力,実績入力画面,日付,,,,,L0,-,費用実績の入力・管理,日付,-,-,既存(V89/V69),40
1次,本部管理者,費用実績入力,実績入力画面,金額,,,,,L0,-,費用実績の入力・管理,入力値,-,-,既存(V89/V69),42
1次,本部管理者,費目別仕入分析,分析画面,費目,,,,,L0,-,費目別の仕入分析,費目マスタ,-,[マスタ]monthly_cost_items.name,既存(V89/V69),151
2次,本部管理者,ABC分析,分析画面,,商品,,,,L1,同画面内,商品別売上のABC分析,商品マスタ,-,[外部]TITEM.item_name,既存(V89/V69),44
