No,指標名,区分,判定,Phase,必要データ,実装要件,理由・メモ
E-01,全社営業利益率,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
E-02,全社EBITDA,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存データ
E-03,全社売上成長率,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
E-07,固定費カバー率,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
E-08,感度分析スコア,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存画面あり
E-09,シナリオ別予測利益,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存画面拡張可
E-11,業態別収益性ランキング,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
E-12,年間KGI達成ペース,経営会議用戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,算出可
H-02,店舗別在庫残日数,本部管理者向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,棚卸+仕入で算出可
H-06,納品差異サマリー,本部管理者向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,発注書+納品書で算出可
H-08,閉店リスクスコア,本部管理者向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,営業利益率+成長率で算出可
H-09,店舗別労働分配率,本部管理者向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,人件費+粗利で算出可
H-10,達成率変動係数,本部管理者向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,予実データあり
H-12,ヘルプ人件費率,本部管理者向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,既存データ
H-13,全店舗異常検知アラート,本部管理者向け戦略指標,○既存,Phase 1 (即時実装),既存データあり,なし,過去統計データで算出可
HB-01,全店売上総額前月比,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,集計
HB-02,全店客数前月比,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,集計
HB-03,全店平均客単価,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,集計
HB-04,全店FL率(加重),会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,加重平均
HB-05,全店粗利率,会社追加指標,○既存,Phase 1 (即時実装),既存データあり,なし,加重平均
