ラクミー経営管理 店舗画面 データソース定義表 V42（修正版）
作成日: 2025年12月10日
総指標数: 556指標
経営重要度: 店長視点

■ ラクミー経営管理 データフロー

順序,画面カテゴリ,役割,例
①,設定入力画面,予算・費用を設定（定義元：予算値）,予算設定、月次費用入力、費目マスタ
②,実績算出・分析画面,実績値を算出 + 予実対比を分析表示（定義元 + 分析）,予実対比、年間予実対比、月次レポート、進捗分析
③,ダッシュボード表示画面,重要指標をモニタリング表示（参照先）,主要KPI指標、当月実績、店舗別サマリー
④,分析画面,詳細分析用の表示画面（表示専用）,時間帯別売上分析、ABC分析、FD分析

※ 予実対比画面は「実績算出」と「分析表示」の両方の役割を持つ
  - 実績算出: 外部連携（POS、インフォマート、KOT）から実績値を取得・演算
  - 分析表示: 予実差額、達成率、各種比率を画面内で表示

■ 画面カテゴリ別 指標数

画面カテゴリ,件数,役割
設定入力画面,63件,予算・費用設定値の定義元
実績算出・分析画面,175件,実績値の算出（定義元）+ 予実対比の分析表示
ダッシュボード表示画面,90件,重要指標のモニタリング表示（参照先）
分析画面,228件,詳細分析用（表示専用）

■ 指標区分 定義

区分,件数,説明
設定入力,46件,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
実績算出,97件,外部連携から実績値を算出。予実対比等で計算され、各画面への定義元。
実績算出・分析,62件,実績値の算出と予実対比の分析表示。定義元かつ分析表示の両方の役割。
ダッシュボード表示,216件,設定入力・実績算出で算出された指標をダッシュボードに表示（参照先）。
既存指標,135件,実画面に表示されている指標（V36案3で確認済）。
AI推測,0件,データリネージュ分析中に存在を推測。実画面での確認が必要。

■ 設定入力画面 (63指標)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
1,設定入力画面,棚卸し,棚卸商品,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,商品マスタ,inventory_items.name,-,inventory_items.name（棚卸入力）,-,-,inventory_items.name,-,inventory_items.name（棚卸入力） → 棚卸し.棚卸商品,AI推測,棚卸マスタから商品名を取得と推測,棚卸マスタのテーブル名が不明,棚卸データのスキーマを確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
2,設定入力画面,棚卸し,在庫数量,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,inventory_items.num,-,inventory_items.num（棚卸入力）,-,-,inventory_items.num,棚卸し.小計,inventory_items.num（棚卸入力） → 棚卸し.在庫数量,AI推測,棚卸マスタから数量を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
3,設定入力画面,棚卸し,商品単価,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,マスタ参照,inventory_items.price,-,inventory_items.price（棚卸入力）,-,-,inventory_items.price,棚卸し.小計,inventory_items.price（棚卸入力） → 棚卸し.商品単価,AI推測,棚卸マスタから単価を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
4,設定入力画面,棚卸し,小計,L4a,D,画面内,計算項目,ユーザー入力×ユーザー入力,複数のユーザー入力の組合せ,数量×単価,棚卸し.在庫数量 × 棚卸し.商品単価,-,-,-,-,"棚卸し.在庫数量, 棚卸し.商品単価",-,棚卸し.小計,AI推測,数量×単価から小計を算出と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
5,設定入力画面,小口現金管理,支払先,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.payment_destination,-,petty_cashes.payment_destination（小口現金入力）,-,-,-,-,petty_cashes.payment_destination（小口現金入力） → 小口現金管理.支払先,AI推測,小口現金テーブルから支払先を取得と推測,shop_petty_cashテーブルの存在が未確認,テーブル構造を確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
6,設定入力画面,小口現金管理,経費項目,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.description,-,petty_cashes.description（小口現金入力）,-,-,-,-,petty_cashes.description（小口現金入力） → 小口現金管理.経費項目,AI推測,小口現金テーブルから経費項目を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
7,設定入力画面,小口現金管理,出勤額,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.withdraw_tax_excluded_amount,-,petty_cashes.withdraw_tax_excluded_amount（小口現金入力）,-,-,-,小口現金管理.残高,petty_cashes.withdraw_tax_excluded_amount（小口現金入力） → 小口現金管理.出勤額,AI推測,小口現金テーブルから出金額を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
8,設定入力画面,小口現金管理,入金額,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,設定画面での直接入力（費用/棚卸等）,入力値,petty_cashes.deposit_amount,-,petty_cashes.deposit_amount（小口現金入力）,-,-,-,小口現金管理.残高,petty_cashes.deposit_amount（小口現金入力） → 小口現金管理.入金額,AI推測,小口現金テーブルから入金額を取得と推測,-,-,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
9,設定入力画面,小口現金管理,残高,L4a,C,画面内,計算項目,ユーザー入力×ユーザー入力,複数のユーザー入力の組合せ,前残高+入金-出金,前回残高 + 小口現金管理.入金額 - 小口現金管理.出勤額,-,-,-,-,"小口現金管理.入金額, 小口現金管理.出勤額",-,小口現金管理.残高,AI推測,前回残高+入金-出金から算出と推測,前回残高の取得方法が不明,残高計算ロジックを確認必要,設定入力画面,設定入力,ユーザーが入力する予算・費用設定値。各画面の予算値の定義元。
