画面区分	サイドナビ	画面タイトル	期間	画面指標名	親テーブル名1	親テーブル物理名1	親テーブル論理名1	データソーステーブル名1	データソーステーブル詳細名1	データソースカラム物理名1	データソースカラム論理名1	KOTグループ1	KOT物理名1	KOT論理名1	KOT連携種別1	ジョブカングループ1	ジョブカン物理名1	ジョブカン論理名1	ジョブカン連携種別1	親テーブル名2	親テーブル物理名2	親テーブル論理名2	データソーステーブル名2	データソーステーブル詳細名2	データソースカラム物理名2	データソースカラム論理名2	KOTグループ2	KOT物理名2	KOT論理名2	KOT連携種別2	ジョブカングループ2	ジョブカン物理名2	ジョブカン論理名2	ジョブカン連携種別2	親テーブル名3	親テーブル物理名3	親テーブル論理名3	データソーステーブル名3	データソーステーブル詳細名3	データソースカラム物理名3	データソースカラム論理名3	KOTグループ3	KOT物理名3	KOT論理名3	KOT連携種別3	ジョブカングループ3	ジョブカン物理名3	ジョブカン論理名3	ジョブカン連携種別3	演算ロジック	演算式詳細	参照テーブル1	参照テーブル2	参照テーブル3	ハシゴ元画面	ハシゴ先画面	共有データソース	ハシゴ演算説明	入力元画面	出力先画面	計算に使用する他指標
会社	メインKPI指標	主要KPI指標	月次日次	坪月商	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	売上÷坪数	ZTOTAL.sales_excluded ÷ shops.floor_area(坪数)	ZTOTAL	-	-	-	-	ラクミー集計単位日別テーブル.sales_excluded	ラクミー集計単位日別テーブル.sales_excludedを当月実績,店舗別サマリー,時間帯別売上分析と共有	-	-	売上税抜(ZTOTAL)
会社	メインKPI指標	主要KPI指標	月次日次	営業利益率	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	monthly_costs	value	費用金額	monthly_costs	ラクミー月次費用テーブル	value	費用金額	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	営業利益÷売上×100	(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ ZTOTAL.sales_excluded × 100	ZTOTAL	monthly_costs	-	-	-	ラクミー集計単位日別テーブル.sales_excluded	ラクミー集計単位日別テーブル.sales_excludedを当月実績,店舗別サマリー,時間帯別売上分析と共有	-	-	売上税抜, FD仕入額, 人件費, 経費
会社	メインKPI指標	主要KPI指標	月次日次	家賃比率	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	monthly_costs	value	費用金額	monthly_costs	ラクミー月次費用テーブル	value	費用金額	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	家賃÷売上×100	monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100	ZTOTAL	monthly_costs	-	-	-	ラクミー集計単位日別テーブル.sales_excluded	ラクミー集計単位日別テーブル.sales_excludedを当月実績,店舗別サマリー,時間帯別売上分析と共有	-	-	家賃(monthly_costs), 売上税抜(ZTOTAL)
会社	メインKPI指標	主要KPI指標	月次日次	ROI	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	monthly_budgets	value	予算金額	monthly_budgets	ラクミー月次予算テーブル	value	予算金額	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	営業利益÷投資×100	(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.value × 100	ZTOTAL	monthly_budgets	-	-	-	ラクミー集計単位日別テーブル.sales_excluded	ラクミー集計単位日別テーブル.sales_excludedを当月実績,店舗別サマリー,時間帯別売上分析と共有	-	-	営業利益, 予算(monthly_budgets)
会社	ダッシュボード指標	当月実績	月次日次	営業利益	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	ラクミーinfomartテーブル	total_tax_excluded	総合計	trade_total	インフォマート仕入総合計テーブル	total_tax_excluded	総合計	-	-	-	-	-	-	-	-	head_office_connected_service_labor_costs_logs	labor_costs	人件費	head_office_connected_service_labor_costs_logs	KOT/ジョブカン人件費連携ログテーブル	labor_costs	人件費	日別費用データ	laborCostEstimate	人件費概算	API	勤怠日次サマリー	salary	概算給与	API	売上-仕入-人件費-経費	(ZTOTAL.sales_excluded) - (trade_total.total_tax_excluded) - (head_office_connected_service_labor_costs_logs.labor_costs) - 経費	ZTOTAL	インフォマート	labor_costs_logs	-	店舗別サマリー,年間予実対比	ラクミー集計単位日別テーブル.sales_excluded	営業利益を店舗別サマリー,年間予実対比と共有	-	店舗別サマリー,年間予実対比	売上税抜, FD仕入額, 人件費, その他経費
会社	ダッシュボード指標	当月実績	月次日次	売上税抜	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SUM	SUM(ZTOTAL.sales_excluded)	ZTOTAL	-	-	-	店舗別サマリー,ABC分析,日次推移,日次レポート	ラクミー集計単位日別テーブル.sales_excluded	売上税抜を店舗別サマリー,ABC分析,日次推移,日次レポートと共有	-	店舗別サマリー,ABC分析,日次推移,日次レポート	-
会社	ダッシュボード指標	当月実績	月次日次	FD仕入率	ラクミーinfomartテーブル	total_tax_excluded	総合計	trade_total	インフォマート仕入総合計テーブル	total_tax_excluded	総合計	-	-	-	-	-	-	-	-	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	仕入÷売上×100	(trade_total.total_tax_excluded) ÷ (ZTOTAL.sales_excluded) × 100	インフォマート	ZTOTAL	-	-	店舗別サマリー	ラクミーinfomartテーブル.total_tax_excluded	FD仕入率を店舗別サマリーと共有	-	店舗別サマリー	FD仕入額(trade_total), 売上税抜(ZTOTAL)
会社	ダッシュボード指標	当月実績	月次日次	人件費率	head_office_connected_service_labor_costs_logs	labor_costs	人件費	head_office_connected_service_labor_costs_logs	KOT/ジョブカン人件費連携ログテーブル	labor_costs	人件費	日別費用データ	laborCostEstimate	人件費概算	API	勤怠日次サマリー	salary	概算給与	API	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	人件費÷売上×100	(head_office_connected_service_labor_costs_logs.labor_costs) ÷ (ZTOTAL.sales_excluded) × 100	labor_costs_logs	ZTOTAL	-	-	店舗別サマリー	head_office_connected_service_labor_costs_logs.labor_costs	人件費率を店舗別サマリーと共有	-	店舗別サマリー	人件費(labor_costs_logs), 売上税抜(ZTOTAL)
会社	ダッシュボード指標	当月実績	月次日次	FL率	ラクミーinfomartテーブル	total_tax_excluded	総合計	trade_total	インフォマート仕入総合計テーブル	total_tax_excluded	総合計	-	-	-	-	-	-	-	-	head_office_connected_service_labor_costs_logs	labor_costs	人件費	head_office_connected_service_labor_costs_logs	KOT/ジョブカン人件費連携ログテーブル	labor_costs	人件費	日別費用データ	laborCostEstimate	人件費概算	API	勤怠日次サマリー	salary	概算給与	API	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	(F+L)÷売上×100	(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100	インフォマート	labor_costs_logs	ZTOTAL	-	-	ラクミーinfomartテーブル.total_tax_excluded	ラクミーinfomartテーブル.total_tax_excludedを店舗別サマリー,仕入別分析,日次推移と共有	-	-	FD仕入額, 人件費, 売上税抜
会社	ダッシュボード指標	店舗別サマリー	月次日次	営業利益	ラクミー集計単位日別テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	ZTOTAL	USENレジPOS日別売上集計テーブル	sales_excluded	収入計Ⅲ（内税抜き）金額	-	-	-	-	-	-	-	-	ラクミーinfomartテーブル	total_tax_excluded	総合計	trade_total	インフォマート仕入総合計テーブル	total_tax_excluded	総合計	-	-	-	-	-	-	-	-	head_office_connected_service_labor_costs_logs	labor_costs	人件費	head_office_connected_service_labor_costs_logs	KOT/ジョブカン人件費連携ログテーブル	labor_costs	人件費	日別費用データ	laborCostEstimate	人件費概算	API	勤怠日次サマリー	salary	概算給与	API	売上-仕入-人件費-経費	(ZTOTAL.sales_excluded) - (trade_total.total_tax_excluded) - (head_office_connected_service_labor_costs_logs.labor_costs) - 経費	ZTOTAL	インフォマート	labor_costs_logs	-	当月実績,年間予実対比	ラクミー集計単位日別テーブル.sales_excluded	営業利益を当月実績,年間予実対比と共有	当月実績	当月実績,年間予実対比	売上税抜, FD仕入額, 人件費, その他経費
