列詳細仕様書: 店舗画面_データソース定義表_V89
作成日: 2026-04-21
対象ファイル: 店舗画面_データソース定義表_V89
総指標数: 859件
更新内容: V89/V69最新版に統計値を再計算

■ 独自指標レベル
レベル	定義	説明	例	件数	比率
L0	汎用指標	業界共通の基本指標	売上、客数	308	35.9%
L1	業界標準指標	飲食業界で一般的に使用される指標	客単価、仕入額	355	41.3%
L2	ラクミー独自指標	ラクミー固有の定義・演算を持つ指標	FL率、FD仕入率	72	8.4%
L3	画面固有指標	特定画面専用の指標	進捗率、達成率	85	9.9%
L4	高度演算指標	複数画面間の複合演算を行う指標	営業利益（複合）	38	4.4%

■ 経営重要度
レベル	定義	説明	例	件数	比率
S	最重要	経営判断に直結する最重要指標	営業利益、売上達成率、FL率	36	4.2%
A	重要	日常的な経営管理に必要な指標	売上、客数、仕入額	137	15.9%
B	中程度	詳細分析に使用する指標	商品別売上、時間帯別売上	168	19.6%
C	低	参考情報として使用する指標	仕入先別金額、費目別金額	397	46.2%
D	参照のみ	マスタ設定・管理用の指標	ユーザー設定、ラベル設定	121	14.1%

■ 計算レイヤー
レイヤー	名称	件数	比率
L0	データ取得層	175	20.4%
L1	単純演算層	274	31.9%
L2-S	画面内演算層（単一店舗）	320	37.3%
L3-S	画面間演算層（単一店舗）	90	10.5%

■ データスコープ
スコープ	件数	比率
店舗年次	276	32.1%
店舗月次	227	26.4%
店舗内	209	24.3%
単一レコード	147	17.1%

■ データ負荷レベル
レベル	件数	比率
最高	40	4.7%
高	82	9.5%
中	149	17.3%
低	587	68.3%

■ スナップショット対象（V89/V69 現行値）
記号	件数	比率
×	557	64.8%
△	148	17.2%
○	114	13.3%
◎	40	4.7%
