スナップショット対象 新定義案 再判定結果 (店舗V89)
作成日: 2026-04-21
判定ルール: 高負荷指標数ベース（OR条件）

画面タイトル	総指標数	高負荷指標数	高負荷率	現在判定(旧)	新判定	変更	判定理由
予実対比	108	35	32%	×	◎	★変更	高負荷≥10件(35)
年間予実対比（予実対比）	216	16	7%	×	◎	★変更	高負荷≥10件(16)
流入分析	19	14	74%	○	◎	★変更	高負荷≥10件(14)
月次集計	13	10	77%	◎	◎		高負荷≥10件(10)
感度分析	10	7	70%	◎	◎		高負荷率≥50%(70%)
FD分析（仕入率/原価率）	18	6	33%	◎	◎		L3以上×データ負荷最高(6)
FD仕入率トレンド	5	5	100%	◎	◎		高負荷率≥50%(100%)
年間予実対比	54	5	9%	×	○	★変更	高負荷5-9件(5)
利益進捗分析	4	4	100%	○	◎	★変更	高負荷率≥50%(100%)
売上進捗分析	4	4	100%	◎	◎		高負荷率≥50%(100%)
ABC分析	6	3	50%	△	◎	★変更	高負荷率≥50%(50%)
曜日別売上分析	4	3	75%	◎	◎		高負荷率≥50%(75%)
商品別売上分析	3	2	67%	○	◎	★変更	高負荷率≥50%(67%)
平均単価推移	5	2	40%	△	○	★変更	高負荷率20-49%(40%)
FD分析（売上構成比）	3	1	33%	△	○	★変更	高負荷率20-49%(33%)
仕入先分析	3	1	33%	△	○	★変更	高負荷率20-49%(33%)
商品別仕入分析	4	1	25%	△	○	★変更	高負荷率20-49%(25%)
支払種別売上分析	8	1	12%	△	△		高負荷1-4件(1)
時間帯別売上分析	4	1	25%	△	○	★変更	高負荷率20-49%(25%)
月次レポート	11	1	9%	△	△		高負荷1-4件(1)
ラベル設定（ラベル）	4	0	0%	×	×		高負荷0件
ラベル設定（仕入商品リスト）	15	0	0%	×	×		高負荷0件
ラベル設定（売上商品リスト）	7	0	0%	×	×		高負荷0件
ラベル設定（発注先リスト）	4	0	0%	×	×		高負荷0件
休業日設定	2	0	0%	×	×		高負荷0件
単月費用設定	4	0	0%	×	×		高負荷0件
売上構成比設定	5	0	0%	×	×		高負荷0件
店舗管理	12	0	0%	×	×		高負荷0件
月次予算設定	15	0	0%	×	×		高負荷0件
発注先商品管理	5	0	0%	×	×		高負荷0件
発注先情報編集	3	0	0%	×	×		高負荷0件
発注先管理	2	0	0%	×	×		高負荷0件
費用設定編集	3	0	0%	×	×		高負荷0件
費用設定（一覧）	3	0	0%	×	×		高負荷0件
発注書作成	6	0	0%	×	×		高負荷0件
売上経費入力（売上）	5	0	0%	×	×		高負荷0件
売上経費入力（経費）	1	0	0%	×	×		高負荷0件
小口現金管理	9	0	0%	×	×		高負荷0件
店舗間商品移動	4	0	0%	×	×		高負荷0件
棚卸	4	0	0%	×	×		高負荷0件
棚卸（カテゴリ、タブ選択）	11	0	0%	×	×		高負荷0件
棚卸（ラベル、タブ選択）	4	0	0%	×	×		高負荷0件
棚卸（数量・単価の編集）	5	0	0%	×	×		高負荷0件
納品書撮影（登録）	9	0	0%	×	×		高負荷0件
日次レポート	5	0	0%	△	×	★変更	高負荷0件
費目別仕入分析	3	0	0%	×	×		高負荷0件
集計（仕入）税抜	1	0	0%	×	×		高負荷0件
集計（仕入）税込	1	0	0%	×	×		高負荷0件
集計（売上）税抜	4	0	0%	×	×		高負荷0件
集計（売上）税込	4	0	0%	×	×		高負荷0件
集計（費用）税抜	3	0	0%	×	×		高負荷0件
集計（費用）税込	3	0	0%	×	×		高負荷0件
ラベル一覧（仕入商品リスト）	5	0	0%	×	×		高負荷0件
ラベル一覧（売上商品リスト）	3	0	0%	×	×		高負荷0件
ラベル一覧（発注先リスト）	3	0	0%	×	×		高負荷0件
予実対比（一覧）	22	0	0%	×	×		高負荷0件
予算一覧（予算構成）	48	0	0%	×	×		高負荷0件
予算一覧（予算設定値）	4	0	0%	×	×		高負荷0件
商品仕入単価	4	0	0%	×	×		高負荷0件
棚卸詳細	5	0	0%	×	×		高負荷0件
発注書一覧	6	0	0%	×	×		高負荷0件
納品書一覧	4	0	0%	×	×		高負荷0件
納品書管理	6	0	0%	△	×	★変更	高負荷0件
納品書詳細	5	0	0%	△	×	★変更	高負荷0件
主要KPI指標	4	0	0%	△	×	★変更	高負荷0件
年間予実対比（サマリー）	6	0	0%	△	×	★変更	高負荷0件
店舗別サマリー	7	0	0%	△	×	★変更	高負荷0件
当月実績	9	0	0%	△	×	★変更	高負荷0件
地代家賃設定	21	0	0%	×	×		高負荷0件
費用実績入力	29	0	0%	○	×	★変更	高負荷0件
