ラクミー経営管理 店舗画面 V88差分パッチ（地代家賃設定画面 + 費用実績入力画面）
作成日: 2026-04-20
基準: 画面and指標別データソース定義表 - 店舗V88_画面指標_毎リスト + 費用予算設定データ項目CSV v2 + スクリーンショット
補足: V88定義表に欠落している「地代家賃設定」「費用実績入力」の2画面を追加。賃料体系別アウトプット振分を明記。カラム順はV88店舗画面準拠。
総指標数,50





No,プロダクト区分,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,計算レイヤー,データスコープ,データ負荷レベル,データソース区分,指標タイプ,指標タイプ詳細,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,演算範囲,演算ロジック,演算式詳細,中間画面名.画面指標名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,依存先指標（画面名.指標名）,依存先指標（テーブル名.列名）,被参照指標（画面名.指標名）,依存先指標数,被参照指標数,参照頻度,演算コスト,システム負荷,負荷要因,推奨対応,キャッシュ戦略,スナップショット対象,更新トリガー,画面カテゴリ,指標区分,指標区分の説明,機能説明,判断,AI推測の理由,不明点,改善
P1,ラクミーウェブ,設定入力画面,地代家賃設定,賃料体系,L0,S,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが選択（固定賃料/変動賃料/段階別歩合）,rent_settings.rental_type,-,-,-,マスタ参照,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.固定費用予算 / 月次予算設定.変動費用予算,ユーザー入力 → 地代家賃設定.賃料体系 → 月次予算設定振分キー,-,-; rent_settings.rental_type,月次予算設定.固定費用予算; 月次予算設定.変動費用予算,0,1,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,店舗契約の賃料パターンを選択。固定賃料=固定費用予算、それ以外=変動費予算へ振分,新規追加,予算設定CSV v2行3・スクショ5枚,-,-
P2,ラクミーウェブ,設定入力画面,地代家賃設定,条件選択,L0,A,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,合算（固定賃料+歩合額） or 最大値選択（固定賃料or歩合額）,rent_settings.condition_type,-,-,-,マスタ参照,入力値,-,ユーザー入力（地代家賃設定）,地代家賃設定.地代家賃シミュレーション金額,ユーザー入力 → 地代家賃設定.条件選択 → シミュレーション計算式分岐,地代家賃設定.賃料体系,-; rent_settings.condition_type,地代家賃設定.地代家賃シミュレーション金額,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,変動賃料・段階別歩合時のみ表示。合算or最大値選択で計算式が変わる,新規追加,スクショ2-5枚目で確認,賃料体系=固定賃料の場合は非表示か確認要,-
P3,ラクミーウェブ,設定入力画面,地代家賃設定,段階数,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザー選択（デフォ3段階）,rent_settings.tier_count,-,-,-,マスタ参照,入力値,-,ユーザー入力（地代家賃設定）,地代家賃設定.売上下限（1段目）; 地代家賃設定.売上上限（1段目）; 地代家賃設定.売上歩合率（1段目）; 地代家賃設定.売上下限（2段目）; 地代家賃設定.売上上限（2段目）; 地代家賃設定.売上歩合率（2段目）; 地代家賃設定.売上下限（3段目）; 地代家賃設定.売上上限（3段目）; 地代家賃設定.売上歩合率（3段目）,ユーザー入力 → 地代家賃設定.段階数 → 段階別入力欄の表示数制御,地代家賃設定.賃料体系,-; rent_settings.tier_count,地代家賃設定.売上下限; 地代家賃設定.売上上限; 地代家賃設定.売上歩合率,1,3,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,賃料体系=段階別歩合時のみ表示。段階数に応じて入力欄を動的に生成,新規追加,スクショ4-5枚目,-,-
P4,ラクミーウェブ,設定入力画面,地代家賃設定,固定賃料,L0,S,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが金額入力,rent_settings.fixed_rent,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.固定費用予算（賃料体系=固定賃料） / 月次予算設定.変動費用予算（それ以外）,ユーザー入力 → 地代家賃設定.固定賃料 → (賃料体系=固定賃料) → 月次予算設定.固定費用予算 / (else) → 月次予算設定.変動費用予算,地代家賃設定.賃料体系,-; rent_settings.fixed_rent,月次予算設定.固定費用予算; 月次予算設定.変動費用予算,1,2,高,中,中,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,毎月固定の賃料額。賃料体系により加算先が変わる,新規追加,スクショ1枚目で確認,段階別歩合の固定賃料は最低保証として機能する旨をシステムが自動判定するか要確認,-
P5,ラクミーウェブ,設定入力画面,地代家賃設定,歩合率,L0,A,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが%入力（0～100%）,rent_settings.commission_rate,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 地代家賃設定.歩合率 → 月次予算設定.変動費用予算,地代家賃設定.賃料体系,-; rent_settings.commission_rate,月次予算設定.変動費用予算,1,1,中,中,中,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,売上に対する歩合率。変動賃料時に使用,新規追加,スクショ2-3枚目,-,-
P6,ラクミーウェブ,設定入力画面,地代家賃設定,売上下限（1段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが金額入力,rent_settings.sales_lower_1,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上下限（1段目）,地代家賃設定.段階数,-; rent_settings.sales_lower_1,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上下限（1段目）,新規追加,スクショ4-5枚目,-,-
P7,ラクミーウェブ,設定入力画面,地代家賃設定,売上上限（1段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが金額入力,rent_settings.sales_upper_1,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上上限（1段目）,地代家賃設定.段階数,-; rent_settings.sales_upper_1,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上上限（1段目）,新規追加,スクショ4-5枚目,-,-
P8,ラクミーウェブ,設定入力画面,地代家賃設定,売上歩合率（1段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが%入力,rent_settings.tier_rate_1,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上歩合率（1段目）,地代家賃設定.段階数,-; rent_settings.tier_rate_1,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上歩合率（1段目）,新規追加,スクショ4-5枚目,-,-
P9,ラクミーウェブ,設定入力画面,地代家賃設定,売上下限（2段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,自動,rent_settings.sales_lower_2,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上下限（2段目）,地代家賃設定.売上上限（1段目）,-; rent_settings.sales_lower_2,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上下限（2段目）,新規追加,スクショ4-5枚目,-,-
P10,ラクミーウェブ,設定入力画面,地代家賃設定,売上上限（2段目）,L0,B,L0,単一レコード,低,賃料設定マスタ（設定）,ユーザー入力単独,ユーザーが金額入力,rent_settings.sales_upper_2,-,-,-,入力値,入力値,-,ユーザー入力（地代家賃設定）,月次予算設定.変動費用予算,ユーザー入力 → 段階別歩合の売上上限（2段目）,地代家賃設定.段階数,-; rent_settings.sales_upper_2,月次予算設定.変動費用予算,1,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力する賃料設定値,段階別歩合の売上上限（2段目）,新規追加,スクショ4-5枚目,-,-
