大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S428	時間帯 × 商品 × 販売促進費	その他	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-			オンデマンド	-	-	on_demand	on_demand	確定なし
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S429	時間帯 × 商品 × 販売管理費	その他	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-			オンデマンド	-	-	on_demand	on_demand	確定なし
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S430	時間帯 × 商品 × 通信費	その他	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-			オンデマンド	-	-	on_demand	on_demand	確定なし
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S431	時間帯 × 商品 × 雑費	その他	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-			オンデマンド	-	-	on_demand	on_demand	確定なし
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S432	時間帯 × 商品 × 電気代	その他	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-			オンデマンド	-	-	on_demand	on_demand	確定なし
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S434	時間帯 × 商品 × フード売上ランチ	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	時間帯別売上	時間帯別の売上ピーク/オフ特定、営業時間最適化、シフト計画立案（2軸クロス分析）	L1	参照表示	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded			オンデマンド	-	-	on_demand	on_demand	翌日日次確定
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S435	時間帯 × 商品 × フード売上ディナー	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	時間帯別売上	時間帯別の売上ピーク/オフ特定、営業時間最適化、シフト計画立案（2軸クロス分析）	L1	参照表示	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded			オンデマンド	-	-	on_demand	on_demand	翌日日次確定
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S436	時間帯 × 商品 × ドリンク売上ランチ	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	時間帯別売上	時間帯別の売上ピーク/オフ特定、営業時間最適化、シフト計画立案（2軸クロス分析）	L1	参照表示	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded			オンデマンド	-	-	on_demand	on_demand	翌日日次確定
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S437	時間帯 × 商品 × ドリンク売上ディナー	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	売上分析	時間帯別売上	時間帯別の売上ピーク/オフ特定、営業時間最適化、シフト計画立案（2軸クロス分析）	L1	参照表示	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded			オンデマンド	-	-	on_demand	on_demand	翌日日次確定
マッピング_2軸	時間帯 × 商品 × 指標	dim_time_slot+dim_product+S438	時間帯 × 商品 × フード仕入	原価系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	time_slot_id×product_id×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	参照表示	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded			オンデマンド	-	-	on_demand	on_demand	納品確定後
