No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照ラクミー1-3次データ,判断基準・閾値目安,関連画面,備考
ST-09,店長,売上構造,売上標準偏差(月内変動),5次,月次,売上の安定性、イベント依存度,STDEV(日次売上) ÷ AVG(日次売上),変動係数。低いほど安定,POS日別売上(1次),0.2以下:安定 / 0.4超:ばらつき大,売上進捗分析,季節性要素除外推奨
ST-11,店長,商品分析,売れ筋TOP10(売上ベース),5次,週次,主力商品の特定、メニュー戦略,商品別売上ランキング上位10,POSの商品別売上で算出,POS商品別売上(2次),TOP10が全売上の70%超:集中型,"ABC分析, 商品別売上分析",既存機能活用
ST-12,店長,商品分析,売れ筋TOP10(利益ベース),5次,週次,真の主力商品、利益貢献トップ,商品別粗利ランキング上位10,粗利=売上-原価、商品原価の正確な把握が前提,"POS商品別売上(2次), 商品原価(2次)",売上TOP10と一致:理想 / 乖離:要分析,FD分析（仕入率/原価率）,要レシピマスタ
ST-13,店長,商品分析,死に筋商品検出,5次,月次,低販売商品の洗い出し、メニュー削減候補,月間販売数下位20%の商品リスト,連続2ヶ月で下位なら削除候補,"POS商品別売上(2次), 商品マスタ(1次)",月販売5個未満:検討 / 3個未満:削除候補,ABC分析,ロス削減にも寄与
ST-14,店長,商品分析,商品別貢献利益,5次,月次,メニューエンジニアリングの基礎,(売価 - 原価) × 販売数,商品別に算出、セットメニュー考慮,"POS商品別売上(2次), 商品原価(2次), 販売数(1次)",貢献利益率40%以上:優良商品,FD分析（仕入率/原価率）,メニュー改定の根拠
ST-15,店長,商品分析,商品ABC分析,5次,月次,パレート集中度、戦略商品抽出,商品を売上累積構成比でA(0-70%)/B(70-90%)/C(90-100%)分類,商品数×売上貢献度の2軸,POS商品別売上(2次),A群20%以下:健全 / A群50%超:集中リスク,ABC分析,既存機能活用
ST-16,店長,商品分析,商品別原価率偏差,5次,月次,原価管理の精度、計量ミス検出,(実際原価率 - 理論原価率) の商品別,理論=レシピ×仕入単価、実際=仕入実績÷販売数,"POS商品別売上(2次), 商品別仕入(2次), レシピマスタ(1次)",±3%:許容 / +5%超:要調査,"商品別仕入分析, FD分析",レシピマスタ前提
ST-17,店長,商品分析,商品別価格帯分布,5次,月次,価格戦略の検証,販売価格帯(500円刻み)の販売数分布,メイン、セット、酒類別に分析,"POS商品別売上(2次), 商品単価(2次)",狙い価格帯の売上比率確認,商品別売上分析,値付け見直し材料
ST-18,店長,商品分析,新メニュー投入効果,5次,月次,新メニューの導入効果測定,(投入後月商 - 投入前月商) ÷ 投入前月商 × 100,投入月と前3ヶ月平均を比較,"POS商品別売上(2次), 商品マスタ投入日(1次)",+5%超:成功 / -5%未満:撤退検討,商品別売上分析,投入日マスタ必要
ST-24,店長,仕入管理,商品別発注精度,5次,月次,発注計画精度、欠品削減,|発注数 - 実販売数| ÷ 発注数 × 100,商品別に算出,"発注書(1次), 販売数(1次)",10%以下:優良 / 30%超:計画見直し,"発注書一覧, 商品別仕入分析",計画精度向上
ST-26,店長,在庫管理,在庫金額月内変動,5次,月次,在庫管理の安定性,STDEV(期中棚卸金額) ÷ AVG(期中棚卸金額),週次棚卸データから算出,棚卸金額(3次),0.15以下:安定管理,棚卸,週次棚卸が前提
ST-27,店長,客数分析,客数×客単価4象限,5次,月次,集客戦略と単価戦略の位置づけ,客数と客単価のマトリクスプロット,前月/前年比で4象限に分類,"客数(1次), 客単価(2次)",高単価高客数:理想 / 低単価低客数:危機,"客単価分析, 流入分析",戦略立案の材料
ST-30,店長,客数分析,繁忙時間検出,5次,日次,ピーク時間の精緻把握、応援シフト判断,時間帯別客数が平均の1.5倍を超える時間,30分刻みで検出,POS時間別客数(1次),2時間超の繁忙帯:標準,時間帯別売上分析,応援シフト編成に使用
ST-31,店長,客数分析,客単価弾性,5次,月次,価格戦略の検証、メニュー改定効果,(客数変化率) ÷ (客単価変化率),絶対値大=価格敏感,"客数(1次), 客単価(2次)",<0.5:非弾力 / >1.5:弾力,"客単価推移, 流入分析",値上げ判断の材料
ST-32,店長,客数分析,日次客数標準偏差,5次,月次,集客の安定性,STDEV(日次客数) ÷ AVG(日次客数),月内変動係数,日次客数(1次),0.2以下:安定 / 0.4超:ばらつき大,流入分析,イベント影響除外推奨
ST-38,店長,人件費,人件費対売上相関,5次,月次,人件費投入の売上リターン,"相関係数(月次人件費, 月次売上)",12ヶ月データで算出,"人件費(2次), 売上(2次)",+0.7以上:効率的投入,月次レポート,経営判断の材料
ST-43,店長,経費分析,費目別予実差異TOP3,5次,月次,予算超過の早期発見、対策優先順位,費目別予実差額 ÷ 予算 のランキングTOP3,絶対値で評価,"費目別実績(2次), 費目別予算(3次)",予算+10%超:要アクション,予実対比（一覧）,重点管理
ST-44,店長,経費分析,販促費売上連動性,5次,月次,販促費の効果測定,(販促費増加月の売上増加) ÷ 販促費増加額,ROASの簡易版,"販促費(2次), 売上(2次)",2以上:ROI良好 / 1未満:効率悪,"販売促進費(既存), 月次レポート",データ追跡要
