次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,データ負荷レベル,スナップショット対象,依存先指標,被参照指標,判断基準・閾値目安,データ基盤要件,V69No/戦略No
1次,本部管理者,ユーザー,設定入力画面,ラクミーID,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.id,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.id,低,×,-,-,-,既存(V89/V69),1
1次,本部管理者,ユーザー,設定入力画面,氏名,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.name,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.name,低,×,-,-,-,既存(V89/V69),2
1次,本部管理者,ユーザー,設定入力画面,電話番号,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.phone_number,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.phone_number,低,×,-,-,-,既存(V89/V69),3
1次,本部管理者,ユーザー,設定入力画面,ユーザー識別（本部、一般）,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.role,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.role,低,×,-,-,-,既存(V89/V69),4
1次,本部管理者,ユーザー,設定入力画面,ステータス,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,users.status,D,ユーザーマスタ（設定）,本部ユーザーの管理設定,users.status,低,×,-,-,-,既存(V89/V69),5
1次,本部管理者,ラベル一覧,一覧表示画面,店舗ID,,,,,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.id,D,店舗マスタ（設定）,ラベルデータの一覧表示,shops.id,低,×,-,-,-,既存(V89/V69),159
1次,本部管理者,ラベル一覧,一覧表示画面,店舗名,,,,,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.name,D,店舗マスタ（設定）,ラベルデータの一覧表示,shops.name,低,×,-,-,-,既存(V89/V69),160
1次,本部管理者,ラベル一覧,一覧表示画面,ラベル名,,,,,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shop_labels.label_name,D,ラベルマスタ（設定）,ラベルデータの一覧表示,shop_labels.label_name,低,×,-,-,-,既存(V89/V69),161
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,ラベルID,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.id,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.id,低,×,-,-,-,既存(V89/V69),6
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,ラベル名,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.name,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.name,低,×,-,-,-,既存(V89/V69),7
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,棚卸し,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.is_inventory,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.is_inventory,低,×,-,-,-,既存(V89/V69),8
1次,本部管理者,ラベル設定（ラベル）,設定入力画面,ステータスフラグ,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.status,D,ラベルマスタ（設定）,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,labels.status,低,×,-,-,-,既存(V89/V69),9
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,店舗ID,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.id,D,店舗マスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shops.id,低,×,-,-,-,既存(V89/V69),10
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,店舗名,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,D,店舗マスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shops.name,低,×,-,-,-,既存(V89/V69),11
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,ラベル名,,,,,L0,-,ユーザー入力単独,店舗に店舗ラベル（グルーピングタグ）を紐付け。店舗ラベル別サマリーでのグルーピング集計に活用,マスタ参照,shop_labels.label_name,C,ラベルマスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shop_labels.label_name,低,×,ラベル設定（ラベル）.ラベル名; 店舗管理.店舗名,店舗ラベル別サマリー（売上・営業利益・各種比率のラベル別集計）,-,既存(V89/V69),12
1次,本部管理者,ラベル設定（店舗リスト）,設定入力画面,ステータスフラグ,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,フラグ,shop_labels.status,D,ラベルマスタ（設定）,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,shop_labels.status,低,×,-,-,-,既存(V89/V69),13
1次,本部管理者,店舗管理,設定入力画面,店舗名,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.name,低,×,-,-,-,既存(V89/V69),14
1次,本部管理者,店舗管理,設定入力画面,電話番号,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.phone_number,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.phone_number,低,×,-,-,-,既存(V89/V69),15
1次,本部管理者,店舗管理,設定入力画面,郵便番号,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.postal_code,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.postal_code,低,×,-,-,-,既存(V89/V69),16
1次,本部管理者,店舗管理,設定入力画面,都道府県,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.prefecture,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.prefecture,低,×,-,-,-,既存(V89/V69),17
1次,本部管理者,店舗管理,設定入力画面,住所,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.address,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.address,低,×,-,-,-,既存(V89/V69),18
1次,本部管理者,店舗管理,設定入力画面,建物,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.building,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.building,低,×,-,-,-,既存(V89/V69),19
1次,本部管理者,店舗管理,設定入力画面,業種,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.industry_type,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.industry_type,低,×,-,-,-,既存(V89/V69),20
1次,本部管理者,店舗管理,設定入力画面,業態,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.business_type,D,店舗マスタ（設定）,店舗情報の登録・編集,shops.business_type,低,×,-,-,-,既存(V89/V69),21
1次,本部管理者,店舗管理,設定入力画面,総卓数,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_table_num,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.total_table_num,低,×,-,-,-,既存(V89/V69),22
1次,本部管理者,店舗管理,設定入力画面,総席数,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_seat_num,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.total_seat_num,低,×,-,-,-,既存(V89/V69),23
1次,本部管理者,店舗管理,設定入力画面,坪数,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.total_area_num,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.total_area_num,低,×,-,主要KPI指標.坪月商,-,既存(V89/V69),24
1次,本部管理者,店舗管理,設定入力画面,家賃種別,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.rent_type,C,店舗マスタ（設定）,店舗情報の登録・編集,shops.rent_type,低,×,-,-,-,既存(V89/V69),25
1次,本部管理者,店舗管理,設定入力画面,家賃（金額）,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.rent,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.rent,低,×,-,主要KPI指標.家賃比率,-,既存(V89/V69),26
1次,本部管理者,店舗管理,設定入力画面,初期投資額,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.initial_investment,B,店舗マスタ（設定）,店舗情報の登録・編集,shops.initial_investment,低,×,-,主要KPI指標.ROI,-,既存(V89/V69),27
1次,本部管理者,従業員管理,設定入力画面,従業員コード,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.code,D,従業員マスタ（設定）,従業員情報の登録・編集,employees.code,低,×,-,-,-,既存(V89/V69),28
1次,本部管理者,従業員管理,設定入力画面,所属コード,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.department_code,D,従業員マスタ（設定）,従業員情報の登録・編集,employees.department_code,低,×,-,-,-,既存(V89/V69),29
1次,本部管理者,従業員管理,設定入力画面,店舗ID,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.shop_id,D,店舗マスタ（設定）,従業員情報の登録・編集,employees.shop_id,低,×,-,-,-,既存(V89/V69),30
1次,本部管理者,従業員管理,設定入力画面,店舗名,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,D,店舗マスタ（設定）,従業員情報の登録・編集,shops.name,低,×,-,-,-,既存(V89/V69),31
1次,本部管理者,従業員管理,設定入力画面,区分（月給時給）,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.salary_type,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.salary_type,低,×,-,-,-,既存(V89/V69),32
1次,本部管理者,従業員管理,設定入力画面,総支給額,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.total_payment,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.total_payment,低,×,-,-,-,既存(V89/V69),33
1次,本部管理者,従業員管理,設定入力画面,所定労働時間,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.standard_working_hours,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.standard_working_hours,低,×,-,-,-,既存(V89/V69),34
1次,本部管理者,従業員管理,設定入力画面,みなし残業時間,,,,,L0,-,ユーザー入力単独,ユーザーが設定入力,マスタ参照,employees.deemed_overtime_hours,C,従業員マスタ（設定）,従業員情報の登録・編集,employees.deemed_overtime_hours,低,×,-,-,-,既存(V89/V69),35
1次,本部管理者,月次レポート,分析画面,店舗名,,,,,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.name,D,店舗マスタ（設定）,月次の経営レポート,shops.name,低,○,[マスタ]shops.name,-,-,既存(V89/V69),149
1次,本部管理者,棚卸詳細,一覧表示画面,実施日,,,,,L0,-,ユーザー入力単独,棚卸画面での直接入力,日付,inventories.date,D,費用・棚卸（入力）,棚卸データの詳細表示,inventories.date,低,×,-,-,-,既存(V89/V69),166
1次,本部管理者,棚卸詳細,一覧表示画面,カテゴリ,,,,,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,labels.name,D,ラベルマスタ（設定）,棚卸データの詳細表示,labels.name,低,×,-,-,-,既存(V89/V69),168
1次,本部管理者,棚卸詳細,一覧表示画面,ラベル,,,,,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,labels.name,D,ラベルマスタ（設定）,棚卸データの詳細表示,labels.name,低,×,-,-,-,既存(V89/V69),169
1次,本部管理者,棚卸詳細,一覧表示画面,在庫数量,,,,,L0,-,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.num,C,費用・棚卸（入力）,棚卸データの詳細表示,inventory_items.num,低,×,-,-,-,既存(V89/V69),170
1次,本部管理者,棚卸詳細,一覧表示画面,商品単価,,,,,L0,-,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.price,C,費用・棚卸（入力）,棚卸データの詳細表示,inventory_items.price,低,×,-,-,-,既存(V89/V69),171
1次,本部管理者,納品書管理,一覧表示画面,店舗名,,,,,L0,-,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.name,D,店舗マスタ（設定）,納品書データの管理,shops.name,低,×,-,-,-,既存(V89/V69),176
1次,本部管理者,費用実績入力,実績入力画面,経費項目,,,,,L0,-,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.description,D,費用・棚卸（入力）,費用実績の入力・管理,petty_cashes.description,低,×,-,-,-,既存(V89/V69),36
1次,本部管理者,費用実績入力,実績入力画面,経費コード,,,,,L0,-,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.chart_of_account_id,D,費用・棚卸（入力）,費用実績の入力・管理,petty_cashes.chart_of_account_id,低,×,-,-,-,既存(V89/V69),37
1次,本部管理者,費用実績入力,実績入力画面,税区分,,,,,L0,-,ユーザー入力単独,小口現金画面での直接入力,入力値,petty_cashes.tax_type,D,費用・棚卸（入力）,費用実績の入力・管理,petty_cashes.tax_type,低,×,-,-,-,既存(V89/V69),39
1次,本部管理者,費用実績入力,実績入力画面,日付,,,,,L0,-,ユーザー入力単独,店舗間商品移動画面での直接入力,日付,stocking_transfers.date,C,費用・棚卸（入力）,費用実績の入力・管理,stocking_transfers.date,低,×,-,-,-,既存(V89/V69),40
