大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
マッピング_3軸	個別	MAP3S-00001	店舗 × 日 × 商品 × フード売上	売上系	店長	dim_shop, dim_date, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S126) を shop × date × product で算出	head_office_item_sales_logs.sales_excluded	S126		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	batch	翌日日次確定
マッピング_3軸	個別	MAP3S-00002	店舗 × 日 × 商品 × ドリンク売上	売上系	店長	dim_shop, dim_date, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S127) を shop × date × product で算出	head_office_item_sales_logs.sales_excluded	S127		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	batch	翌日日次確定
マッピング_3軸	個別	MAP3S-00003	店舗 × 日 × 商品 × フード売上合計	売上系	店長	dim_shop, dim_date, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S129) を shop × date × product で算出	head_office_item_sales_logs.sales_excluded	S129		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	hybrid	翌日日次確定
マッピング_3軸	個別	MAP3S-00004	店舗 × 日 × 商品 × ドリンク売上合計	売上系	店長	dim_shop, dim_date, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S130) を shop × date × product で算出	head_office_item_sales_logs.sales_excluded	S130		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	hybrid	翌日日次確定
マッピング_3軸	個別	MAP3S-00005	店舗 × 日 × 商品 × 実績_フード売上 計	売上系	店長	dim_shop, dim_date, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S132) を shop × date × product で算出	head_office_item_sales_logs.sales_excluded	S132		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	batch	翌日日次確定
マッピング_3軸	個別	MAP3S-00006	店舗 × 日 × 時間帯 × 商品 × 実績_フード売上ランチ	売上系	店長	dim_shop, dim_date, dim_time_slot, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S133) を shop × date × time_slot × product で算出	head_office_item_sales_logs.sales_excluded	S133		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_3軸	個別	MAP3S-00007	店舗 × 日 × 時間帯 × 商品 × 実績_フード売上ディナー	売上系	店長	dim_shop, dim_date, dim_time_slot, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S134) を shop × date × time_slot × product で算出	head_office_item_sales_logs.sales_excluded	S134		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_3軸	個別	MAP3S-00008	店舗 × 日 × 商品 × 実績_ドリンク売上 計	売上系	店長	dim_shop, dim_date, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S135) を shop × date × product で算出	head_office_item_sales_logs.sales_excluded	S135		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	batch	翌日日次確定
マッピング_3軸	個別	MAP3S-00009	店舗 × 日 × 時間帯 × 商品 × 実績_ドリンク売上ランチ	売上系	店長	dim_shop, dim_date, dim_time_slot, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S136) を shop × date × time_slot × product で算出	head_office_item_sales_logs.sales_excluded	S136		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_3軸	個別	MAP3S-00010	店舗 × 日 × 時間帯 × 商品 × 実績_ドリンク売上ディナー	売上系	店長	dim_shop, dim_date, dim_time_slot, dim_product	🟢 既実装	小	🟢 制限なし	そのまま集計可能	metric	FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証 (KPI単独表示)	L1	3軸クロス集計: 親メジャー(S137) を shop × date × time_slot × product で算出	head_office_item_sales_logs.sales_excluded	S137		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
