ラクミー経営管理 MTG資料: 画面別スナップショット推奨
作成日: 2025年12月12日

優先度,画面名,総指標数,高負荷,中負荷,低負荷,高負荷率%,L4a件数,L4b件数,外部連携数,推奨対応,高負荷指標（例）
A,予実対比,108,14,60,34,13%,2,12,27,スナップショット推奨,"実績_FLコスト 計, 実績_営業利益, 予算_FLコスト 計"
A,年間予実対比,54,14,33,7,26%,2,12,8,スナップショット推奨,"月次実績_FLコスト 計, 月次実績_営業利益, 月次予算_FLコスト 計"
A,年間予実対比（予実対比）,216,13,187,16,6%,2,12,27,スナップショット推奨,"年間実績_FLコスト 計, 年間予算_FLコスト 計, 年間予算_FD仕入 計"
A,流入分析,19,6,11,2,32%,5,5,2,スナップショット推奨,"テーブル回転数, 予約売上, 予約客単価"
S,当月実績,9,6,3,0,67%,6,0,4,スナップショット必須,"営業利益, FD仕入率, 人件費率"
S,店舗ラベル別サマリー,7,5,1,1,71%,5,0,4,スナップショット必須,"売上達成率, 営業利益, 売上進捗率"
S,店舗別サマリー,7,5,1,1,71%,5,0,4,スナップショット必須,"売上達成率, 営業利益, 売上進捗率"
A,月次集計,13,4,7,2,31%,4,0,3,スナップショット推奨,"PA人件費率, 粗利単価, 粗利率"
S,主要KPI指標,4,4,0,0,100%,2,2,2,スナップショット必須,"坪月商, 営業利益率, 家賃比率"
A,月次予算設定,13,3,10,0,23%,0,3,3,スナップショット推奨,"変動費率, 変動費, 営業利益"
S,FD仕入率トレンド,5,3,2,0,60%,3,2,1,スナップショット必須,"FD仕入率トレンド, フード仕入比率, ドリンク仕入比率"
S,利益進捗分析,4,2,2,0,50%,0,4,3,スナップショット必須,"利益進捗率, 利益達成率"
S,売上進捗分析,4,2,2,0,50%,4,0,3,スナップショット必須,"売上進捗率, 売上達成率"
B,予算一覧（予算構成）,39,1,25,13,3%,1,1,5,キャッシュ検討,FLコスト 計
B,FD分析（仕入率/原価率）,18,1,11,6,6%,1,0,3,キャッシュ検討,FD仕入率
B,小口現金管理,9,1,8,0,11%,1,0,0,キャッシュ検討,残高
B,月次レポート,11,1,5,5,9%,1,0,3,キャッシュ検討,原価（金額）
B,年間予実対比（サマリー）,6,1,3,2,17%,1,0,5,キャッシュ検討,営業利益
C,ラベル設定（仕入商品リスト）,15,0,15,0,0%,0,0,2,監視継続,
C,店舗管理,12,0,12,0,0%,0,0,1,監視継続,
C,感度分析,10,0,10,0,0%,0,0,2,監視継続,
D,予実対比（一覧）,22,0,8,14,0%,1,0,5,通常運用,
C,ラベル設定（売上商品リスト）,7,0,7,0,0%,0,0,2,監視継続,
C,平均単価推移,5,0,5,0,0%,0,1,0,監視継続,
C,ABC分析,6,0,6,0,0%,0,0,1,監視継続,
C,納品書管理,6,0,6,0,0%,0,0,2,監視継続,
C,発注先商品管理,5,0,5,0,0%,0,0,1,監視継続,
C,売上構成比設定,5,0,5,0,0%,0,0,0,監視継続,
C,費目別仕入分析,3,0,3,0,0%,1,0,1,監視継続,
C,ラベル一覧（仕入商品リスト）,5,0,5,0,0%,0,0,2,監視継続,
C,棚卸詳細,5,0,5,0,0%,0,0,3,監視継続,
C,納品書詳細,5,0,5,0,0%,0,0,1,監視継続,
C,ラベル設定（ラベル）,4,0,4,0,0%,0,0,1,監視継続,
C,ラベル設定（発注先リスト）,4,0,4,0,0%,0,0,2,監視継続,
C,店舗間商品移動,4,0,4,0,0%,0,0,0,監視継続,
C,棚卸,4,0,4,0,0%,0,0,2,監視継続,
C,時間帯別売上分析,4,0,4,0,0%,0,0,2,監視継続,
C,予算一覧（予算設定値）,4,0,4,0,0%,0,0,3,監視継続,
C,商品仕入単価,4,0,4,0,0%,0,0,0,監視継続,
C,発注先情報編集,3,0,3,0,0%,0,0,2,監視継続,
C,費用設定編集,3,0,3,0,0%,0,0,1,監視継続,
C,費用設定（一覧）,3,0,3,0,0%,0,0,2,監視継続,
C,単月費用設定,3,0,3,0,0%,0,0,0,監視継続,
C,仕入先分析,3,0,3,0,0%,0,0,1,監視継続,
C,商品別売上分析,3,0,3,0,0%,0,0,1,監視継続,
C,曜日別売上分析,4,0,3,1,0%,0,0,1,監視継続,
C,ラベル一覧（売上商品リスト）,3,0,3,0,0%,0,0,1,監視継続,
C,ラベル一覧（発注先リスト）,3,0,3,0,0%,0,0,1,監視継続,
C,発注先管理,2,0,2,0,0%,0,0,1,監視継続,
C,休業日設定,2,0,2,0,0%,0,0,0,監視継続,
C,商品別仕入分析,4,0,2,2,0%,0,0,0,監視継続,
D,支払種別売上分析,8,0,2,6,0%,0,0,1,通常運用,
D,日次レポート,5,0,2,3,0%,0,0,2,通常運用,
D,FD分析（売上構成比）,3,0,1,2,0%,0,0,1,通常運用,
