シート名	内容	主な使途	レコード件数(会社)	レコード件数(店舗)	取り込み元TSV
00_列仕様説明	29列の意味/型/必須/取り得る値/補足	エンジニアが最初に開いて列構造を把握	29行	29行	DD_UI_列仕様説明_会社.tsv / 店舗.tsv
シート名定義	本シート: 全シートの役割と件数を一覧化	スプシ全体の道しるべ	-	-	DD_UI_シート名定義_共通.tsv
01_定義	集計サマリー / ディメン / トランザクション / 設定項目 のマスタ	「何が存在するか」の全体カタログ	599行	971行	DD_UI_会社_1_定義.tsv / 店舗_1_定義.tsv
02_単軸マッピング	「ディメン1個 × 全メジャー」の組合せ可否表	1軸+値のシンプル集計の判定 (KPIカード/単純棒グラフ用)	6,860行	9,659行	DD_UI_会社_2_単軸マッピング.tsv / 店舗_2_単軸マッピング.tsv
03_2軸_part1	「ディメン2個 × 全メジャー」(分割: 前半)	クロス集計表/ヒートマップの可否 + snapshot仕様	21,660行	11,436行 (5分割の1)	DD_UI_{会社,店舗}_3_2軸マッピング_*.tsv
04_2軸_part2	「ディメン2個 × 全メジャー」(分割: 後半 or 2/5)	同上	21,705行	11,436行 (5分割の2)	同上
05_2軸_part3	店舗のみ: 2軸マッピング (3/5)	同上	-	11,436行	DD_UI_店舗_3_2軸マッピング_5of_part3.tsv
06_2軸_part4	店舗のみ: 2軸マッピング (4/5)	同上	-	11,436行	DD_UI_店舗_3_2軸マッピング_5of_part4.tsv
07_2軸_part5	店舗のみ: 2軸マッピング (5/5)	同上	-	11,495行	DD_UI_店舗_3_2軸マッピング_5of_part5.tsv
08_3軸マッピング	「ディメン3個 × メジャー」の3軸クロス組合せ可否表	フィルタ+行+列+メジャーの3軸スナップショット仕様判定	310行	437行	DD_UI_会社_4_3軸マッピング.tsv / 店舗_4_3軸マッピング.tsv
