画面区分,画面タイトル,指標名,演算式,演算に使用する指標（画面タイトル.指標名）,演算式詳細（テーブル.カラム）
会社,主要KPI指標,坪月商,売上÷坪数,当月実績.売上税抜 ÷ 店舗マスタ.坪数,ZTOTAL.sales_excluded ÷ shops.floor_area
会社,主要KPI指標,営業利益率,営業利益÷売上×100,当月実績.営業利益 ÷ 当月実績.売上税抜 × 100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ ZTOTAL.sales_excluded × 100
会社,主要KPI指標,家賃比率,家賃÷売上×100,月次費用入力.地代家賃 ÷ 当月実績.売上税抜 × 100,monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100
会社,主要KPI指標,ROI,営業利益÷投資×100,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.value × 100
会社,当月実績,営業利益,売上-仕入-人件費-経費,当月実績.売上税抜 - 当月実績.FD仕入額 - 当月実績.人件費 - 当月実績.その他経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value
会社,当月実績,売上税抜,SUM,-,SUM(ZTOTAL.sales_excluded)
会社,当月実績,FD仕入額,SUM,-,SUM(trade_total.total_tax_excluded)
会社,当月実績,人件費,SUM,-,SUM(labor_costs_logs.labor_costs)
会社,当月実績,その他経費,SUM,-,SUM(monthly_costs.value)
会社,当月実績,FD仕入率,仕入÷売上×100,当月実績.FD仕入額 ÷ 当月実績.売上税抜 × 100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100
会社,当月実績,人件費率,人件費÷売上×100,当月実績.人件費 ÷ 当月実績.売上税抜 × 100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100
会社,当月実績,FL率,(F+L)÷売上×100,(当月実績.FD仕入額 + 当月実績.人件費) ÷ 当月実績.売上税抜 × 100,(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100
会社,店舗別サマリー,営業利益,売上-仕入-人件費-経費,店舗別サマリー.売上税抜 - 店舗別サマリー.FD仕入額 - 店舗別サマリー.人件費 - 店舗別サマリー.その他経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value
会社,店舗別サマリー,売上達成率,実績÷目標×100,店舗別サマリー.売上税抜 ÷ 予算設定.売上目標 × 100,ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100
会社,店舗別サマリー,売上進捗率,累計÷目標×100,店舗別サマリー.売上税抜累計 ÷ 予算設定.売上目標 × 100,SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100
会社,店舗別サマリー,FD仕入率,仕入÷売上×100,店舗別サマリー.FD仕入額 ÷ 店舗別サマリー.売上税抜 × 100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100
会社,店舗別サマリー,人件費率,人件費÷売上×100,店舗別サマリー.人件費 ÷ 店舗別サマリー.売上税抜 × 100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100
会社,年間予実対比,営業利益,売上-仕入-人件費-経費,年間予実対比.売上税抜 - 年間予実対比.FD仕入額 - 年間予実対比.人件費額 - 年間予実対比.その他経費,ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value
会社,年間予実対比,客単価,売上÷客数,年間予実対比.売上税抜 ÷ 年間予実対比.客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers
会社,年間予実対比,客単価(ランチ),売上÷客数(11-15時),年間予実対比.ランチ売上税抜 ÷ 年間予実対比.ランチ客数,SUM(TTOTAL.sales_excluded WHERE settlement_time 11:00-15:00) / SUM(TTOTAL.customers WHERE settlement_time 11:00-15:00)
