作成日: 2025年12月16日,,,,,,最高：TITEM参照+時間帯フィルタ / 高負荷指標が多数,L0：データ取得層,,,,,,,,,,◎ 必須,
,,,,,,高：外部連携×外部連携 / 複合演算,L1：単純演算層,,,,,,,,,,○ 推奨,
,,,,,,中：外部連携単独 / 単純集計,L２-S:画面内演算層（単一店舗）同一画面内の複数指標を使った四則演算・比率計算,,,,,,,,,,△ 検討,
,,,,,,低：マスタ参照 / 内部入力,L３-S:画面間演算層（単一店舗）異なる画面の指標を参照して演算,,,,,,,,,,× 不要,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,input,,calculate,output,output指標を利用する先、画面,システム設計,,
No,画面タイトル,画面タイプ,独自画面度,経営重要度,データスコープ,データ負荷,計算レイヤー,演算範囲,Step1_外部テーブル,Step2_内部テーブル,Step3_インプット元,Step4_演算ロジック,Step5_演算式,Step6_画面表示,Step7_アウトプット先,キャッシュ戦略,スナップショット対象,更新トリガー
1,ABC分析,分析画面,低,S,店舗月次,最高,L3-S,外部連携単独,TITEM.item_name,head_office_item_sales_logs.item_name,[外部]TITEM.item_name,商品マスタ,商品: TITEM.item_name,ABC分析.商品,商品別仕入分析.商品,長期キャッシュ(1時間以上),◎,日次バッチ
,,,,,,,,,TITEM.sales_excluded,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,SUM商品別,売上（税抜）: SUM(TITEM.sales_excluded) GROUP BY item_name,ABC分析.売上（税抜）,"ABC分析.価格, ABC分析.売上構成比率, 当月実績.売上（税抜）, 感度分析.売上（税抜）, 日次レポート.売上（税抜）",,,
,,,,,,,,,TITEM.quantity,head_office_item_sales_logs.quantity,[外部]TITEM.quantity,SUM商品別,販売点数: SUM(TITEM.quantity) GROUP BY item_name,ABC分析.販売点数,"ABC分析.価格, ABC分析.販売点数構成比率",,,
,,,,,,,,外部連携×外部連携,"TITEM.sales_excluded, ZTOTAL.sales_excluded","head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","ABC分析.売上（税抜）, 当月実績.売上（税抜）",商品÷総売上×100,売上構成比率: ABC分析.売上（税抜） ÷ 当月実績.売上（税抜） × 100,ABC分析.売上構成比率,,,,
,,,,,,,,,TITEM.quantity,head_office_item_sales_logs.quantity,ABC分析.販売点数,商品数÷総数×100,販売点数構成比率: ABC分析.販売点数 ÷ SUM(ABC分析.販売点数) × 100,ABC分析.販売点数構成比率,,,,
,,,,,,,,,"TITEM.sales_excluded, TITEM.quantity","head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","ABC分析.売上（税抜）, ABC分析.販売点数",売上÷数量,価格: ABC分析.売上（税抜） ÷ ABC分析.販売点数,ABC分析.価格,,,,
2,FD仕入率トレンド,分析画面,高,S,店舗月次,最高,L3-S,外部連携×外部連携,"infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","予実対比.FD仕入, 当月実績.売上（税抜）",仕入÷売上×100推移,FD仕入率トレンド: 予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100 期間推移,FD仕入率トレンド.FD仕入率トレンド,"FD仕入率トレンド.直近12ヶ月, FD仕入率トレンド.直近6ヶ月",長期キャッシュ(1時間以上),◎,日次バッチ
,,,,,,,,,"infomart_transactions.total_tax_excluded, TITEM.sales_excluded","infomart_transactions.total_tax_excluded, head_office_item_sales_logs.sales_excluded","予実対比.フード仕入, 予実対比.フード売上",フード仕入÷フード売上×100,フード仕入比率: 予実対比.フード仕入 ÷ 予実対比.フード売上 × 100,FD仕入率トレンド.フード仕入比率,,,,
,,,,,,,,,,,"予実対比.ドリンク仕入, 予実対比.ドリンク売上",ドリンク仕入÷ドリンク売上×100,ドリンク仕入比率: 予実対比.ドリンク仕入 ÷ 予実対比.ドリンク売上 × 100,FD仕入率トレンド.ドリンク仕入比率,,,,
,,,,,,,,画面間演算,,,FD仕入率トレンド.FD仕入率トレンド,6ヶ月推移,直近6ヶ月: FD仕入率 直近6ヶ月トレンド,FD仕入率トレンド.直近6ヶ月,,,,
,,,,,,,,,,,,12ヶ月推移,直近12ヶ月: FD仕入率 直近12ヶ月トレンド,FD仕入率トレンド.直近12ヶ月,,,,
3,FD分析（仕入率/原価率）,分析画面,中,S,店舗月次,最高,L3-S,外部連携単独,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,SUMフード,フード当月仕入: SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',FD分析（仕入率/原価率）.フード当月仕入,,長期キャッシュ(1時間以上),◎,日次バッチ
,,,,,,,,,ZTOTAL.sales_excluded,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,SUMドリンク,ドリンク当月仕入: SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',FD分析（仕入率/原価率）.ドリンク当月仕入,,,,
