ダッシュボードカスタマイズ可能指標一覧（会社画面）
作成日: 2025-12-12
目的: ダッシュボード表示画面に追加・削除可能な指標のリスト

【現在のダッシュボード表示画面の構成】
- 主要KPI指標: 坪月商、営業利益率、家賃比率、ROI
- 当月実績: 営業利益、売上（税抜）、FD仕入率、人件費率、FL率
- 店舗別サマリー: 営業利益、売上（税抜）、売上目標、売上達成率、売上進捗率、FD仕入率、人件費率
- 店舗ラベル別サマリー: 営業利益、売上（税抜）、売上目標、売上達成率、売上進捗率、FD仕入率、人件費率

No,区分,追加元画面タイトル,追加元画面カテゴリ,指標名,指標説明,演算式,演算式詳細,追加先ダッシュボード候補,表示形式提案,優先度

【売上分析画面からの追加候補】

1,既存指標,ABC分析,売上分析,売上（税抜）TOP3商品,売上上位3商品の商品名と売上額,SUM商品別,SUM(head_office_item_sales_logs.sales_excluded) GROUP BY item_name ORDER BY DESC LIMIT 3,主要KPI指標/当月実績,ミニランキング表示,A
2,既存指標,ABC分析,売上分析,売上構成比率TOP3,売上構成比率上位3商品,商品売上÷総売上×100,ABC分析.売上（税抜） ÷ 当月実績.売上（税抜） × 100,当月実績,円グラフ（簡易版）,B
3,既存指標,ABC分析,売上分析,販売点数TOP3商品,販売点数上位3商品,SUM商品別,SUM(head_office_item_sales_logs.quantity) GROUP BY item_name ORDER BY DESC LIMIT 3,当月実績,ミニランキング表示,B
4,既存指標,商品別売上分析,売上分析,売上合計（税抜）,商品別売上の合計,SUM,SUM(head_office_item_sales_logs.sales_excluded),当月実績,数値表示,A
5,既存指標,時間帯別売上分析,売上分析,ランチ売上（税抜）,ランチ時間帯の売上合計,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.sales_lunch_excluded),当月実績,数値表示 + 構成比,A
6,既存指標,時間帯別売上分析,売上分析,ディナー売上（税抜）,ディナー時間帯の売上合計,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.sales_dinner_excluded),当月実績,数値表示 + 構成比,A
7,既存指標,時間帯別売上分析,売上分析,ランチ客数,ランチ時間帯の客数,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.customers_lunch),当月実績,数値表示,B
8,既存指標,時間帯別売上分析,売上分析,ディナー客数,ディナー時間帯の客数,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.customers_dinner),当月実績,数値表示,B
9,既存指標,時間帯別売上分析,売上分析,ランチ客単価（税抜）,ランチ時間帯の客単価,売上÷客数,時間帯別売上分析.ランチ売上（税抜） ÷ 時間帯別売上分析.ランチ客数,主要KPI指標,数値表示,A
10,既存指標,時間帯別売上分析,売上分析,ディナー客単価（税抜）,ディナー時間帯の客単価,売上÷客数,時間帯別売上分析.ディナー売上（税抜） ÷ 時間帯別売上分析.ディナー客数,主要KPI指標,数値表示,A
11,既存指標,曜日別売上分析,売上分析,曜日別平均売上（税抜）,曜日ごとの平均売上,AVG(GROUP BY曜日),AVG(head_office_connected_service_sales_logs.sales_excluded) GROUP BY DAYOFWEEK(date),当月実績,ミニ棒グラフ（7曜日）,B
12,既存指標,曜日別売上分析,売上分析,曜日別平均客数,曜日ごとの平均客数,AVG(GROUP BY曜日),AVG(head_office_connected_service_sales_logs.customers) GROUP BY DAYOFWEEK(date),当月実績,ミニ棒グラフ（7曜日）,B
13,既存指標,支払種別売上分析,売上分析,クレジットカード合計売上,クレジットカード決済の売上合計,SUM決済種別,SUM(head_office_connected_service_sales_logs.sales) WHERE payment_method = 'クレジットカード',当月実績,数値表示 + 比率,B
14,既存指標,支払種別売上分析,売上分析,QR決済合計売上,QR決済の売上合計,SUM決済種別,SUM(head_office_connected_service_sales_logs.sales) WHERE payment_method = 'QR決済',当月実績,数値表示 + 比率,B

【仕入分析画面からの追加候補】

15,既存指標,仕入別分析,仕入分析,仕入先TOP3,仕入額上位3社,SUM仕入先別,SUM(infomart_transactions.total_tax_excluded) GROUP BY client_name ORDER BY DESC LIMIT 3,当月実績,ミニランキング表示,B
16,既存指標,費目別仕入分析,仕入分析,費目別仕入額TOP3,費目別仕入額上位3項目,SUM費目別,SUM(infomart_transactions.total_tax_excluded) GROUP BY cost_item ORDER BY DESC LIMIT 3,当月実績,ミニランキング表示,B
17,既存指標,商品仕入単価,仕入分析,仕入単価変動アラート,前月比で単価が10%以上上昇した商品数,条件カウント,COUNT(*) WHERE (infomart_transactions.unit_price[当月] / infomart_transactions.unit_price[前月] - 1) > 0.1,当月実績,アラート表示,A
18,既存指標,平均単価推移,仕入分析,平均単価トレンド,直近6ヶ月の平均単価推移,AVG月別,AVG(infomart_transactions.unit_price) GROUP BY MONTH(date) LIMIT 6,当月実績,ミニ折れ線グラフ,B

【詳細分析画面からの追加候補】

19,既存指標,進捗分析,詳細分析,利益進捗率,月次の利益進捗率,累計利益÷目標利益×100,SUM(当月実績.営業利益[月初〜当日]) ÷ monthly_budgets.profit × 100,主要KPI指標/当月実績,ゲージチャート,S
20,既存指標,進捗分析,詳細分析,利益達成率,月次の利益達成率,累計利益÷目標利益×100,当月実績.営業利益 ÷ monthly_budgets.profit × 100,主要KPI指標,数値表示 + 色分け,S
21,既存指標,進捗分析,詳細分析,売上進捗率,月次の売上進捗率,累計売上÷目標売上×100,SUM(当月実績.売上（税抜）[月初〜当日]) ÷ monthly_budgets.sales × 100,主要KPI指標/当月実績,ゲージチャート,S
22,既存指標,進捗分析,詳細分析,売上達成率,月次の売上達成率,売上÷目標売上×100,当月実績.売上（税抜） ÷ monthly_budgets.sales × 100,主要KPI指標,数値表示 + 色分け,S
23,既存指標,日次推移,詳細分析,売上（税抜）推移,当月の日次売上推移,日別SUM,SUM(head_office_connected_service_sales_logs.sales_excluded) GROUP BY date,当月実績,ミニ折れ線グラフ,A
24,既存指標,日次推移,詳細分析,仕入費推移,当月の日次仕入推移,日別SUM,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,当月実績,ミニ折れ線グラフ,B
25,既存指標,日次推移,詳細分析,PA人件費推移,当月の日次PA人件費推移,日別SUM,SUM(head_office_employee_working_records.daily_cost) GROUP BY date,当月実績,ミニ折れ線グラフ,B
26,既存指標,利益率,詳細分析,目標利益率,設定した目標利益率,設定値参照,monthly_budgets.profit_rate,主要KPI指標,数値表示（目標値）,A
27,既存指標,仕入費率,詳細分析,目標仕入費率,設定した目標仕入費率,設定値参照,monthly_budgets.food_cost_rate,当月実績,数値表示（目標値）,A
28,既存指標,PA人件費率,詳細分析,目標PA人件費率,設定した目標PA人件費率,設定値参照,monthly_budgets.labor_cost_rate,当月実績,数値表示（目標値）,A
29,既存指標,客数,詳細分析,当月客数,当月の総客数,SUM,SUM(head_office_connected_service_sales_logs.customers),当月実績,数値表示,A
30,既存指標,客単価,詳細分析,当月客単価（税抜）,当月の客単価,売上÷客数,当月実績.売上（税抜） ÷ SUM(head_office_connected_service_sales_logs.customers),主要KPI指標,数値表示,S

【集計画面からの追加候補】

31,既存指標,予実対比,集計,総売上予実差額,売上の予算と実績の差額,実績-予算,当月実績.売上（税抜） - monthly_budgets.sales,当月実績,数値表示（+/-色分け）,A
32,既存指標,予実対比,集計,FD仕入予実差額,FD仕入の予算と実績の差額,実績-予算,予実対比.FD仕入 - monthly_budgets.food_cost,当月実績,数値表示（+/-色分け）,A
33,既存指標,予実対比,集計,人件費予実差額,人件費の予算と実績の差額,実績-予算,予実対比.人件費 - monthly_budgets.labor_cost,当月実績,数値表示（+/-色分け）,A
34,既存指標,予実対比,集計,フード売上,フード売上の合計,SUMフード,SUM(head_office_item_sales_logs.sales_excluded) WHERE category = 'フード',当月実績,数値表示,B
35,既存指標,予実対比,集計,ドリンク売上,ドリンク売上の合計,SUMドリンク,SUM(head_office_item_sales_logs.sales_excluded) WHERE category = 'ドリンク',当月実績,数値表示,B
36,既存指標,予実対比,集計,FD仕入合計,FD仕入の合計,SUMFD,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード' OR 'ドリンク'),当月実績,数値表示,A
37,既存指標,予実対比,集計,人件費合計,人件費の合計,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs),当月実績,数値表示,A
38,既存指標,年間予実対比,集計,年間営業利益推移,12ヶ月の営業利益推移,月別GROUP BY,当月実績.営業利益 GROUP BY MONTH(date) LIMIT 12,主要KPI指標,ミニ折れ線グラフ,S
39,既存指標,年間予実対比,集計,年間売上推移,12ヶ月の売上推移,月別SUM,SUM(head_office_connected_service_sales_logs.sales_excluded) GROUP BY MONTH(date) LIMIT 12,当月実績,ミニ折れ線グラフ,A
40,既存指標,年間予実対比,集計,年間FD仕入額推移,12ヶ月のFD仕入額推移,月別SUM,SUM(infomart_transactions.total_tax_excluded) GROUP BY MONTH(date) LIMIT 12,当月実績,ミニ折れ線グラフ,B
41,既存指標,年間予実対比,集計,年間人件費額推移,12ヶ月の人件費額推移,月別SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY MONTH(date) LIMIT 12,当月実績,ミニ折れ線グラフ,B
42,既存指標,月次レポート,集計,原価率,当月の原価率,原価÷売上×100,(月次レポート.対象前月在庫 + 月次レポート.仕入総額 - 月次レポート.対象月在庫) ÷ 当月実績.売上（税抜） × 100,主要KPI指標,数値表示,A
43,既存指標,日次レポート,集計,本日売上（税抜）,本日の売上,日付フィルタ,head_office_connected_service_sales_logs.sales_excluded WHERE date = TODAY(),当月実績,数値表示（リアルタイム）,S
44,既存指標,日次レポート,集計,本日仕入（税抜）,本日の仕入,日付フィルタ,infomart_transactions.total_tax_excluded WHERE date = TODAY(),当月実績,数値表示,A
45,既存指標,日次レポート,集計,本日PA人件費,本日のPA人件費,日付フィルタ,head_office_employee_working_records.daily_cost WHERE date = TODAY(),当月実績,数値表示,A

【登録管理画面からの追加候補】

46,既存指標,店舗管理,登録管理,総店舗数,登録店舗の総数,COUNT,COUNT(shops.id) WHERE status = 'active',主要KPI指標,数値表示,B
47,既存指標,店舗管理,登録管理,総席数合計,全店舗の総席数,SUM,SUM(shops.total_seat_num),主要KPI指標,数値表示,B
48,既存指標,店舗管理,登録管理,総坪数合計,全店舗の総坪数,SUM,SUM(shops.total_area_num),主要KPI指標,数値表示,B
49,既存指標,従業員管理,登録管理,従業員総数,登録従業員の総数,COUNT,COUNT(employees.id) WHERE status = 'active',主要KPI指標,数値表示,C

【新指標（UIカスタマイズ提案）からの追加候補】

50,新指標,期間比較拡張,売上分析,売上前年比,当月売上÷前年同月売上×100,前年比計算,head_office_connected_service_sales_logs.sales_excluded[当月] ÷ head_office_connected_service_sales_logs.sales_excluded[前年同月] × 100,主要KPI指標/当月実績/店舗別サマリー,数値表示（%）+ アイコン,S
51,新指標,期間比較拡張,売上分析,売上前月比,当月売上÷前月売上×100,前月比計算,head_office_connected_service_sales_logs.sales_excluded[当月] ÷ head_office_connected_service_sales_logs.sales_excluded[前月] × 100,当月実績,数値表示（%）+ アイコン,A
52,新指標,期間比較拡張,利益分析,営業利益前年比,当月営業利益÷前年同月営業利益×100,前年比計算,当月実績.営業利益[当月] ÷ 当月実績.営業利益[前年同月] × 100,主要KPI指標/当月実績,数値表示（%）+ アイコン,S
53,新指標,期間比較拡張,利益分析,営業利益率改善幅,当月営業利益率-前年同月営業利益率,差分計算,主要KPI指標.営業利益率[当月] - 主要KPI指標.営業利益率[前年同月],主要KPI指標,数値表示（pp）,A
54,新指標,期間比較拡張,客数分析,客数前年比,当月客数÷前年同月客数×100,前年比計算,head_office_connected_service_sales_logs.customers[当月] ÷ head_office_connected_service_sales_logs.customers[前年同月] × 100,当月実績,数値表示（%）+ アイコン,A
55,新指標,期間比較拡張,客単価分析,客単価前年比,当月客単価÷前年同月客単価×100,前年比計算,(当月実績.売上（税抜） ÷ 当月実績.客数)[当月] ÷ (当月実績.売上（税抜） ÷ 当月実績.客数)[前年同月] × 100,主要KPI指標,数値表示（%）+ アイコン,A
56,新指標,期間比較拡張,コスト分析,FD仕入率改善幅,当月FD仕入率-前年同月FD仕入率,差分計算,当月実績.FD仕入率[当月] - 当月実績.FD仕入率[前年同月],当月実績,数値表示（pp）+ 色分け,S
