画面タイトル,画面タイプ,ターゲット,総指標数,1次指標数,1次指標名(;区切り),2次指標数,2次指標名(;区切り),3次指標数,3次指標名(;区切り),4次指標数,4次指標名(;区切り),5次指標数,5次指標名(;区切り)
ユーザー,設定入力画面,本部管理者,5,5,ラクミーID; 氏名; 電話番号; ユーザー識別（本部、一般）; ステータス,0,,0,,0,,0,
ラベル設定（ラベル）,設定入力画面,本部管理者,4,4,ラベルID; ラベル名; 棚卸し; ステータスフラグ,0,,0,,0,,0,
ラベル設定（店舗リスト）,設定入力画面,本部管理者,4,4,店舗ID; 店舗名; ラベル名; ステータスフラグ,0,,0,,0,,0,
店舗管理,設定入力画面,本部管理者,14,14,店舗名; 電話番号; 郵便番号; 都道府県; 住所; 建物; 業種; 業態; 総卓数; 総席数; 坪数; 家賃種別; 家賃（金額）; 初期投資額,0,,0,,0,,0,
従業員管理,設定入力画面,本部管理者,8,8,従業員コード; 所属コード; 店舗ID; 店舗名; 区分（月給時給）; 総支給額; 所定労働時間; みなし残業時間,0,,0,,0,,0,
費用実績入力,実績入力画面,本部管理者,8,5,経費項目; 経費コード; 税区分; 日付; 金額,0,,3,費目; 移動元店舗; 移動先店舗,0,,0,
ABC分析,分析画面,本部管理者,6,0,,6,商品; 売上（税抜）; 売上構成比率; 販売点数; 販売点数構成比率; 価格,0,,0,,0,
PA人件費率分析,分析画面,本部管理者,2,0,,1,目標PA人件費率,0,,0,,1,労働生産性ランキング
予実対比,分析画面,本部管理者,50,0,,49,総売上; フード売上; フード売上ランチ; フード売上ディナー; ドリンク売上; ドリンク売上ランチ; ドリンク売上ディナー; 割引・値引きなど; FD仕入; フード仕入; ドリンク仕入; 人件費; 固定人件費; PA人件費; その他売上（サービス料等）; その他売上ランチ; その他売上ディナー; FD仕入額; 人件費額; 客単価; 客単価（ランチ）; 客単価（ディナー）; 総売上　計; フード売上 計; ドリンク売上　計; その他売上 計 （サービス料等）; その他売上ランチ; その他売上ディナー; FLコスト　計; FD仕入　計; 人件費　計; その他経費　計; ラクミー利用料; レジ利用料; 借入金返済; フード売上ランチ; フード売上ディナー; ドリンク売上ランチ; ドリンク売上ディナー; フード仕入; ドリンク仕入; 固定人件費; PA人件費; ヘルプ人件費; 地代家賃; 資材費; 水道光熱費; 減価償却費; 販促費,1,営業利益,0,,0,
仕入先分析,分析画面,本部管理者,4,0,,3,仕入れ先; 金額（税抜）; 比率,0,,0,,1,仕入先集中度
