ラクミー経営管理 会社画面 データソース定義表 V41（経営重要度再定義版）
作成日: 2025年12月09日
総指標数: 208指標
経営重要度: 本部・オーナー視点

■ 経営重要度 定義

ランク,定義,判断基準,該当指標数
S,最重要（経営判断直結）,収益性・投資回収に直結、取締役会/オーナー報告必須,20指標
A,重要（業績管理必須）,月次業績報告の主要KPI、全店舗比較の基準,39指標
B,標準（管理対象）,予実管理・進捗管理の対象、店舗評価指標,20指標
C,参考（分析用）,詳細分析・原因究明に使用、定期確認不要,108指標
D,補助（マスタ/設定）,マスタデータ、設定値、ラベル情報,21指標

■ 表示画面 (199指標)

No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善
1,表示画面,主要KPI指標,坪月商,L4a,B,画面間,計算項目,外部連携×ラクミー設定マスタ,POS売上とラクミー店舗マスタの組合せ,売上÷坪数,当月実績.売上税抜 ÷ 店舗マスタ.坪数,-,"head_office_connected_service_sales_logs.sales_excluded, shops.total_area_num",ZTOTAL.sales_excluded,POS売上（日別集計）,"当月実績.売上税抜, 店舗マスタ.坪数","当月実績.坪月商, 店舗別サマリー.坪月商, 時間帯別売上分析.坪月商",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / shops.total_area_num → 主要KPI指標.坪月商,スキーマ検証済,-,坪数マスタの取得元テーブル未確認,店舗マスタに坪数カラムがあるか確認必要
2,表示画面,主要KPI指標,営業利益率,L4b,S,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,営業利益÷売上×100,(当月実績.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費) ÷ 当月実績.売上税抜 × 100,当月実績.営業利益,z_totals.sales_excluded,-,-,"当月実績.営業利益, 当月実績.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費","当月実績.営業利益率, 店舗別サマリー.営業利益率, 時間帯別売上分析.営業利益率",z_totals.sales_excluded → 当月実績.営業利益 → 主要KPI指標.営業利益率,演算検証済,インプット元: 当月実績.営業利益,-,-
3,表示画面,主要KPI指標,家賃比率,L4a,B,画面間,計算項目,外部連携×ユーザー入力,費用設定とPOS売上の組合せ,家賃÷売上×100,月次費用入力.金額(家賃) ÷ 当月実績.売上税抜 × 100,-,"monthly_costs.value, head_office_connected_service_sales_logs.sales_excluded",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（費用設定）","月次費用入力.金額, 当月実績.売上税抜","当月実績.家賃比率, 店舗別サマリー.家賃比率, 時間帯別売上分析.家賃比率",ZTOTAL.sales_excluded → monthly_costs.value / head_office_connected_service_sales_logs.sales_excluded → 主要KPI指標.家賃比率,スキーマ検証済,-,家賃の費目IDが固定かどうか未確認,費目マスタで家賃IDを確認必要
4,表示画面,主要KPI指標,ROI,L4b,S,画面間,計算項目,演算×ユーザー入力,演算結果と予算設定の組合せ,営業利益÷投資×100,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,"当月実績.営業利益, 予算設定.予算金額","当月実績.ROI, 店舗別サマリー.ROI, 時間帯別売上分析.ROI",monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 主要KPI指標.ROI,演算検証済,インプット元: 当月実績.営業利益,投資額=予算金額の解釈が正しいか未確認,ROIの定義(分母)を仕様書で確認必要
5,表示画面,当月実績,営業利益,L4a,S,画面間,計算項目,複数種類混在,POS+インフォマート+KOT+費用設定の組合せ,売上-仕入-人件費-経費,当月実績.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, tax_excluded_total, labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","当月実績.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費","主要KPI指標.ROI, 年間予実対比.営業利益, 店舗別サマリー.営業利益, 進捗分析.利益進捗率",ZTOTAL.sales_excluded / tax_excluded_total / labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_labor_costs_logs.labor_costs → 当月実績.営業利益,スキーマ検証済,-,その他経費に含まれる費目の範囲が不明,経費の費目一覧を明確化必要
6,表示画面,当月実績,FD仕入率,L1,S,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100,予実対比.FD仕入 ÷ 当月実績.売上税抜 × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","tax_excluded_total, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上税抜",店舗別サマリー.FD仕入率,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 当月実績.FD仕入率,スキーマ検証済,-,-,-
7,表示画面,当月実績,人件費率,L1,S,画面間,計算項目,外部連携×外部連携,KOT人件費とPOS売上の組合せ,人件費÷売上×100,予実対比.人件費 ÷ 当月実績.売上税抜 × 100,-,"head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 当月実績.売上税抜",店舗別サマリー.人件費率,labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 当月実績.人件費率,スキーマ検証済,-,-,-
8,表示画面,当月実績,FL率,L1,S,画面間,計算項目,外部連携×外部連携,インフォマート+KOT+POSの組合せ,(F+L)÷売上×100,(予実対比.FD仕入 + 予実対比.人件費) ÷ 当月実績.売上税抜 × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","tax_excluded_total, labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","インフォマート（仕入）, 勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.FD仕入, 予実対比.人件費, 当月実績.売上税抜",-,tax_excluded_total / labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 当月実績.FL率,スキーマ検証済,-,-,-
9,表示画面,店舗別サマリー,営業利益,L4a,S,画面間,計算項目,複数種類混在,POS+インフォマート+KOT+費用設定の組合せ,売上-仕入-人件費-経費,店舗別サマリー.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, tax_excluded_total, labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","店舗別サマリー.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費","当月実績.営業利益, 年間予実対比.営業利益",ZTOTAL.sales_excluded / tax_excluded_total / labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_labor_costs_logs.labor_costs → 店舗別サマリー.営業利益,スキーマ検証済,-,店舗別の経費按分ロジックが不明,店舗別経費の按分方法を確認必要
