ダッシュボードカスタマイズ可能指標一覧（店舗画面）V81版
作成日: 2025-12-12（システム負荷情報追加）
目的: ダッシュボード表示画面に追加・削除可能な指標のリスト

【現在のダッシュボード表示画面の構成】
- 主要KPI指標: 坪月商、営業利益率、家賃比率、ROI
- 当月実績: 営業利益、売上（税抜）、FD仕入率、人件費率、FL率

No,区分,追加元画面タイトル,追加元画面カテゴリ,指標名,指標説明,演算式,演算式詳細,追加先ダッシュボード候補,表示形式提案,優先度,参照頻度,演算コスト,システム負荷,推奨対応,負荷コメント

【売上分析画面からの追加候補】

1,既存指標,ABC分析,売上分析,売上（税抜）TOP3商品,売上上位3商品の商品名と売上額,SUM商品別,SUM(head_office_item_sales_logs.sales_excluded) GROUP BY item_name ORDER BY DESC LIMIT 3,主要KPI指標/当月実績,ミニランキング表示,A,中,中,中,監視継続,-
2,既存指標,ABC分析,売上分析,売上構成比率TOP3,売上構成比率上位3商品,商品売上÷総売上×100,ABC分析.売上（税抜） ÷ 当月実績.売上（税抜） × 100,当月実績,円グラフ（簡易版）,B,中,中,中,監視継続,-
3,既存指標,ABC分析,売上分析,販売点数TOP3商品,販売点数上位3商品,SUM商品別,SUM(head_office_item_sales_logs.quantity) GROUP BY item_name ORDER BY DESC LIMIT 3,当月実績,ミニランキング表示,B,中,中,中,監視継続,-
4,既存指標,商品別売上分析,売上分析,売上合計（税抜）,商品別売上の合計,SUM,SUM(head_office_item_sales_logs.sales_excluded),当月実績,数値表示,A,中,中,中,監視継続,-
5,既存指標,商品別売上分析,売上分析,販売数量合計,商品別販売数量の合計,SUM,SUM(head_office_item_sales_logs.quantity),当月実績,数値表示,B,中,中,中,監視継続,-
6,既存指標,時間帯別売上分析,売上分析,ランチ売上（税抜）,ランチ時間帯の売上合計,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.sales_lunch_excluded),当月実績,数値表示 + 構成比,A,中,低,中,監視継続,-
7,既存指標,時間帯別売上分析,売上分析,ディナー売上（税抜）,ディナー時間帯の売上合計,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.sales_dinner_excluded),当月実績,数値表示 + 構成比,A,中,低,中,監視継続,-
8,既存指標,時間帯別売上分析,売上分析,ランチ客数,ランチ時間帯の客数,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.customers_lunch),当月実績,数値表示,B,中,中,中,監視継続,-
9,既存指標,時間帯別売上分析,売上分析,ディナー客数,ディナー時間帯の客数,SUM時間フィルタ,SUM(head_office_connected_service_sales_logs.customers_dinner),当月実績,数値表示,B,中,中,中,監視継続,-
10,既存指標,時間帯別売上分析,売上分析,ランチ客単価（税抜）,ランチ時間帯の客単価,売上÷客数,時間帯別売上分析.ランチ売上（税抜） ÷ 時間帯別売上分析.ランチ客数,主要KPI指標,数値表示,A,中,中,中,監視継続,-
11,既存指標,時間帯別売上分析,売上分析,ディナー客単価（税抜）,ディナー時間帯の客単価,売上÷客数,時間帯別売上分析.ディナー売上（税抜） ÷ 時間帯別売上分析.ディナー客数,主要KPI指標,数値表示,A,中,中,中,監視継続,-
12,既存指標,曜日別売上分析,売上分析,曜日別平均売上（税抜）,曜日ごとの平均売上,AVG(GROUP BY曜日),AVG(head_office_connected_service_sales_logs.sales_excluded) GROUP BY DAYOFWEEK(date),当月実績,ミニ棒グラフ（7曜日）,B,中,中,中,監視継続,-
13,既存指標,曜日別売上分析,売上分析,曜日別平均客数,曜日ごとの平均客数,AVG(GROUP BY曜日),AVG(head_office_connected_service_sales_logs.customers) GROUP BY DAYOFWEEK(date),当月実績,ミニ棒グラフ（7曜日）,B,中,中,中,監視継続,-
14,既存指標,曜日別売上分析,売上分析,曜日別平均客単価（税抜）,曜日ごとの平均客単価,AVG(売上÷客数),AVG(head_office_connected_service_sales_logs.sales_excluded ÷ customers) GROUP BY DAYOFWEEK(date),当月実績,ミニ棒グラフ（7曜日）,B,中,中,中,監視継続,-
15,既存指標,支払種別売上分析,売上分析,クレジットカード合計売上,クレジットカード決済の売上合計,SUM決済種別,SUM(head_office_connected_service_sales_logs.sales) WHERE payment_method = 'クレジットカード',当月実績,数値表示 + 比率,B,低,低,低,通常対応,-
16,既存指標,支払種別売上分析,売上分析,QR決済合計売上,QR決済の売上合計,SUM決済種別,SUM(head_office_connected_service_sales_logs.sales) WHERE payment_method = 'QR決済',当月実績,数値表示 + 比率,B,低,低,低,通常対応,-

【仕入分析画面からの追加候補】

17,既存指標,仕入先分析,仕入分析,仕入先TOP3,仕入額上位3社,SUM仕入先別,SUM(infomart_transactions.total_tax_excluded) GROUP BY client_name ORDER BY DESC LIMIT 3,当月実績,ミニランキング表示,B,中,中,中,監視継続,-
18,既存指標,商品別仕入分析,仕入分析,商品別仕入TOP3,商品別仕入額上位3項目,SUM商品別,SUM(infomart_transactions.total_tax_excluded) GROUP BY item_name ORDER BY DESC LIMIT 3,当月実績,ミニランキング表示,B,中,中,中,監視継続,-
19,既存指標,費目別仕入分析,仕入分析,費目別仕入額TOP3,費目別仕入額上位3項目,SUM費目別,SUM(infomart_transactions.total_tax_excluded) GROUP BY cost_item ORDER BY DESC LIMIT 3,当月実績,ミニランキング表示,B,中,中,中,監視継続,-
20,既存指標,商品仕入単価,仕入分析,仕入単価変動アラート,前月比で単価が10%以上上昇した商品数,条件カウント,COUNT(*) WHERE (infomart_transactions.unit_price[当月] / infomart_transactions.unit_price[前月] - 1) > 0.1,当月実績,アラート表示,A,中,中,中,監視継続,-
21,既存指標,平均単価推移,仕入分析,平均単価トレンド,直近6ヶ月の平均単価推移,AVG月別,AVG(infomart_transactions.unit_price) GROUP BY MONTH(date) LIMIT 6,当月実績,ミニ折れ線グラフ,B,中,中,中,監視継続,-

【詳細分析画面からの追加候補】

22,既存指標,利益進捗分析,詳細分析,利益進捗率,月次の利益進捗率,累計利益÷目標利益×100,SUM(当月実績.営業利益[月初〜当日]) ÷ monthly_budgets.profit × 100,主要KPI指標/当月実績,ゲージチャート,S,中,高,高,事前計算・非同期処理,スナップショット必須（0から計算で負荷大）
23,既存指標,利益進捗分析,詳細分析,利益達成率,月次の利益達成率,累計利益÷目標利益×100,当月実績.営業利益 ÷ monthly_budgets.profit × 100,主要KPI指標,数値表示 + 色分け,S,中,高,高,事前計算・非同期処理,スナップショット必須（0から計算で負荷大）
24,既存指標,売上進捗分析,詳細分析,売上進捗率,月次の売上進捗率,累計売上÷目標売上×100,SUM(当月実績.売上（税抜）[月初〜当日]) ÷ monthly_budgets.sales × 100,主要KPI指標/当月実績,ゲージチャート,S,中,高,高,事前計算・非同期処理,スナップショット必須（0から計算で負荷大）
25,既存指標,売上進捗分析,詳細分析,売上達成率,月次の売上達成率,売上÷目標売上×100,当月実績.売上（税抜） ÷ monthly_budgets.sales × 100,主要KPI指標,数値表示 + 色分け,S,中,高,高,事前計算・非同期処理,スナップショット必須（0から計算で負荷大）
26,既存指標,感度分析,詳細分析,客単価（税抜）,当月の客単価,売上÷客数,head_office_connected_service_sales_logs.sales_excluded ÷ head_office_connected_service_sales_logs.customers,主要KPI指標,数値表示,S,中,中,中,監視継続,-
27,既存指標,感度分析,詳細分析,変動費率,当月の変動費率,変動費÷売上×100,感度分析.変動費 ÷ 感度分析.売上（税抜） × 100,当月実績,数値表示,A,中,中,中,監視継続,-
28,既存指標,感度分析,詳細分析,粗利率,当月の粗利率,粗利÷売上×100,感度分析.粗利 ÷ 感度分析.売上（税抜） × 100,主要KPI指標,数値表示,S,中,中,中,監視継続,-
29,既存指標,感度分析,詳細分析,客数,当月の総客数,SUM,SUM(head_office_connected_service_sales_logs.customers),当月実績,数値表示,A,中,低,中,監視継続,-
30,既存指標,FD分析（仕入率/原価率）,詳細分析,FD原価率,FD原価率,原価÷売上×100,(FD分析.FD前月在庫高 + FD分析.FD当月仕入 - FD分析.FD当月在庫高) ÷ FD分析.売上 × 100,主要KPI指標,数値表示,A,低,中,中,監視継続,-
31,既存指標,FD分析（仕入率/原価率）,詳細分析,フード仕入率,フード仕入率,フード仕入÷売上×100,SUM(infomart_transactions.total_tax_excluded WHERE category='フード') ÷ 当月実績.売上（税抜） × 100,当月実績,数値表示,B,中,中,中,監視継続,-
32,既存指標,FD分析（仕入率/原価率）,詳細分析,ドリンク仕入率,ドリンク仕入率,ドリンク仕入÷売上×100,SUM(infomart_transactions.total_tax_excluded WHERE category='ドリンク') ÷ 当月実績.売上（税抜） × 100,当月実績,数値表示,B,中,中,中,監視継続,-
33,既存指標,FD分析（売上構成比）,詳細分析,フード売上合計,フード売上の合計,SUMフード,SUM(head_office_item_sales_logs.sales_excluded) WHERE category = 'フード',当月実績,数値表示,A,低,低,低,通常対応,-
34,既存指標,FD分析（売上構成比）,詳細分析,ドリンク売上合計,ドリンク売上の合計,SUMドリンク,SUM(head_office_item_sales_logs.sales_excluded) WHERE category = 'ドリンク',当月実績,数値表示,A,低,低,低,通常対応,-
35,既存指標,FD仕入率トレンド,詳細分析,FD仕入率トレンド,直近6ヶ月/12ヶ月のFD仕入率推移,月別GROUP BY,(SUM(infomart_transactions.total_tax_excluded) ÷ SUM(head_office_connected_service_sales_logs.sales_excluded) × 100) GROUP BY MONTH(date),当月実績,ミニ折れ線グラフ,B,中,高,高,事前計算・非同期処理,スナップショット必須（0から計算で負荷大）
36,既存指標,流入分析,詳細分析,平均回転数,当月の平均席回転数,客数÷総席数,SUM(head_office_connected_service_sales_logs.customers) ÷ (shops.total_seat_num × 営業日数),主要KPI指標,数値表示,A,低,高,中,事前計算検討,事前計算推奨
37,既存指標,流入分析,詳細分析,平均テーブル回転数,当月の平均テーブル回転数,総組数÷総卓数,流入分析.総組数 ÷ shops.total_table_num,主要KPI指標,数値表示,A,低,高,中,事前計算検討,事前計算推奨
38,既存指標,流入分析,詳細分析,テーブル稼働率,当月のテーブル稼働率,稼働テーブル÷総テーブル×100,流入分析.回転数 ÷ 流入分析.テーブル回転数 × 100,主要KPI指標,数値表示,A,低,高,中,事前計算検討,事前計算推奨
39,既存指標,流入分析,詳細分析,予約売上,予約経由の売上合計,SUM予約,SUM(head_office_connected_service_sales_logs.sales_excluded) WHERE reservation_flag = true,当月実績,数値表示 + 比率,B,中,高,高,事前計算・非同期処理,スナップショット必須（0から計算で負荷大）
40,既存指標,流入分析,詳細分析,ウォークイン売上,ウォークイン売上合計,SUMウォークイン,SUM(head_office_connected_service_sales_logs.sales_excluded) WHERE reservation_flag = false,当月実績,数値表示 + 比率,B,中,中,中,監視継続,-

【集計画面からの追加候補】

41,既存指標,予実対比,集計,総売上予実差額,売上の予算と実績の差額,実績-予算,当月実績.売上（税抜） - monthly_budgets.sales,当月実績,数値表示（+/-色分け）,A,中,中,中,監視継続,-
42,既存指標,予実対比,集計,FD仕入予実差額,FD仕入の予算と実績の差額,実績-予算,予実対比.FD仕入 - monthly_budgets.food_cost,当月実績,数値表示（+/-色分け）,A,中,中,中,監視継続,-
43,既存指標,予実対比,集計,人件費予実差額,人件費の予算と実績の差額,実績-予算,予実対比.人件費 - monthly_budgets.labor_cost,当月実績,数値表示（+/-色分け）,A,中,中,中,監視継続,-
44,既存指標,予実対比,集計,フード売上,フード売上の合計,SUMフード,SUM(head_office_item_sales_logs.sales_excluded) WHERE category = 'フード',当月実績,数値表示,B,中,中,中,監視継続,-
45,既存指標,予実対比,集計,ドリンク売上,ドリンク売上の合計,SUMドリンク,SUM(head_office_item_sales_logs.sales_excluded) WHERE category = 'ドリンク',当月実績,数値表示,B,中,中,中,監視継続,-
46,既存指標,予実対比,集計,FD仕入合計,FD仕入の合計,SUMFD,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード' OR 'ドリンク'),当月実績,数値表示,A,中,中,中,監視継続,-
47,既存指標,予実対比,集計,人件費合計,人件費の合計,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs),当月実績,数値表示,A,中,中,中,監視継続,-
48,既存指標,予実対比,集計,PA人件費,PA人件費の合計,SUM時給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '時給者',当月実績,数値表示,A,中,中,中,監視継続,-
