ラクミー経営管理 会社画面 データソース定義表 V56整合性修正版）
作成日: 2025年12月11日
総指標数,0,,,,,,,,,,,,,,,,,,,,,
経営重要度: 本部・オーナー視点

■ ラクミー経営管理 データフロー

順序,画面カテゴリ,役割,例
①,設定入力画面,予算・費用予算設定（予の定義元）,予算設定、月次費用入力、店舗管理、費目マスタ
②,実績入力画面,随時発生する実績入力（費用実績含む）,小口現金管理、店舗間商品移動、棚卸、費用実績入力
③,分析画面,演算あり：外部連携・設定・実績を組み合わせて分析,予実対比、ABC分析、商品別売上分析、トレンド分析
④,一覧表示画面,演算なし：データを一覧形式で表示,予算一覧、費用実績一覧、納品書管理、ラベル一覧
⑤,ダッシュボード表示画面,重要KPIを集約表示,主要KPI指標、当月実績、店舗別サマリー

■ 画面カテゴリ別 指標数

画面カテゴリ,件数,画面数,役割
設定入力画面,40件,7画面,予算・費用予算設定（予の定義元）
実績入力画面,9件,2画面,随時発生する実績入力（費用実績含む）
分析画面,143件,20画面,演算あり：外部連携・設定・実績を組み合わせて分析
一覧表示画面,36件,7画面,演算なし：データを一覧形式で表示
ダッシュボード表示画面,40件,4画面,重要KPIを集約表示

■ 設定入力画面 (40指標 / 7画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
1,設定入力画面,ユーザー,ラクミーID,L2,D,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.id,-,users.id,-,マスタ参照,-,-,users.id → ユーザー.ラクミーID,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値
2,設定入力画面,ユーザー,氏名,L2,D,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.name,-,users.name,-,ユーザー入力（ユーザー設定）,-,-,users.name → ユーザー.氏名,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値
3,設定入力画面,ユーザー,電話番号,L2,D,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.phone_number,-,users.phone_number,-,ユーザー入力（ユーザー設定）,-,-,users.phone_number → ユーザー.電話番号,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値
4,設定入力画面,ユーザー,ユーザー識別（本部、一般）,L2,D,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.role,-,users.role,-,ユーザー入力（ユーザー設定）,-,-,users.role → ユーザー.ユーザー識別（本部、一般）,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値
5,設定入力画面,ユーザー,ステータス,L2,D,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,users.status,-,users.status,-,ユーザー入力（ユーザー設定）,-,-,users.status → ユーザー.ステータス,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値
6,設定入力画面,ラベル設定（ラベル）,ラベルID,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.id,-,labels.id,-,ユーザー入力（ラベル設定）,-,-,labels.id → ラベル設定（ラベル）.ラベルID,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
7,設定入力画面,ラベル設定（ラベル）,ラベル名,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.name,-,labels.name,-,ユーザー入力（ラベル設定）,-,-,labels.name → ラベル設定（ラベル）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
8,設定入力画面,ラベル設定（ラベル）,棚卸し,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.is_inventory,-,labels.is_inventory,-,ユーザー入力（ラベル設定）,-,-,labels.is_inventory → ラベル設定（ラベル）.棚卸し,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
9,設定入力画面,ラベル設定（ラベル）,ステータスフラグ,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.status,-,labels.status,-,ユーザー入力（ラベル設定）,-,-,labels.status → ラベル設定（ラベル）.ステータスフラグ,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値
