ラクミー経営管理 店舗画面 データソース定義表 V41（経営重要度再定義版）
作成日: 2025年12月09日
総指標数: 556指標
経営重要度: 店長視点

■ 経営重要度 定義

ランク,定義,判断基準,該当指標数
S,最重要（日次確認必須）,毎日確認すべき数値、売上・利益に直結,53指標
A,重要（週次確認推奨）,週次で傾向把握、シフト・発注判断に影響,88指標
B,標準（月次確認）,月次振り返り、改善施策立案に使用,35指標
C,参考（必要時確認）,問題発生時の原因分析、詳細確認用,319指標
D,補助（設定/入力）,設定入力、マスタ情報、直接管理対象外,61指標

■ 表示画面 (493指標)

No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善
1,表示画面,主要KPI指標,坪月商,L4a,B,画面間,計算項目,外部連携×ラクミー設定マスタ,POS売上とラクミー店舗マスタの組合せ,売上÷坪数,当月実績.売上税抜 ÷ 店舗マスタ.坪数,-,"head_office_connected_service_sales_logs.sales_excluded, shops.total_area_num",ZTOTAL.sales_excluded,POS売上（日別集計）,"当月実績.売上税抜, 店舗マスタ.坪数","当月実績.坪月商, 時間帯別売上分析.坪月商, 曜日別売上分析.坪月商",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / shops.total_area_num → 主要KPI指標.坪月商,スキーマ検証済,-,坪数マスタの取得元テーブル未確認,店舗マスタに坪数カラムがあるか確認必要
2,表示画面,主要KPI指標,営業利益率,L4b,S,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,営業利益÷売上×100,(当月実績.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費) ÷ 当月実績.売上税抜 × 100,当月実績.営業利益,z_totals.sales_excluded,-,-,"当月実績.営業利益, 当月実績.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費","当月実績.営業利益率, 時間帯別売上分析.営業利益率, 曜日別売上分析.営業利益率",z_totals.sales_excluded → 当月実績.営業利益 → 主要KPI指標.営業利益率,演算検証済,インプット元: 当月実績.営業利益,-,-
3,表示画面,主要KPI指標,家賃比率,L4a,B,画面間,計算項目,外部連携×ユーザー入力,費用設定とPOS売上の組合せ,家賃÷売上×100,月次費用入力.金額(家賃) ÷ 当月実績.売上税抜 × 100,-,"monthly_costs.value, head_office_connected_service_sales_logs.sales_excluded",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（費用設定）","月次費用入力.金額, 当月実績.売上税抜","当月実績.家賃比率, 時間帯別売上分析.家賃比率, 曜日別売上分析.家賃比率",ZTOTAL.sales_excluded → monthly_costs.value / head_office_connected_service_sales_logs.sales_excluded → 主要KPI指標.家賃比率,スキーマ検証済,-,家賃の費目IDが固定かどうか未確認,費目マスタで家賃IDを確認必要
4,表示画面,主要KPI指標,ROI,L4b,B,画面間,計算項目,演算×ユーザー入力,演算結果と予算設定の組合せ,営業利益÷投資×100,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,"当月実績.営業利益, 予算設定.予算金額","当月実績.ROI, 時間帯別売上分析.ROI, 曜日別売上分析.ROI",monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 主要KPI指標.ROI,演算検証済,インプット元: 当月実績.営業利益,投資額=予算金額の解釈が正しいか未確認,ROIの定義(分母)を仕様書で確認必要
5,表示画面,主要KPI指標(ダッシュボード上部),坪月商,L4a,B,画面間,計算項目,外部連携×ラクミー設定マスタ,POS売上とラクミー店舗マスタの組合せ,売上÷坪数,当月実績.売上税抜 ÷ 店舗マスタ.坪数,-,"head_office_connected_service_sales_logs.sales_excluded, shops.total_area_num",ZTOTAL.sales_excluded,POS売上（日別集計）,"当月実績.売上税抜, 店舗マスタ.坪数",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / shops.total_area_num → 主要KPI指標(ダッシュボード上部).坪月商,スキーマ検証済,-,-,-
6,表示画面,主要KPI指標(ダッシュボード上部),営業利益率,L4b,S,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,営業利益÷売上×100,(当月実績.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費) ÷ 当月実績.売上税抜 × 100,当月実績.営業利益,z_totals.sales_excluded,-,-,"当月実績.営業利益, 当月実績.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費",-,z_totals.sales_excluded → 当月実績.営業利益 → 主要KPI指標(ダッシュボード上部).営業利益率,演算検証済,インプット元: 当月実績.営業利益,-,-
7,表示画面,主要KPI指標(ダッシュボード上部),家賃比率,L4a,B,画面間,計算項目,外部連携×ユーザー入力,費用設定とPOS売上の組合せ,家賃÷売上×100,月次費用入力.金額(家賃) ÷ 当月実績.売上税抜 × 100,-,"monthly_costs.value, head_office_connected_service_sales_logs.sales_excluded",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（費用設定）","月次費用入力.金額, 当月実績.売上税抜",-,ZTOTAL.sales_excluded → monthly_costs.value / head_office_connected_service_sales_logs.sales_excluded → 主要KPI指標(ダッシュボード上部).家賃比率,スキーマ検証済,-,-,-
8,表示画面,主要KPI指標(ダッシュボード上部),ROI,L4b,B,画面間,計算項目,演算×ユーザー入力,演算結果と予算設定の組合せ,営業利益÷投資×100,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,"当月実績.営業利益, 予算設定.予算金額",-,monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 主要KPI指標(ダッシュボード上部).ROI,演算検証済,インプット元: 当月実績.営業利益,-,-
9,表示画面,当月実績,営業利益,L4a,S,画面間,計算項目,複数種類混在,POS+インフォマート+KOT+費用設定の組合せ,売上-仕入-人件費-経費,当月実績.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, tax_excluded_total, labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","当月実績.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費","主要KPI指標(ダッシュボード上部).ROI, 主要KPI指標.ROI, 利益進捗分析.利益進捗率, 利益進捗分析.利益進捗率比較(前々月), 利益進捗分析.利益進捗率比較(前月), 利益進捗分析.利益達成率, 年間予実対比.営業利益",ZTOTAL.sales_excluded / tax_excluded_total / labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_labor_costs_logs.labor_costs → 当月実績.営業利益,スキーマ検証済,-,その他経費に含まれる費目の範囲が不明,経費の費目一覧を明確化必要
