大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
集計	全ウィジェット数	-	118549	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	ディメン数(統合)	-	171	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	└ 親ディメン数	-	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	└ カスタムタグ数	-	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	└ 属性ディメン数	-	145	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	トランザクション数	-	1210	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	設定項目数	-	149	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	単軸マッピング	-	16519	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	2軸マッピング	-	100500	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	粒度ブロック数(2軸組合せ)	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_date	日	time	共通	-	-	小	🟢 制限なし	システムディメン	date	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_week	週	time	共通	-	-	小	🟢 制限なし	システムディメン	week	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_month	月	time	共通	-	-	小	🟢 制限なし	システムディメン	month	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_quarter	四半期	time	共通	-	-	小	🟢 制限なし	システムディメン	quarter	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_year	年	time	共通	-	-	小	🟢 制限なし	システムディメン	year	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_time_slot	時間帯	category	店長	-	-	小	🟢 制限なし	システムディメン	time_slot_id	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_weekday	曜日	category	店長	-	-	小	🟢 制限なし	システムディメン	dow	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_product	商品	entity	共通	-	-	小	🟢 制限なし	システムディメン	product_id	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_product_group	商品グループ	taxonomy	店長	-	-	小	🟢 制限なし	システムディメン	product_group_id	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_supplier	仕入先	entity	共通	-	-	大	🔴 連携必要	システムディメン(外部連携)	supplier_id	FLOW	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_supplier_label	仕入先ラベル	taxonomy	店長	-	-	大	🔴 連携必要	システムディメン(外部連携)	supplier_label_id	FLOW	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_staff	スタッフ	entity	店長	-	-	大	🔴 連携必要	システムディメン(外部連携)	staff_id	SNAPSHOT	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_staff_label	スタッフラベル	taxonomy	店長	-	-	大	🔴 連携必要	システムディメン(外部連携)	staff_label_id	SNAPSHOT	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_expense_cat	費目	taxonomy	共通	-	-	小	🟢 制限なし	システムディメン	expense_item_id	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_indicator_bundle	指標バンドルタグ	tag_indicator	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	metric_id[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_product_bundle	商品バンドルタグ	tag_product	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	product_id[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_time_slot_bundle	時間帯バンドルタグ	tag_time_slot	店長	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	time_slot_id[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_staff_bundle	スタッフバンドルタグ	tag_staff	店長	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	staff_id[]	SNAPSHOT	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_supplier_bundle	仕入先バンドルタグ	tag_supplier	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	supplier_id[]	FLOW	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_period_bundle	期間バンドルタグ	tag_period	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	date_range[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S375	商品ID	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S377	商品名	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S378	費目名	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S379	ラベル名	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S380	発注先ID	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S381	発注先名	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S382	ラベル名	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	S383	商品ID	マスタ参照表示	店長	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
