画面区分,画面タイトル,指標名,演算式,演算に使用する指標（画面タイトル.指標名）,演算式詳細（テーブル.カラム）,インプット元画面タイトル,インプット元指標名,アウトプット先画面タイトル,アウトプット先指標名
会社,主要KPI指標,坪月商,売上÷坪数,当月実績.売上税抜; 店舗マスタ.坪数,ZTOTAL.sales_excluded ÷ shops.floor_area,当月実績; 店舗マスタ,売上税抜; 坪数,-,-
会社,主要KPI指標,営業利益率,営業利益÷売上×100,当月実績.営業利益; 当月実績.売上税抜,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ ZTOTAL.sales_excluded × 100,当月実績; 当月実績,営業利益; 売上税抜,-,-
会社,主要KPI指標,家賃比率,家賃÷売上×100,月次費用入力.地代家賃; 当月実績.売上税抜,monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100,月次費用入力; 当月実績,地代家賃; 売上税抜,-,-
会社,主要KPI指標,ROI,営業利益÷投資×100,当月実績.営業利益; 予算設定.予算金額,(営業利益) ÷ monthly_budgets.value × 100,当月実績; 予算設定,営業利益; 予算金額,-,-
会社,当月実績,営業利益,売上-仕入-人件費-経費,当月実績.売上税抜; 当月実績.FD仕入額; 当月実績.人件費; 当月実績.その他経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,当月実績; 当月実績; 当月実績; 当月実績,売上税抜; FD仕入額; 人件費; その他経費,店舗別サマリー; 年間予実対比; 進捗分析; 主要KPI指標,営業利益; 営業利益; 利益進捗率の計算に使用; 営業利益率/ROIの計算に使用
会社,当月実績,売上税抜,SUM,-,SUM(ZTOTAL.sales_excluded),-,-,店舗別サマリー; ABC分析; 日次推移; 日次レポート; 主要KPI指標; 時間帯別売上分析,売上税抜; 売上構成比率の計算に使用; 売上税抜; 売上税抜; 坪月商/営業利益率の計算に使用; 客単価の計算に使用
会社,当月実績,FD仕入率,仕入÷売上×100,当月実績.FD仕入額; 当月実績.売上税抜,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,当月実績; 当月実績,FD仕入額; 売上税抜,店舗別サマリー,FD仕入率
会社,当月実績,人件費率,人件費÷売上×100,当月実績.人件費; 当月実績.売上税抜,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100,当月実績; 当月実績,人件費; 売上税抜,店舗別サマリー,人件費率
会社,当月実績,FL率,(F+L)÷売上×100,当月実績.FD仕入額; 当月実績.人件費; 当月実績.売上税抜,(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100,当月実績; 当月実績; 当月実績,FD仕入額; 人件費; 売上税抜,-,-
会社,店舗別サマリー,営業利益,売上-仕入-人件費-経費,当月実績.営業利益; 店舗別サマリー.売上税抜; 店舗別サマリー.FD仕入額; 店舗別サマリー.人件費; 店舗別サマリー.その他経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,当月実績; 店舗別サマリー; 店舗別サマリー; 店舗別サマリー; 店舗別サマリー,営業利益; 売上税抜; FD仕入額; 人件費; その他経費,当月実績; 年間予実対比,営業利益（会社合計）; 営業利益
会社,店舗別サマリー,売上税抜,SUM店舗別,当月実績.売上税抜,SUM(ZTOTAL.sales_excluded),当月実績,売上税抜,店舗別サマリー; 店舗別サマリー,売上達成率の計算に使用; 売上進捗率の計算に使用
会社,店舗別サマリー,売上目標,マスタ参照,予算設定.予算金額,monthly_budgets.value,予算設定,予算金額,店舗別サマリー; 店舗別サマリー,売上達成率の計算に使用; 売上進捗率の計算に使用
会社,店舗別サマリー,売上達成率,実績÷目標×100,店舗別サマリー.売上税抜; 予算設定.売上目標,ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100,店舗別サマリー; 予算設定,売上税抜; 売上目標,-,-
会社,店舗別サマリー,売上進捗率,累計÷目標×100,店舗別サマリー.売上税抜累計; 予算設定.売上目標,SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100,店舗別サマリー; 予算設定,売上税抜累計; 売上目標,進捗分析,売上進捗率
会社,店舗別サマリー,FD仕入率,仕入÷売上×100,当月実績.FD仕入率; 店舗別サマリー.FD仕入額; 店舗別サマリー.売上税抜,(trade_total.total_tax_excluded) ÷ (ZTOTAL.sales_excluded) × 100,当月実績; 店舗別サマリー; 店舗別サマリー,FD仕入率; FD仕入額; 売上税抜,-,-
会社,店舗別サマリー,人件費率,人件費÷売上×100,当月実績.人件費率; 店舗別サマリー.人件費; 店舗別サマリー.売上税抜,(head_office_connected_service_labor_costs_logs.labor_costs) ÷ (ZTOTAL.sales_excluded) × 100,当月実績; 店舗別サマリー; 店舗別サマリー,人件費率; 人件費; 売上税抜,-,-
会社,ABC分析,商品,商品マスタ,-,TITEM.item_name,-,-,-,-
会社,ABC分析,売上税抜,SUM商品別,当月実績.売上税抜,SUM(TITEM.sales_excluded),当月実績,売上税抜,ABC分析; ABC分析,売上構成比率の計算に使用; 価格の計算に使用
会社,ABC分析,売上構成比率,商品÷総売上×100,ABC分析.商品別売上税抜; ABC分析.総売上税抜,商品÷総売上×100,ABC分析; ABC分析,商品別売上税抜; 総売上税抜,-,-
会社,ABC分析,販売点数,SUM商品別,-,SUM(TITEM.quantity),-,-,-,-
会社,ABC分析,販売点数構成比率,商品数÷総数×100,ABC分析.商品別販売点数; ABC分析.総販売点数,商品数÷総数×100,ABC分析; ABC分析,商品別販売点数; 総販売点数,-,-
会社,ABC分析,価格,売上÷数量,ABC分析.売上税抜; ABC分析.販売点数,(TITEM.sales_excluded) ÷ (TITEM.quantity),ABC分析; ABC分析,売上税抜; 販売点数,-,-
会社,商品別売上分析,商品単価税抜,売上÷数量,-,(TITEM.sales_excluded) ÷ (TITEM.quantity),-,-,-,-
会社,商品別売上分析,商品単価税込,売上÷数量,-,(TITEM.sales) ÷ (TITEM.quantity),-,-,-,-
会社,商品別売上分析,販売数量,SUM商品別,-,SUM(TITEM.quantity),-,-,-,-
会社,商品別売上分析,売上合計税抜,SUM商品別,-,SUM(TITEM.sales_excluded),-,-,-,-
会社,商品別売上分析,売上合計税込,SUM商品別,-,SUM(TITEM.sales),-,-,-,-
会社,時間帯別売上分析,ランチ売上税抜,SUM(オーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-,-,-
会社,時間帯別売上分析,ディナー売上税抜,SUM(オーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-,-,-
会社,時間帯別売上分析,客数,SUM時間帯別,-,SUM(ZTOTAL.customers),-,-,-,-
会社,時間帯別売上分析,客単価税抜,売上÷客数,時間帯別売上分析.売上税抜; 時間帯別売上分析.客数,(ZTOTAL.sales_excluded) ÷ (ZTOTAL.customers),時間帯別売上分析; 時間帯別売上分析,売上税抜; 客数,-,-
会社,曜日別売上分析,曜日,曜日抽出,-,曜日抽出,-,-,-,-
会社,曜日別売上分析,平均売上税抜,AVG曜日別,当月実績.売上税抜,AVG曜日別,当月実績,売上税抜,-,-
会社,曜日別売上分析,平均客数,AVG曜日別,当月実績.客数,AVG曜日別,当月実績,客数,-,-
会社,支払種別売上分析,支払方法,マスタ参照,-,TTEND.head_office_payment_method_id,-,-,-,-
会社,支払種別売上分析,売上税込,SUM支払別,-,SUM(TTEND.sales),-,-,-,-
会社,支払種別売上分析,売上比率,支払÷総売上×100,支払種別売上分析.支払別売上税込; 支払種別売上分析.総売上税込,支払÷総売上×100,支払種別売上分析; 支払種別売上分析,支払別売上税込; 総売上税込,-,-
会社,仕入別分析,仕入れ先,マスタ参照,-,member_name_partner.client_name,-,-,-,-
会社,仕入別分析,金額税抜,SUM仕入先別,-,SUM(tax_excluded_total.total_tax_excluded),-,-,-,-
会社,仕入別分析,比率,仕入先÷総仕入×100,仕入別分析.仕入先別金額税抜; 仕入別分析.総仕入金額税抜,仕入先÷総仕入×100,仕入別分析; 仕入別分析,仕入先別金額税抜; 総仕入金額税抜,-,-
会社,商品別仕入分析,商品,マスタ参照,-,detail_list.item_name,-,-,-,-
会社,商品別仕入分析,仕入れ先,マスタ参照,-,member_name_partner.client_name,-,-,-,-
会社,商品別仕入分析,金額税抜,SUM商品別,-,SUM(detail_list.price),-,-,-,-
会社,商品別仕入分析,比率,商品÷総仕入×100,-,商品÷総仕入×100,-,-,-,-
会社,費目別仕入分析,費目,費目マスタ,-,monthly_cost_items.name,-,-,-,-
会社,費目別仕入分析,金額税抜,SUM費目別,-,SUM(monthly_costs.value),-,-,-,-
会社,費目別仕入分析,比率,費目÷総仕入×100,-,費目÷総仕入×100,-,-,-,-
会社,商品仕入単価,アイテム,マスタ参照,-,detail_list.item_name,-,-,-,-
会社,商品仕入単価,金額税抜,SUM商品別,-,SUM(detail_list.price),-,-,-,-
会社,商品仕入単価,数量,SUM商品別,-,SUM(detail_list.num),-,-,-,-
会社,商品仕入単価,単価,金額÷数量,商品仕入単価.金額税抜; 商品仕入単価.数量,金額÷数量,商品仕入単価; 商品仕入単価,金額税抜; 数量,-,-
会社,平均単価推移,仕入商品ラベル,ラベルマスタ,-,detail_list.item_name,-,-,-,-
会社,平均単価推移,仕入金額税抜,SUM月別,-,SUM(detail_list.price),-,-,-,-
会社,平均単価推移,数量,SUM月別,-,SUM(detail_list.num),-,-,-,-
会社,平均単価推移,平均単価,金額÷数量,平均単価推移.仕入金額税抜; 平均単価推移.数量,金額÷数量,平均単価推移; 平均単価推移,仕入金額税抜; 数量,-,-
会社,平均単価推移,平均単価推移,直近6ヶ月の平均単価推移,-,AVG(detail_list.unit_price) 月別推移,-,-,-,-
会社,平均単価推移,平均単価推移,直近12ヶ月の平均単価推移,-,AVG(detail_list.unit_price) 月別推移,-,-,-,-
会社,進捗分析,利益進捗率,営業利益累計÷目標利益×100,当月実績.営業利益累計; 予算設定.月次目標利益,(営業利益累計) ÷ monthly_budgets.profit_target × 100,当月実績; 予算設定,営業利益累計; 月次目標利益,-,-
会社,進捗分析,売上進捗率,売上累計÷目標×100,店舗別サマリー.売上進捗率; 当月実績.売上税抜累計; 予算設定.売上目標,SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100,店舗別サマリー; 当月実績; 予算設定,売上進捗率; 売上税抜累計; 売上目標,店舗別サマリー,売上進捗率
会社,進捗分析,達成率,実績÷目標×100,当月実績.売上税抜; 予算設定.売上目標,(ZTOTAL.sales_excluded) ÷ (monthly_budgets.value),当月実績; 予算設定,売上税抜; 売上目標,-,-
会社,日次推移,売上税抜,日別集計,-,日別集計,-,-,-,-
会社,日次推移,仕入費,日別集計,-,日別集計,-,-,-,-
会社,日次推移,PA人件費,日別集計,-,日別集計,-,-,-,-
会社,利益率,目標利益率,マスタ参照,-,monthly_budgets.ratio,-,-,-,-
会社,仕入費率,目標仕入費率,マスタ参照,-,monthly_budgets.ratio,-,-,-,-
会社,PA人件費率,目標PA人件費率,マスタ参照,-,monthly_budgets.ratio,-,-,-,-
会社,客数,当月客数,SUM月別,-,SUM(ZTOTAL.customers),-,-,-,-
会社,客単価,当月客単価税抜,売上÷客数,-,(ZTOTAL.sales_excluded) ÷ (ZTOTAL.customers),-,-,-,-
会社,予実対比,総売上,SUM,-,SUM(ZTOTAL.sales_excluded),-,-,-,-
会社,予実対比,フード売上,SUMフード,-,SUM(TITEM.sales_excluded),-,-,-,-
会社,予実対比,フード売上ランチ,SUM(フードかつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-,-,-
会社,予実対比,フード売上ディナー,SUM(フードかつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-,-,-
会社,予実対比,ドリンク売上,SUMドリンク,-,SUM(TITEM.sales_excluded),-,-,-,-
会社,予実対比,ドリンク売上ランチ,SUM(ドリンクかつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded),-,-,-,-
会社,予実対比,ドリンク売上ディナー,SUM(ドリンクかつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded),-,-,-,-
会社,予実対比,その他売上,SUMその他,-,SUM(TITEM.sales_excluded),-,-,-,-
会社,予実対比,割引値引き,SUM,-,SUM(ZTOTAL.discount),-,-,-,-
会社,予実対比,FD仕入,SUMFD,-,SUM(tax_excluded_total.total_tax_excluded),-,-,-,-
会社,予実対比,フード仕入,SUMフード,-,SUM(tax_excluded_total.total_tax_excluded),-,-,-,-
会社,予実対比,ドリンク仕入,SUMドリンク,-,SUM(tax_excluded_total.total_tax_excluded),-,-,-,-
会社,予実対比,人件費,SUM,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-,-,-
