セクション,機能名,機能説明,UI要素,選択肢／パラメータ,デフォルト値,制約・注意,関連指標
ディメンション,会社スコープ選択,レポート対象の会社範囲を選択,セレクトボックス,単一会社 / 連結会社,単一会社,マルチカンパニー対応時のみ複数,プロダクト区分
ディメンション,店舗スコープ選択,店舗レベルの表示粒度を選択,ラジオボタン+複数選択,全店舗集計 / 単店舗 / 複数店舗指定 / 店舗ラベル別 / 業態別,全店舗集計,単店舗時は会社視点指標(L2-C/L3-C)は無効化,店舗情報(1次)、ラベル(1次)
ディメンション,店舗選択,複数店舗選択時の対象店舗,チェックボックス付リスト（検索可）,登録全店舗,-,最大20店舗まで推奨（表示性能）,shops.id
ディメンション,期間選択,データ集計対象の期間,カレンダー期間選択UI,カスタム期間 / 当月 / 先月 / 直近3ヶ月 / 直近12ヶ月 / 当年度 / 前年度 / 前年同月 / 前年同期,当月,指標の粒度に応じて選択可能範囲制限,年月日
ディメンション,比較期間選択,前期比較用の期間,カレンダー期間選択UI（オプション）,なし / 前月 / 前年同月 / 前年同期 / カスタム,前年同月,比較表示時のみ,-
ディメンション,時系列粒度,期間内のデータ刻み,セレクトボックス,日次 / 週次 / 月次 / 四半期 / 年次,月次,日次は最大31日分、週次は最大52週分等,-
ディメンション,商品ディメンション,商品軸での分解,セレクトボックス,なし / カテゴリ / フード/ドリンク / 個別商品 / ABCランク,なし,選択時は商品系指標のみ併記可能,商品マスタ(1次)
ディメンション,費目ディメンション,費目軸での分解,セレクトボックス,なし / 大分類(FD/人件費/経費) / 中分類 / 個別費目,なし,選択時は費用系指標のみ併記可能,費目マスタ(1次)
ディメンション,時間帯ディメンション,時間帯軸での分解,セレクトボックス,なし / ランチ/ディナー / 2時間刻み / 曜日別,なし,POS系指標のみ,POS時間帯(1次)
指標列,指標ピッカー,表示する指標を選択,モーダル（次数・カテゴリ・画面タイプで絞込）,会社V69の全1次〜5次指標（548件）,前回選択,併記不可指標の組合せは警告,会社画面全指標
指標列,指標検索,指標名フリーワード検索,検索ボックス,部分一致,-,-,-
指標列,指標絞込,属性フィルタ,チェックボックス,次数(1-5) / 経営重要度(S-D) / スナップショット対象(◎○△×) / 画面タイプ / カテゴリ,重要度S+A,表示性能のため上位のみ推奨,-
指標列,指標グルーピング,指標を意味単位でまとめる,ドラッグ&ドロップ,売上系 / 収益性 / 効率性 / 成長性 / 人件費 / カスタム,自動判定(カテゴリから),1グループ最大15指標,-
指標列,グループ内表示順,グループ内の指標順序,ドラッグ&ドロップ+ソート,表示順 / 数値昇順 / 数値降順 / 経営重要度順 / ユーザー指定,ユーザー指定,集計が異なる場合は警告,-
集計表,X軸Y軸切替,行列の入れ替え,トグルボタン,行=ディメンション/列=指標 / 行=指標/列=ディメンション(転置),標準,転置時はディメンション数>指標数の方が見やすい,-
集計表,行の並び順,行の並び替え,ソートアイコン,表示順 / 指定列の昇順/降順 / 複数列ソート,表示順,集計値が違う列でのソートは注意,-
集計表,列の並び順,列の並び替え,ドラッグ&ドロップ,表示順 / グループ内昇順/降順,表示順,グループをまたぐ並び替えは不可,-
集計表,小計・合計行,小計/合計の表示,チェックボックス,なし / 全体合計 / グループ小計 / 店舗ラベル別小計,全体合計,AVG系指標は加重平均/算術平均を選択,-
集計表,表示形式,セル内の表示方法,セレクトボックス,値のみ / 値+前月比差 / 値+前月比率 / 値+予実差額 / 値+予算対比率 / ヒートマップ,値のみ,指標によっては一部選択不可,-
集計表,閾値ハイライト,値の色分け,条件設定UI,達成率90%未満で赤 / 成長率0未満で赤 / カスタム条件,なし,ユーザー定義可,-
操作,レポート保存,設定を名前付きで保存,保存ボタン+名称入力,プライベート / チーム共有 / 全社共有,プライベート,共有権限は本部管理者のみ,-
操作,レポート呼出,保存済みレポート呼出,サイドパネル一覧,-,-,-,-
操作,エクスポート,外部ファイル出力,ボタン,CSV / Excel / PDF / PNG(グラフ),Excel,行数1000超はCSV推奨,-
操作,ドリルダウン,セルから詳細表示,セルクリック,該当店舗×指標の時系列グラフ / 該当期間の日次データ / 内訳ブレイクダウン,時系列グラフ,次数が低い方の指標しかドリル不可,-
操作,URL共有,表示設定を含むURL生成,共有ボタン,パブリック / 社内限定,社内限定,機密情報は社内限定,-
操作,自動更新,定期的なデータ更新,トグル+間隔選択,オフ / 5分 / 30分 / 1時間,オフ,スナップショット指標は1時間推奨,-
