画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
ラベル設定（ラベル）,設定入力画面,1次,ラベルID,L0,-,-,1
ラベル設定（ラベル）,設定入力画面,1次,ラベル名,L0,-,-,2
ラベル設定（ラベル）,設定入力画面,1次,棚卸,L0,-,-,3
ラベル設定（ラベル）,設定入力画面,1次,ステータスフラグ,L0,-,-,4
ラベル設定（仕入商品リスト）,設定入力画面,1次,商品ID,L0,-,-,5
ラベル設定（仕入商品リスト）,設定入力画面,1次,発注先,L0,[マスタ]infomart_clients.name,-,6
ラベル設定（仕入商品リスト）,設定入力画面,1次,商品名,L0,-,-,7
ラベル設定（仕入商品リスト）,設定入力画面,1次,費目,L0,-,-,8
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名1,L0,納品書詳細.仕入商品,-,10
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名2,L0,-,-,11
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名3,L0,-,-,12
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名4,L0,-,-,13
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名5,L0,-,-,14
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名6,L0,-,-,15
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名7,L0,-,-,16
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名8,L0,-,-,17
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名9,L0,-,-,18
ラベル設定（仕入商品リスト）,設定入力画面,1次,ラベル名10,L0,-,-,19
ラベル設定（仕入商品リスト）,設定入力画面,3次,AIによる費目生成,L2-S,-,-,9
ラベル設定（売上商品リスト）,設定入力画面,1次,商品ID,L0,[マスタ]head_office_item_sales_logs.item_id,-,20
ラベル設定（売上商品リスト）,設定入力画面,1次,商品名,L0,[マスタ]head_office_item_sales_logs.item_name,-,21
ラベル設定（売上商品リスト）,設定入力画面,1次,商品ID（連携サービス）,L0,[マスタ]head_office_item_sales_logs.external_item_id,-,22
ラベル設定（売上商品リスト）,設定入力画面,1次,商品コード（連携サービス）,L0,[マスタ]head_office_item_sales_logs.external_item_code,-,23
ラベル設定（売上商品リスト）,設定入力画面,1次,ラベル名,L0,-,-,24
ラベル設定（売上商品リスト）,設定入力画面,1次,ステータスフラグ,L0,-,-,25
ラベル設定（売上商品リスト）,設定入力画面,3次,AIによるラベル生成,L2-S,-,-,26
ラベル設定（発注先リスト）,設定入力画面,1次,発注先ID,L0,-,-,27
ラベル設定（発注先リスト）,設定入力画面,1次,発注先名,L0,-,-,28
ラベル設定（発注先リスト）,設定入力画面,1次,ラベル名,L0,-,-,29
ラベル設定（発注先リスト）,設定入力画面,1次,ステータスフラグ,L0,-,-,30
休業日設定,設定入力画面,1次,定休日（曜日）,L0,ユーザー入力（休業日設定）,-,77
休業日設定,設定入力画面,1次,日付指定,L0,ユーザー入力（休業日設定）,-,78
単月費用設定,設定入力画面,1次,単月地代家賃,L0,地代家賃設定.固定賃料; 地代家賃設定.地代家賃シミュレーション金額,-,79a
単月費用設定,設定入力画面,1次,対売上比（変動費用デフォルト値）,L0,ユーザー入力（単月費用設定）,-,80
単月費用設定,設定入力画面,1次,金額（固定費用デフォルト値）,L0,ユーザー入力（単月費用設定）,-,81
単月費用設定,設定入力画面,3次,費目,L2-S,[マスタ]monthly_cost_items.name,-,79
売上構成比設定,設定入力画面,1次,ランチ比率,L0,ユーザー入力（売上構成比設定）,-,72
売上構成比設定,設定入力画面,1次,ディナー比率,L0,ユーザー入力（売上構成比設定）,-,73
売上構成比設定,設定入力画面,1次,フード構成比,L0,ユーザー入力（売上構成比設定）,-,74
売上構成比設定,設定入力画面,1次,ドリンク構成比,L0,ユーザー入力（売上構成比設定）,-,75
売上構成比設定,設定入力画面,1次,その他構成比,L0,ユーザー入力（売上構成比設定）,-,76
店舗管理,設定入力画面,1次,店舗名,L0,-,-,31
店舗管理,設定入力画面,1次,電話番号,L0,-,-,32
店舗管理,設定入力画面,1次,郵便番号,L0,-,-,33
店舗管理,設定入力画面,1次,都道府県,L0,-,-,34
店舗管理,設定入力画面,1次,住所,L0,-,-,35
店舗管理,設定入力画面,1次,建物,L0,-,-,36
店舗管理,設定入力画面,1次,業種,L0,-,-,37
店舗管理,設定入力画面,1次,業態,L0,-,-,38
店舗管理,設定入力画面,1次,総卓数,L0,-,-,39
店舗管理,設定入力画面,1次,総席数,L0,-,-,40
店舗管理,設定入力画面,1次,坪数,L0,-,-,41
店舗管理,設定入力画面,1次,初期投資額,L0,-,-,42
月次予算設定,設定入力画面,1次,目標月次利益,L0,-,-,43
月次予算設定,設定入力画面,1次,FD仕入比率,L0,-,-,44
月次予算設定,設定入力画面,1次,PA人件費率,L0,-,-,45
月次予算設定,設定入力画面,1次,目標客単価（税抜）,L0,-,-,46
月次予算設定,設定入力画面,3次,目標客数,L2-S,-,-,47
