No,指標名,区分,判定,Phase,実現度,実現度率,実現度判定,実装メモ,必要データ,実装要件,理由・メモ
S-04,FL率,店長向け戦略指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,FD仕入+人件費+売上で算出可
S-06,時間帯別売上構成比,店長向け戦略指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS時間帯別データあり
S-11,発注差異率,店長向け戦略指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,発注書+納品書で算出可
S-12,客単価変動率,店長向け戦略指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,客単価の時系列
S-15,仕入商品単価変動,店長向け戦略指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,商品仕入単価の時系列
ST-01,平日/休日売上比率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS+曜日情報
ST-02,ランチ/ディナー売上比率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS時間帯別
ST-03,フード/ドリンク比率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS既存指標
ST-04,その他売上比率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS既存
ST-05,時間帯別売上構成比,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,既存
ST-06,曜日別売上構成比,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,既存
ST-07,支払方法別構成比,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS支払種別
ST-08,客単価帯別構成,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS客単価分布
ST-09,売上標準偏差(月内変動),店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS日別売上
ST-10,7日移動平均売上,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,POS日別売上
ST-11,売れ筋TOP10(売上ベース),店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,商品別売上
ST-13,死に筋商品検出,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,商品別売上
ST-15,商品ABC分析,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,既存分析
ST-17,商品別価格帯分布,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,商品単価
ST-19,食材別在庫回転率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,仕入+棚卸
ST-20,食材別在庫残日数,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,仕入+棚卸
ST-21,仕入先別単価変動,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,仕入単価時系列
ST-22,仕入先別取引シェア,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,仕入+仕入先
ST-23,商品別仕入頻度,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,商品別仕入
ST-24,商品別発注精度,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,発注+販売
ST-25,納品リードタイム,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,発注書+納品書
ST-27,客数×客単価4象限,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,客数+客単価
ST-29,曜日別稼働率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,客数+曜日
ST-30,繁忙時間検出,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,時間帯別客数
ST-31,客単価弾性,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,客数と客単価時系列
ST-32,日次客数標準偏差,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,日次客数
ST-34,PA比率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,固定/PA人件費データあり
ST-35,ヘルプ依存度,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,ヘルプ人件費あり
ST-38,人件費対売上相関,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,時系列データで算出
ST-39,変動費率推移,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,費用設定+売上
ST-40,固定費率推移,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,同上
ST-41,FLR率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,FD+人件費+地代家賃+売上
ST-42,水光熱費季節性,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,電気/ガス/水道実績
ST-43,費目別予実差異TOP3,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,予実データ
ST-44,販促費売上連動性,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,販促費+売上
ST-45,月次累計達成率,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,予実
ST-46,予算超過リスク,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,予実
ST-47,費目別達成ペース,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,予実
ST-48,残期間必要達成額,店舗追加指標,○既存,Phase 1 (即時実装),★★★★★,100%,即時実装可能,既存データで完全算出。開発工数不要（ダッシュボード追加のみ）,既存データあり,なし,予実
S-01,食材ロス率,店長向け戦略指標,△近似,Phase 1 (即時実装・簡易版),★★★★☆,85%,即時実装可能(簡易版),既存データで近似算出可能。精度向上はマスタ追加で対応,既存データで近似可,精緻化時にマスタ追加,仕入+棚卸から算出可。ただし賄い/廃棄内訳は要追加
ST-12,売れ筋TOP10(利益ベース),店舗追加指標,△近似,Phase 1 (即時実装・簡易版),★★★★☆,85%,即時実装可能(簡易版),既存データで近似算出可能。精度向上はマスタ追加で対応,既存データで近似可,精緻化時にマスタ追加,レシピマスタがあれば正確。なければ理論原価率で近似
ST-14,商品別貢献利益,店舗追加指標,△近似,Phase 1 (即時実装・簡易版),★★★★☆,85%,即時実装可能(簡易版),既存データで近似算出可能。精度向上はマスタ追加で対応,既存データで近似可,精緻化時にマスタ追加,レシピマスタ推奨。簡易版は原価率一律で近似可
ST-18,新メニュー投入効果,店舗追加指標,△近似,Phase 1 (即時実装・簡易版),★★★★☆,85%,即時実装可能(簡易版),既存データで近似算出可能。精度向上はマスタ追加で対応,既存データで近似可,精緻化時にマスタ追加,投入日はマスタに追加必要だがラベル機能で対応可
ST-26,在庫金額月内変動,店舗追加指標,△近似,Phase 1 (即時実装・簡易版),★★★★☆,85%,即時実装可能(簡易版),既存データで近似算出可能。精度向上はマスタ追加で対応,既存データで近似可,精緻化時にマスタ追加,週次棚卸が前提
S-02,人時売上高,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),★★★☆☆,65%,短期実装可能(2-3ヶ月),shiftsテーブル新設。労務管理機能追加で実現,シフト管理システム連携,shifts テーブル追加,労働時間データ=シフト管理システム連携が必要
S-03,人時粗利,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),★★★☆☆,65%,短期実装可能(2-3ヶ月),shiftsテーブル新設。労務管理機能追加で実現,シフト管理システム連携,shifts テーブル追加,労働時間データ必要
S-10,シフト充足率,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),★★★☆☆,65%,短期実装可能(2-3ヶ月),shiftsテーブル新設。労務管理機能追加で実現,シフト管理システム連携,shifts テーブル追加,シフト管理システム連携が必要
S-14,アイドル時間人件費率,店長向け戦略指標,✕要追加,Phase 2 (シフト管理連携),★★★☆☆,65%,短期実装可能(2-3ヶ月),shiftsテーブル新設。労務管理機能追加で実現,シフト管理システム連携,shifts テーブル追加,時間帯別人件費=シフトデータ必要
ST-33,時間帯別人件費率,店舗追加指標,✕要追加,Phase 2 (シフト管理連携),★★★☆☆,65%,短期実装可能(2-3ヶ月),shiftsテーブル新設。労務管理機能追加で実現,シフト管理システム連携,shifts テーブル追加,時間帯別人件費=シフト管理必要
ST-36,人時売上推移,店舗追加指標,✕要追加,Phase 2 (シフト管理連携),★★★☆☆,65%,短期実装可能(2-3ヶ月),shiftsテーブル新設。労務管理機能追加で実現,シフト管理システム連携,shifts テーブル追加,労働時間=シフト管理必要
ST-37,人時粗利推移,店舗追加指標,✕要追加,Phase 2 (シフト管理連携),★★★☆☆,65%,短期実装可能(2-3ヶ月),shiftsテーブル新設。労務管理機能追加で実現,シフト管理システム連携,shifts テーブル追加,労働時間=シフト管理必要
S-05,テーブル回転率,店長向け戦略指標,✕要追加,Phase 2 (マスタ整備),★★★★☆,80%,短期実装可能(1-2週間),既存テーブル拡張or小規模マスタ追加で実現,席数マスタ,stores.seat_count カラム追加,席数マスタが必要
ST-16,商品別原価率偏差,店舗追加指標,✕要追加,Phase 2 (マスタ整備),★★★★☆,80%,短期実装可能(1-2週間),既存テーブル拡張or小規模マスタ追加で実現,レシピマスタ,menu_recipes テーブル追加,レシピマスタ必須
