列No	列名	概要	データ型	必須	取り得る値の例	補足
1	大項目	レコードの種別を表す最上位カテゴリ	string	○	集計 / ディメン / トランザクション / マッピング_単軸 / マッピング_2軸 / 設定項目	「集計」はファイル先頭の総件数サマリ。それ以外が実データ
2	区分	大項目内のサブ分類	string	○	個別 / 全ウィジェット数 / ディメン数(統合) など	集計行は集計の種類名、それ以外は基本「個別」
3	ID	レコード固有の一意識別子	string	○	dim_xxx / C123 / CM-xx	会社=C系プレフィックス、店舗=S系プレフィックス
4	名称	ユーザー表示用の正式名称	string	○	売上（税抜） / 費目 / 売上達成率	UI上のラベルとして表示される
5	カテゴリ/種別	メジャーの意味的カテゴリ、ディメンの種別	enum	○	"メジャー: 売上系 / 予実系 / 原価系 / 人件費系 / 収益性 / 客数系 / 効率性 / その他
ディメン: time / entity / taxonomy / category"	UIモックのパレットグループ分けに対応
6	ターゲット	想定利用者(画面の対象)	enum	○	本部管理者 / 共通	会社CSVは「本部管理者」中心、店舗CSVは「店長」中心
7	互換ディメン	組合せ可能なディメンID(カンマ区切り)	string	-	dim_shop, dim_month など / 「-」=制限なし	マッピング行では具体的な組合せ先を記載
8	実装ステータス	実装の現況	enum	○	🟢 既実装 / 🟡 部分実装 / 🟠 未実装 / 🔴 ブロック	絵文字付き
9	開発コスト	実装にかかる工数規模	enum	○	小 / 中 / 大	相対値
10	マッチング制限	ディメン×メジャーの組合せ可否	enum	○	🟢 制限なし / 🟡 加重平均 / 🟠 マスタ整備前提 / 🔴 連携必要	マッピング行で必須。UI上のドロップ可否判定に使用
11	制限補足	マッチング制限の詳細補足テキスト	string	-	率指標は加重平均(Σ分子/Σ分母) / そのまま集計可能 など	制限内容の説明
12	粒度	データの基本単位	enum	○	metric (メジャー) / date / month / shop_id など	snapshot_grain と関連
13	期間属性	時系列上の特性	enum	○	FLOW (期間集計) / STOCK (時点値) / MASTER	FLOWはSUM可、STOCKはSUM不可(期末値)
14	スコープ	取得元の範囲	enum	○	画面内 / マスタ / 外部依存	外部依存は外部システム連携要
15	主要目的_大項目	指標が貢献する経営目的の大分類	string	-	予実管理 / 売上分析 / コスト分析 / 客数分析 など	AIアシスト時の意思決定マッチングに使用
16	主要目的_中項目	大項目内の細分類	string	-	売上予実 / 人件費予実 / ピークタイム分析 など	同上
17	ユースケース	具体的な利用シーン説明	string	-	売上の達成率モニタリング、月中の早期是正アクション など	UIツールチップ・AI提案根拠に使用
18	計算レイヤー	OLAP計算の階層	enum	○	L0 (原始) / L1 (単純演算) / L2-S/C/L (画面内合成) / L3-S/C/L (画面間合成)	L0=元データ, L3=最終合成指標
19	演算ロジック_詳細	計算式または参照ロジック	string	-	参照表示 / Σ売上 / 当年÷前年×100 など	L1以上で記述
20	データソース	元データのテーブル.カラム	string	-	head_office_connected_service_sales_logs.sales_excluded 等	DB実装時のマッピング
21	依存先指標	計算に必要な他指標(カンマ区切り)	string	-	当月実績.売上（税抜）, 当月実績.売上予算	L1以上で記述
22	weighted_avg_denominator	加重平均時の分母	string	-	売上予算 / 売上(税抜) など	マッチング制限=🟡 加重平均 のとき記載
23	aggregable_grains	集計可能な時間粒度	enum	-	day,week,month,quarter,year	カンマ区切り、上位粒度への集計可否
24	snapshot_grain	スナップショット作成粒度	enum	-	日次 / 月次 / 四半期 / オンデマンド	スナップショット用データモデル設計の基本
25	snapshot_axes	スナップショット軸構成	string	-	shop × month / shop × day など	会社=shop, 店舗=store プレフィックスで区別
26	retention_period	スナップショット保持期間	enum	-	60M / 24M など	60Mは60ヶ月=5年
27	recompute_trigger	再計算トリガー	enum	-	nightly / monthly_finalize / on_demand / nightly + monthly_finalize	スナップショット更新タイミング
28	compute_mode	計算実行モード	enum	-	batch / on_demand / streaming	計算機構
29	freeze_condition	値の確定条件	string	-	翌日日次確定 / 月次締め後確定 / リアルタイム など	監査ログ上の確定タイミング
