No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照1-4次指標(V89/V69),判断基準・閾値目安,関連画面,データ基盤要件,備考
M-01,店長会議,店舗比較,店舗間FL率偏差（Zスコア）,5次,月次,平均からの乖離で要改善店舗を特定、ベスト店舗から学ぶ,(店舗FL率 - 全店舗平均FL率) ÷ 標準偏差,Zスコア。+1超で要改善、-1以下で優良,"店舗別FL率(4次), 全店舗平均(4次), 標準偏差(4次)",|Z|<1:正常 / Z>+1:要改善 / Z>+2:緊急,"店舗別サマリー, 予実対比（一覧）",既存データから算出可能,改善事例の共有材料
M-02,店長会議,業績共有,店舗別営業利益率ランキング,5次,月次,収益性トップ・ボトムを共有、ベストプラクティス抽出,店舗別営業利益率の順位表,業態ラベル内比較推奨,"店舗別営業利益(4次), 店舗別売上(4次)",トップ10%:ベンチマーク対象 / ボトム10%:改善対象,"店舗別サマリー, 店舗ラベル別サマリー",既存データから集計,単月と3ヶ月移動平均両方で評価
M-03,店長会議,業績共有,前年同月比客数変動,5次,月次,集客トレンドの共有、成功/不振施策の共有,(当月客数 - 前年同月客数) ÷ 前年同月客数 × 100,既存店のみで算出,"客数(2次), 前年同月客数(4次)",+5%超:成長 / ±2%:横ばい / -5%超:要対策,"店舗別サマリー, 年間予実対比（予実対比）",前年同月データ必要,新規出店・改装閉店を除外
M-04,店長会議,業績共有,店舗別成長率ランキング,5次,月次,成長店舗の要因分析、失速店舗の対策立案,売上成長率(YoY)の順位,既存店ベース,"売上(2次), 前年同月売上(4次)",上位10%:水平展開対象 / 下位10%:原因分析,"年間予実対比（サマリー）, 店舗別サマリー",時系列データ必要,新店は別枠評価
M-05,店長会議,運営品質,店舗別FD原価率ばらつき,5次,月次,同業態内の原価管理水準差、マニュアル見直し,同ラベル内の原価率標準偏差,同じメニューの店舗間ばらつき,"FD仕入(2次), 売上(2次), ラベル(1次)",2%以下:均質 / 5%超:マニュアル見直し,"FD分析（仕入率/原価率）, 店舗ラベル別サマリー",ラベル紐付けが前提,教育・マニュアル整備の材料
M-06,店長会議,店舗比較,ラベル別業績格差スコア,5次,月次,ラベル内の均質性、格差の原因議論,ラベル内 (max - min) ÷ ラベル内平均 × 100,変動係数に類似,"店舗別業績(4次), ラベル情報(1次)",20%以下:均質 / 50%超:格差大 要標準化,"店舗ラベル別サマリー, ABC分析",会社画面のラベル別集計,業態・立地別に算出
M-07,店長会議,共有学習,ベストプラクティス共有スコア,5次,月次,優良店舗の共通特徴を抽出、水平展開,トップ3店舗の主要KPI平均 ÷ 全店平均,複数KPIで統合評価（売上/利益/客単価/FL率）,"店舗ランキング(5次), 各種KPI(2-4次)",1.2倍以上:顕著な差 / 要因分析して共有,店舗別サマリー,ランキング機能の活用,月次会議の冒頭共有資料
M-08,店長会議,人材育成,チーム教育効果指標,5次,月次,教育施策後の業績改善度,施策実施前後のKPI変化率,接客教育・原価教育・衛生教育別,"各種業績指標(2-4次), 施策実施日(1次 要追加)",施策後3ヶ月でKPI改善トレンド確認,-（新規画面）,施策マスタと効果測定期間の定義必要,教育投資の効果検証
M-09,店長会議,顧客満足,顧客満足度店舗比較,5次,月次,CS調査結果の店舗別比較、改善アクション共有,店舗別平均満足度スコア,アンケート・覆面調査・クチコミ統合,"CSスコア(1次 要追加), 来店客数(1次)",80点以上:優良 / 60-80:標準 / 60未満:要対策,-（新規画面）,CSアンケートデータの収集機能,店舗教育の方向性
M-10,店長会議,販促効果,販促効果ランキング,5次,月次,キャンペーン施策の効果比較、成功事例共有,店舗別 (施策期間売上 - 通常売上) ÷ 通常売上 × 100,キャンペーン実施店舗のみで評価,"売上(2次), キャンペーン実施日(1次 要追加)",+15%超:成功事例 / +5%未満:要見直し,"流入分析, 支払種別売上分析",キャンペーン情報の入力機能必要,次月施策の参考材料
M-11,店長会議,労働効率,店舗別労働生産性比較,5次,月次,人時売上・人時粗利の店舗比較,店舗別人時売上高の順位,業態内で比較,"人時売上高(5次:S-02), 人時粗利(5次:S-03)",上位店舗のシフト設計を共有,"PA人件費率分析, 店舗別人件費",シフトデータ整備前提,働き方改革・効率化の議論材料
M-12,店長会議,運営品質,店舗監査スコア,5次,月次,本部監査結果の定量化、店舗評価の体系化,衛生・接客・運営各項目のスコア合計,覆面調査・本部巡回・顧客満足度を統合,監査項目(1次 要追加),80点以上:優良 / 60-80:標準 / 60未満:要改善,-（新規画面）,監査データ入力画面の追加必要,定性評価の数値化
