,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指標グループ名,期間フィルター,期間フィルター,他フィルター,,,指標カテゴリ期間,指標列名１,指標列名2,指標列名3,指標列名4,指標列名5,指標列名6,指標列名7,指標列名8,指標列名9,指標列名10,指標列名11,指標列名12,指標列名13,指標列名14,指標列名15,指標列名16,指標列名17,指標列名18,指標列名19,指標列名20,指標列名21,指標列名22,指標列名23,指標列名24,指標列名25,指標列名26,指標列名27,指標列名28,指標列名29,指標列名30,指標列名31,指標列名32,指標列名33,指標列名34,指標列名35,指標列名36,指標列名37,指標列名38,指標列名39
ダッシュボード指標,月次,日次,,,サマリー,主要KPI指標,- 坪月商,- 営業利益率,- 家賃比率,- ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,当月実績,- 営業利益,- 売上（税抜）,- FD仕入率,- 人件費率,- FL率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,店舗別サマリー,- 営業利益,- 売上（税抜）,売上目標,売上達成率,売上進捗率,FD仕入率,人件費率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,店舗ラベル別サマリー,- 営業利益,- 売上（税抜）,売上目標,売上達成率,売上進捗率,FD仕入率,人件費率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上分析,月次,日次,,,商品売り上げ,ABC分析,商品,- 売上（税抜）,売上構成比率,販売点数,販売点数構成比率,価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,商品別売上分析,商品単価（税抜）,商品単価（税込）,販売数量,売上合計（税抜）,売上合計（税込）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月から前月のみ選択,,期間軸売り上げ,時間帯別売上分析,ランチ売上（税抜）,客数,客単価（税抜）,ディナー売上（税抜）,客数,客単価（税抜）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,曜日選択,,,曜日別売上分析,曜日,平均売上（税抜）,平均客数,平均客数（税抜）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,支払種別売上分析,支払方法,売上（税込）,売上比率,クレジットカード合計売上,QR決済合計売上,MUGENファミリーカード合計売上,売掛合計売上,交通系IC合計売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仕入分析,月次,日次,,,,仕入先分析,仕入れ先,金額（税抜）,比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,コスト,商品別仕入分析,商品,仕入先,金額（税抜）,比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,月次,,,,費目別仕入分析,費目,金額（税抜）,比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,商品仕入単価,アイテム,金額（税抜）,数量,単価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,直近6ヶ月、直近12ヶ月,,,平均単価推移,仕入商品ラベル,仕入金額（税抜）,数量,平均単価,平均単価推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
詳細分析,月次,,,,売り上げ,利益進捗分析,利益進捗率,利益進捗率比較（前月）,利益進捗率比較（前々月）,利益達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,,,,売上進捗分析,売上進捗率,売上進捗率比較（前月）,売上進捗率比較（前々月）,売上達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,,,,感度分析,客単価（税抜）,変動費単価,変動費率,粗利単価,粗利率,客数,売上（税抜）,変動費,粗利,固定費,粗利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,食材コスト,FD分析（仕入率/原価率）,FD仕入率,FD原価率,FD前月在庫高,FD当月仕入,FD当月在庫高,売上,フード仕入率,フード原価率,フード前月在庫高,フード当月仕入,フード当月在庫高,フード売上,ドリンク仕入率,ドリンク原価率,ドリンク前月在庫高,ドリンク当月仕入,ドリンク当月在庫高,ドリンク売上,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,FD分析（売上構成比）,FD売上構成比,フード売上合計,ドリンク売上合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,直近６ヶ月、直近12ヶ月,,,FD仕入率トレンド,FD仕入率トレンド,直近6ヶ月,直近12ヶ月,フード仕入比率,ドリンク仕入比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,運用コスト,流入分析,平均回転数,平均テーブル回転数,テーブル稼働率,予約売上,客数,総席数,総組数,総卓数,回転数,テーブル回転数,予約売上,予約客数,予約客単価,ウォークイン売上,ウォークイン客数,ウォークイン客単価,予約売上合計,ウォークイン売上合計,予約客数トレンド,ウォークイン客数トレンド,,,,,,,,,,,,,,,,,,,
集計,月次,日次,,,総括予実,予実対比,総売上,フード売上,フード売上ランチ,フード売上ディナー,ドリンク売上,ドリンク売上ランチ,ドリンク売上ディナー,その他売上（サービス料等）,その他売上ランチ,その他売上ディナー,割引・値引きなど,FD仕入,フード仕入,ドリンク仕入,人件費,固定人件費,PA人件費,,,,,,,,,,,,,,,,,,,,,,
,月次,,,,,年間予実対比（サマリー）,営業利益,FD仕入額,人件費額,客単価,客単価(ランチ),客単価(ディナー),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,,,,年間予実対比（予実対比）,総売上　計,フード売上 計,フード売上ランチ,フード売上ディナー,ドリンク売上　計,ドリンク売上ランチ,ドリンク売上ディナー,その他売上 計 （サービス料等）,その他売上ランチ,その他売上ディナー,FLコスト　計,FD仕入　計,フード仕入,ドリンク仕入,人件費　計,固定人件費,PA人件費,ヘルプ人件費,その他経費　計,地代家賃,資材費,ラクミー利用料,IT費用,お花代,ガス代,クレジットカード手数料,ラクミー利用料,レジ利用料,レジ利用料,借入金返済,家賃(変動分),水道代,水道光熱費,減価償却費,社員人件費,販促費,電気代,営業利益,
,月次,,,,,月次集計,客単価（税抜）,変動費単価,変動費率,仕入費率,PA人件費率,その他変動費率,粗利単価,粗利率,客数,売上（税抜）,変動費,粗利,固定費,粗利,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,該当月まで12 ヶ月,,,月次レポート,原価（金額）,原価率,対象前月在庫,仕入総額,対象月在庫,売上合計（税抜）,年月,売上（税込）,売上（税抜）,仕入（税込）,仕入（税抜）,PA人件費,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,,日次レポート,売上（税込）,売上（税抜）,仕入（税込）,仕入（税抜）,PA人件費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,登録,ラベル設定（ラベル）,ラベルID,ラベル名,棚卸,ステータスフラグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ラベル設定（仕入商品リスト）,商品ID,発注先,商品名,費目,ラベル名1,ラベル名2,ラベル名3,ラベル名4,ラベル名5,ラベル名6,ラベル名7,ラベル名8,ラベル名9,ラベル名10,AIによる費目生成,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ラベル設定（発注先リスト）,発注先ID,発注先名,ラベル名,ステータスフラグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ラベル設定（売上商品リスト）,商品ID,商品名,商品ID（連携サービス）,商品コード（連携サービス）,ラベル名,ステータスフラグ,AIによるラベル生成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ラベル一覧（仕入商品リスト）,商品ID,発注先名,商品名,費目名,ラベル名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ラベル一覧（発注先リスト）,商品ID,商品名,ラベル名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ラベル一覧（売上商品リスト）,発注先ID,発注先名,ラベル名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,発注先管理,発注先名,カテゴリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,発注先商品管理,商品名,商品コード,ステータス,単位,税区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,発注先情報編集,発注先,表示名,店舗コード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,納品書管理,納品書ID,受付日時,納品日,店舗名,処理ステータス,発注先,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,納品書詳細,納品書ID,発注者,受注者,処理ステータス,納品日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,月末（実施日）,,,棚卸,棚卸商品,在庫数量,商品単価,小計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,棚卸詳細,実施日,カテゴリ,在庫数量,商品単価,小計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,,,,小口現金管理,支払先,内容,経費項目,経費コード,費目,税区分,出勤額,入金額,残高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,,,,店舗間商品移動,相手店舗,仕入金額（税抜）,提供金額（税抜）,商品タイプ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,設定,店舗管理,店舗名,電話番号,郵便番号,都道府県,住所,建物,業種,業態,総卓数,総席数,坪数,初期投資額,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,費用設定（一覧）,費目,設定タイプ,デフォルト数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,費用設定編集,費目名,設定タイプ（固定費用予算、変動費用予算）,固定費用予算デフォルト数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,,,,予算設定,客単価,変動費単価,変動費率,FD仕入費率,PA人件費率,変動費用予算,粗利単価,粗利率,客数,売上（税抜）,ランチ売上比,フード売上比,ドリンク売上比,その他売上比,変動費,粗利,固定費用予算,粗利,日次目標値（税抜）,日次目標客数,日次目標売上（税抜）,,,,,,,,,,,,,,,,,,
,月次,,年間,,,予算一覧（予算設定値）,月次目標利益,目標FD仕入費率,目標PA人件費率,目標客単価,目標客単価 (ランチ),目標客単価 (ディナー),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,年間,,,予算一覧（予算構成）,売上 計,フード売上 計,フード売上ランチ,フード売上ディナー,ドリンク売上 計,ドリンク売上ランチ,ドリンク売上ディナー,その他売上 計 (サービス料等),FLコスト 計,FD仕入 計,フード仕入,ドリンク仕入,人件費 計,固定人件費,PA人件費,ヘルプ人件費,その他経費 計,地代家賃,資材費,IT費,ガス代,サービス費,保守修繕費,外注費,支払手数料,水道代,消耗品費,減価償却費,衛生費,調査費,諸会費,警備料,販売促進費,販売管理費,通信費,雑費,電気代,ｸﾚｼﾞｯﾄ手数料,営業利益
,,,,,,予実対比（一覧）,総売上,フード売上,フード売上ランチ,フード売上ディナー,ドリンク売上,ドリンク売上ランチ,ドリンク売上ディナー,その他売上（サービス料等）,その他売上ランチ,その他売上ディナー,割引･値引等,FD仕入,フード仕入,ドリンク仕入,人件費,固定人件費,PA人件費,ヘルプ人件費,その他経費,地代家賃,固定人件費,資材費,営業利益,,,,,,,,,,,,,,,,
,,,,,,月次予算設定,目標月次利益,FD仕入比率,PA人件費率,目標客単価（税抜）,目標客数,客単価,変動費単価,粗利単価,売上（税抜）,変動費,粗利,固定費用予算,営業利益,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
