大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
集計	全ウィジェット数	-	118549	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	ディメン数(統合)	-	171	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	└ 親ディメン数	-	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	└ カスタムタグ数	-	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	└ 属性ディメン数	-	145	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	トランザクション数	-	1210	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	設定項目数	-	149	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	単軸マッピング	-	16519	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	2軸マッピング	-	100500	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
集計	粒度ブロック数(2軸組合せ)	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_date	日	time	共通	-	-	小	🟢 制限なし	システムディメン	date	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_week	週	time	共通	-	-	小	🟢 制限なし	システムディメン	week	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_month	月	time	共通	-	-	小	🟢 制限なし	システムディメン	month	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_quarter	四半期	time	共通	-	-	小	🟢 制限なし	システムディメン	quarter	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_year	年	time	共通	-	-	小	🟢 制限なし	システムディメン	year	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_shop	店舗	entity	本部管理者	-	-	小	🟢 制限なし	システムディメン	shop_id	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_product	商品	entity	共通	-	-	小	🟢 制限なし	システムディメン	product_id	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_supplier	仕入先	entity	共通	-	-	大	🔴 連携必要	システムディメン(外部連携)	supplier_id	FLOW	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_label	店舗ラベル	taxonomy	本部管理者	-	-	小	🟢 制限なし	システムディメン	shop_label_id	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_label_group	ラベルグループ	taxonomy	本部管理者	-	-	小	🟢 制限なし	システムディメン	label_group_id	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_business_type	業態	category	本部管理者	-	-	小	🟢 制限なし	システムディメン	format_id	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	個別	dim_expense_cat	費目	taxonomy	共通	-	-	小	🟢 制限なし	システムディメン	expense_item_id	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_indicator_bundle	指標バンドルタグ	tag_indicator	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	metric_id[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_shop_bundle	店舗バンドルタグ	tag_shop	本部管理者	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	shop_id[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_product_bundle	商品バンドルタグ	tag_product	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	product_id[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_supplier_bundle	仕入先バンドルタグ	tag_supplier	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	supplier_id[]	FLOW	外部依存	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_period_bundle	期間バンドルタグ	tag_period	共通	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	date_range[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	カスタムタグ	tag_label_group	ラベルグループタグ	tag_label_group	本部管理者	-	-	中	🟡 タグ次第	タグメンバー次第で制限変動	label_group_id[]	FLOW	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C1	ラクミーID	ユーザー入力単独	本部管理者	-	⚪ 対象外	-	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C2	氏名	ユーザー入力単独	本部管理者	-	⚪ 対象外	-	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C3	電話番号	ユーザー入力単独	本部管理者	-	⚪ 対象外	-	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C4	ユーザー識別（本部、一般）	ユーザー入力単独	本部管理者	-	⚪ 対象外	-	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C5	ステータス	ユーザー入力単独	本部管理者	-	⚪ 対象外	-	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C159	店舗ID	マスタ参照表示	本部管理者	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C160	店舗名	マスタ参照表示	本部管理者	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C161	ラベル名	マスタ参照表示	本部管理者	-	🟢 既実装	小	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C6	ラベルID	ユーザー入力単独	本部管理者	-	⚪ 対象外	-	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
ディメン	属性ディメン	C7	ラベル名	ユーザー入力単独	本部管理者	-	⚪ 対象外	-	🟢 制限なし	マスタ参照系ディメン (店舗ID/商品等の属性軸)	master	MASTER	画面内	-	-	ドロップ可能な軸として、行/列/フィルタにドラッグして使用	-	-	-	-	-	-	-	-	-	-	-	-
