No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照1-4次指標(V89/V69),判断基準・閾値目安,関連画面,データ基盤要件,備考
E-01,経営会議,収益性,全社営業利益率,5次,月次,全社の収益性指標、経営戦略の成否評価,全店舗合計営業利益 ÷ 全店舗合計売上 × 100,業態別・ラベル別に分解可能,"全店舗営業利益(4次), 全店舗売上(4次)",10%以上:優良 / 5-10%:標準 / 5%未満:要改善,"ダッシュボード.主要KPI指標, 年間予実対比（サマリー）",既存データから算出,業態ミックスで変動
E-02,経営会議,収益性,全社EBITDA,5次,月次,減価償却前営業利益、投資判断の基準,営業利益 + 減価償却費 + 賃借料,店舗投資回収力の指標。金融機関評価にも使用,"営業利益(4次), 減価償却費(2次), 地代家賃(2次)",売上比15%以上:健全 / 10%未満:再建検討,"ダッシュボード.主要KPI指標, 年間予実対比（予実対比）",減価償却費データの整備要,借入判断の主要指標
E-03,経営会議,成長性,全社売上成長率,5次,月次,事業成長性、市場地位の指標,(当期売上 - 前期売上) ÷ 前期売上 × 100,既存店売上+新店売上の合計で算出,"全社売上(3次), 前期売上(4次)",+10%超:高成長 / 0-5%:安定 / マイナス:縮小,年間予実対比（サマリー）,時系列データ必要,既存店+新店を分離表示推奨
E-04,経営会議,投資効率,店舗投資回収期間,5次,月次,新規出店判断、投資計画の評価,初期投資額 ÷ (月次営業利益 × 12),回収年数。業態別・立地別に算出,"店舗別営業利益(4次), 初期投資額(1次 要追加)",3年以下:優良 / 3-5年:標準 / 5年超:再検討,-（新規画面）,初期投資額マスタの追加必要,減損判定の補助指標
E-05,経営会議,収益性,ROA（総資産利益率）,5次,四半期,資産効率の指標、投資家向け,営業利益 ÷ 総資産 × 100,年次で算出が一般的,"営業利益(4次), 総資産(会計系:1次)",10%以上:優良 / 5%未満:要改善,-（新規画面）,会計システム連携必要,会計期末値で算出
E-06,経営会議,収益性,ROE（自己資本利益率）,5次,四半期,株主・オーナー視点の収益性,当期純利益 ÷ 自己資本 × 100,投資家指標の代表格,"当期純利益(会計系:1次), 自己資本(会計系:1次)",10%以上:優良,-（新規画面）,会計システム連携必要,配当方針にも影響
E-07,経営会議,リスク,固定費カバー率,5次,月次,売上減少耐性の指標、不況時の生存力,売上（税抜） ÷ 固定費,1.0未満なら赤字。余裕度を測る,"売上(3次), 固定費用予算(4次)",1.5以上:健全 / 1.2-1.5:監視 / 1.0未満:赤字,"月次集計, 感度分析",既存データから算出可能,感度分析と併用推奨
E-08,経営会議,予測,感度分析スコア,5次,月次,客単価・客数変動が利益に与える影響,客単価10%変動時の営業利益変化率,+10%時と-10%時の両方でシミュレーション,"客単価(3次), 客数(1次), 変動費率(3次), 固定費(3次)",レバレッジ3以上:収益感応度高い,感度分析,既存画面あり,値上げ判断の根拠資料
E-09,経営会議,予測,シナリオ別予測利益,5次,月次,楽観/標準/悲観の3ケースで事業計画見直し,楽観=+5%売上/標準=現状/悲観=-10%売上 での利益,月次予算の感度分析を拡張,"月次予算(3次), 変動費率(3次), 固定費(3次)",悲観ケースで黒字維持:堅牢,"感度分析, 年間予実対比（サマリー）",感度分析画面の拡張,四半期に1回レビュー推奨
E-10,経営会議,予測,キャッシュフロー予測,5次,月次,資金繰り・投資可能額の把握,営業CF = 営業利益 + 減価償却費 - 運転資本増減,月次予算＋回収サイト考慮,"営業利益(4次), 減価償却費(2次), 売掛買掛(会計系:1次)",正のCF継続:健全 / 3ヶ月連続マイナス:要融資検討,-（新規画面）,会計システム連携必要,借入判断・投資判断の基礎
E-11,経営会議,成長性,業態別収益性ランキング,5次,四半期,業態ポートフォリオ最適化,業態ラベル別の営業利益率の順位,業態別の強弱を数値化,"営業利益率(4次), 業態ラベル(1次)",トップ業態:出店加速 / ボトム業態:撤退検討,"店舗ラベル別サマリー, ABC分析",業態ラベルの整備前提,M&A・業態転換の材料
E-12,経営会議,予測,年間KGI達成ペース,5次,月次,期中の軌道修正判断、予算修正の要否,累計実績 ÷ (年間目標 × 経過月/12) × 100,月次で進捗評価,"累計実績(4次), 年間目標(1次)",100±5%:順調 / 90%未満:施策必要 / 80%未満:予算修正,"年間予実対比（サマリー）, 年間予実対比（予実対比）",既存データから算出,四半期レビューの基礎資料
E-13,経営会議,リスク,DSCR（借入金返済能力）,5次,四半期,金融機関評価、借入限度の判定,営業CF ÷ 元利返済額,1.2倍以上が融資基準,"営業CF(5次E-10), 返済額(1次 要追加)",1.5倍以上:余裕 / 1.0-1.2:最低 / 1.0未満:要対策,-（新規画面）,借入データ管理必要,金融機関への報告資料
