No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照1-4次指標(V89/V69),判断基準・閾値目安,関連画面,データ基盤要件,備考
S-01,店長,運営効率,食材ロス率,5次,日次,日々の食材管理状況把握、ロス削減施策効果測定,食材ロス金額 ÷ 食材仕入金額 × 100,食材ロス金額=(期首棚卸+仕入)-(期末棚卸+売上原価)。賄い・廃棄・調理ロス・理論値差異を含む,"仕入金額(2次), 棚卸金額(3次), 売上原価(3次)",5%以下:優良 / 5-8%:標準 / 8%超:要改善,"棚卸, FD分析（仕入率/原価率）",棚卸精度前提,日次の棚卸データが必須
S-02,店長,労働生産性,人時売上高,5次,日次,シフト効率の把握、時間帯別の人員配置最適化,売上（税抜）÷ 総労働時間,労働時間は全従業員の就業時間合計（正社員+PA+ヘルプ）,"売上（税抜）(2次), 人件費(2次)","5,000円以上:高生産性 / 3,000-5,000:標準 / 3,000未満:要改善",時間帯別売上分析,シフト管理システム連携,ヘルプ含めるかで解釈変わる
S-03,店長,労働生産性,人時粗利,5次,日次,売上だけでなく粗利ベースでの労働効率評価,粗利 ÷ 総労働時間,粗利=売上-FD仕入原価,"粗利(3次), 人件費(2次)","3,500円以上:高 / 2,000-3,500:標準 / 2,000未満:要改善","月次集計, 感度分析",粗利算出にFD原価把握,売上と併用で総合判断
S-04,店長,収益構造,FL率,5次,週次,食材と人件費の売上比率、飲食業の最重要KPI,(食材原価 + 人件費) ÷ 売上（税抜） × 100,食材原価=FD仕入合計、人件費=固定+PA+ヘルプ,"FD仕入(2次), 人件費(2次), 売上（税抜）(2次)",55%以下:優良 / 55-60%:標準 / 60%超:要改善,"FD分析（仕入率/原価率）, 予実対比",既存指標あり,業態別に目安異なる
S-05,店長,運営効率,テーブル回転率,5次,日次,座席稼働率の把握、予約受入判断,客数 ÷ 席数 ÷ 営業時間,ランチ/ディナー別で算出推奨,"客数(1次), 席数(マスタ:1次), 営業時間(マスタ:1次)",居酒屋2.0以上:優良 / 1.5:標準 / 1.0未満:要改善,"時間帯別売上分析, 流入分析",席数マスタ整備必要,業態依存性が高い
S-06,店長,収益構造,時間帯別売上構成比,5次,日次,ピーク時間の確認、シフト最適化の根拠,時間帯別売上 ÷ 日次総売上 × 100,ランチ帯/アイドル帯/ディナー帯/深夜帯で分割,POS売上時間別(1次),ディナー帯60%超:標準居酒屋 / アイドル帯10%未満:集客強化要,時間帯別売上分析,既存指標あり,曜日別と組み合わせ
S-07,店長,運営品質,レジ誤差率,5次,日次,金銭管理の精度、不正検知,レジ誤差金額 ÷ POS売上 × 100,差異=実金-POS確定額。過不足両方を絶対値で集計,"レジ実金(1次 要追加), POS売上(1次)",0.1%以下:優良 / 0.1-0.5%:標準 / 0.5%超:要調査,ダッシュボード.当月実績,日次現金精算データの入力機能,閾値超過時アラート推奨
S-08,店長,運営効率,廃棄率,5次,日次,仕込み量の最適化、メニュー戦略見直し,廃棄金額 ÷ 仕入金額 × 100,廃棄=破棄食材の原価換算,"廃棄金額(1次 要追加), 仕入金額(2次)",2%以下:優良 / 2-5%:標準 / 5%超:要改善,"FD分析（仕入率/原価率）, 棚卸",廃棄記録フォームの追加必要,食材ロス率と併用
S-09,店長,運営効率,賄い比率,5次,週次,賄いコスト把握、福利厚生コスト管理,賄い食材費 ÷ 仕入金額 × 100,賄い=従業員食事提供分の原価換算,"賄い食材費(1次 要追加), 仕入金額(2次)",3%以下:標準 / 5%超:要コントロール,"棚卸, 小口現金管理",賄い記録の入力機能必要,労務規程との関連
S-10,店長,人的資源,シフト充足率,5次,日次,計画シフトとの乖離、応援要員の必要性判断,実シフト時間 ÷ 計画シフト時間 × 100,欠勤・遅刻・早退を反映,"実シフト時間(1次 要追加), 計画シフト時間(1次 要追加)",95%以上:健全 / 90-95%:監視 / 90%未満:要対応,-（新規画面）,シフト管理システム連携,正社員/PA別に分解可能
