ラクミー経営管理 店舗画面 データソース定義表 V89（V88+地代家賃設定・費用実績入力・予算一覧9費目・単月地代家賃・月次予算設定修正 統合版）
作成日: 2026-04-20
総指標数,859
基準: V88 + 以下4パッチ統合
"  - V88_追加差分_地代家賃設定_費用実績入力.csv (50行: P1-P21, R1-R29)"
  - V88_追加差分_予算一覧_9費目追加.csv (9行: 446a-446i)
  - V88_追加差分_単月費用設定_単月地代家賃追加.csv (1行: 79a)
  - V88_修正差分_月次予算設定_固定変動費用予算_地代家賃反映.csv (No.54/73c REPLACE)
備考: V88ソースにあったテンプレート残骸4行(No='No')を除外済み
経営重要度: 店長視点

No,プロダクト区分,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,計算レイヤー,データスコープ,データ負荷レベル,データソース区分,指標タイプ,指標タイプ詳細,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,演算範囲,演算ロジック,演算式詳細,中間画面名.画面指標名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,依存先指標（画面名.指標名）,依存先指標（テーブル名.列名）,被参照指標（画面名.指標名）,依存先指標数,被参照指標数,参照頻度,演算コスト,システム負荷,負荷要因,推奨対応,キャッシュ戦略,スナップショット対象,更新トリガー,画面カテゴリ,指標区分,指標区分の説明,機能説明,判断,AI推測の理由,不明点,改善
1,ラクミーウェブ,設定入力画面,ラベル設定（ラベル）,ラベルID,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.id,-,ユーザー入力（ラベル設定）,-,入力値,labels.id,-,-,-,labels.id → ラベル設定（ラベル）.ラベルID,-,-; labels.id,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,仕入商品・売上商品・発注先にグルーピング用ラベル（タグ）を作成。仕入先分析・商品別分析のグルーピングおよび棚卸時のカテゴリ分けに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-
2,ラクミーウェブ,設定入力画面,ラベル設定（ラベル）,ラベル名,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,ユーザー入力（ラベル設定）,-,入力値,labels.name,-,-,-,labels.name → ラベル設定（ラベル）.ラベル名,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-
3,ラクミーウェブ,設定入力画面,ラベル設定（ラベル）,棚卸,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.is_inventory,-,ユーザー入力（ラベル設定）,-,入力値,labels.is_inventory,-,-,-,labels.is_inventory → ラベル設定（ラベル）.棚卸,-,-; labels.is_inventory,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-
4,ラクミーウェブ,設定入力画面,ラベル設定（ラベル）,ステータスフラグ,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.status,-,ユーザー入力（ラベル設定）,-,入力値,labels.status,-,-,-,labels.status → ラベル設定（ラベル）.ステータスフラグ,-,-; labels.status,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-
5,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,商品ID,L2,D,L0,単一レコード,低,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,infomart_items.id,-,マスタ参照,-,入力値,infomart_items.id,-,-,-,infomart_items.id → ラベル設定（仕入商品リスト）.商品ID,-,-; infomart_items.id,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,仕入商品に仕入商品ラベル（グルーピングタグ）を紐付け。仕入先分析での仕入先ラベル別集計・棚卸時の在庫分類に活用,設定/入力検証済,データソース: 商品マスタ（設定）,-,-
6,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,発注先,L3,D,L0,単一レコード,低,発注先マスタ（参照）,マスタ参照表示,発注先マスタから発注先名を参照表示,infomart_transactions.client_name,-,-,-,マスタ参照,infomart_transactions.client_name,-,[マスタ]infomart_clients.name,-,infomart_transactions.client_name → ラベル設定（仕入商品リスト）.発注先,[マスタ]infomart_clients.name,-; infomart_transactions.client_name,-,1,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: インフォマート（仕入）,-,-
7,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,商品名,L2,D,L0,単一レコード,低,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,infomart_items.name,-,マスタ参照,-,入力値,infomart_items.name,-,-,-,infomart_items.name → ラベル設定（仕入商品リスト）.商品名,-,-; infomart_items.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: 商品マスタ（設定）,-,-
8,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,費目,L2,D,L0,単一レコード,低,費目マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,monthly_cost_items.name,-,マスタ参照,-,入力値,monthly_cost_items.name,-,-,-,monthly_cost_items.name → ラベル設定（仕入商品リスト）.費目,-,-; monthly_cost_items.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,ユーザーが入力するラベル設定値,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: 費目マスタ（設定）,-,-
9,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,AIによる費目生成,L3,D,L2-S,店舗月次,低,AI生成,AI生成,AIによる自動生成,-,-,AI生成,-,AI生成,-,-,-,-,AI生成 → ラベル設定（仕入商品リスト）.AIによる費目生成,-,-; -,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,画面表示時,設定入力画面,設定入力,AIが自動生成する費目設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,AI生成,AIによる費目自動生成機能,-,-
10,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名1,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,納品書詳細.仕入商品,ラクミーアプリ.棚卸（ラベル選択）; 仕入先分析（ラベル別集計）,labels.name → ラベル設定（仕入商品リスト）.ラベル名1 → ラクミーアプリ.棚卸 → 仕入先分析,納品書詳細.仕入商品,-; labels.name,ラクミーアプリ.棚卸（ラベル選択）; 仕入先分析（ラベル別集計）,1,1,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書詳細の仕入商品にラベルを紐付け。ラクミーアプリ棚卸でのカテゴリ選択・仕入先分析でのラベル別集計に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
11,ラクミーウェブ,設定入力画面,ラベル設定（仕入商品リスト）,ラベル名2,L2,D,L0,単一レコード,低,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,labels.name,-,マスタ参照,-,入力値,item_labels.label_id,-,-,-,labels.name → ラベル設定（仕入商品リスト）.ラベル名2,-,-; labels.name,-,0,0,低,中,中,-,監視継続,短期キャッシュ(1-5分),×,ユーザー操作時,設定入力画面,設定入力,仕入商品ラベル設定,納品書撮影で読み込んだ仕入商品にラベルを紐付け。棚卸時の在庫分類に活用,設定/入力検証済,データソース: ラベルマスタ,-,-
