ラクミー経営管理 MTG資料: 指標別スナップショット推奨
作成日: 2025年12月12日
スナップショット候補: 398件 / 全737件

優先度,スコア,画面名,指標名,独自レベル,経営重要度,参照回数,インプット数,システム負荷,演算コスト,スナップショット推奨,理由
S,36,当月実績,営業利益,L4a,S,5,3,高,高,スナップショット必須,"参照5回, 複合演算(L4a), 高負荷, 入力3元"
S,30,月次レポート,原価（金額）,L4a,C,3,3,高,高,スナップショット必須,"参照3回, 複合演算(L4a), 高負荷, 入力3元"
S,29,流入分析,ウォークイン客単価,L4b,A,2,4,高,高,スナップショット必須,"複合演算(L4b), 高負荷, 入力4元"
S,25,小口現金管理,残高,L4a,C,2,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,25,流入分析,予約客単価,L4b,A,2,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,25,流入分析,回転数,L4a,C,2,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,24,流入分析,予約売上,L4a,C,1,3,高,高,スナップショット必須,"複合演算(L4a), 高負荷, 入力3元"
S,24,当月実績,FL率,L4a,S,1,3,高,高,スナップショット必須,"複合演算(L4a), 高負荷, 入力3元"
S,23,主要KPI指標,営業利益率,L4b,S,0,4,高,高,スナップショット必須,"複合演算(L4b), 高負荷, 入力4元"
S,23,主要KPI指標,ROI,L4b,B,2,1,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,22,月次予算設定,営業利益,L4b,A,1,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,22,月次集計,粗利単価,L4a,C,1,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,22,店舗別サマリー,売上進捗率,L4a,B,1,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,22,当月実績,FD仕入率,L4a,S,1,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,22,当月実績,人件費率,L4a,S,1,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,22,当月実績,営業利益達成率,L4a,S,1,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,22,当月実績,売上達成率,L4a,S,1,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,21,月次予算設定,変動費率,L4b,B,0,3,高,高,スナップショット必須,"複合演算(L4b), 高負荷, 入力3元"
S,21,予実対比,実績_営業利益,L4a,A,0,3,高,高,スナップショット必須,"複合演算(L4a), 高負荷, 入力3元"
S,21,予実対比,予算_営業利益,L4b,A,0,3,高,高,スナップショット必須,"複合演算(L4b), 高負荷, 入力3元"
S,21,年間予実対比（サマリー）,営業利益,L4a,S,0,3,高,高,スナップショット必須,"複合演算(L4a), 高負荷, 入力3元"
S,21,店舗ラベル別サマリー,営業利益,L4a,S,0,3,高,高,スナップショット必須,"複合演算(L4a), 高負荷, 入力3元"
S,21,店舗別サマリー,営業利益,L4a,S,0,3,高,高,スナップショット必須,"複合演算(L4a), 高負荷, 入力3元"
S,21,年間予実対比,月次実績_営業利益,L4a,A,0,3,高,高,スナップショット必須,"複合演算(L4a), 高負荷, 入力3元"
S,21,年間予実対比,月次予算_営業利益,L4b,A,0,3,高,高,スナップショット必須,"複合演算(L4b), 高負荷, 入力3元"
S,21,年間予実対比（予実対比）,年間予算_営業利益,L4b,A,0,3,高,高,スナップショット必須,"複合演算(L4b), 高負荷, 入力3元"
S,20,利益進捗分析,利益進捗率,L4b,B,1,1,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,20,利益進捗分析,利益達成率,L4b,A,1,1,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,20,月次集計,粗利率,L4a,C,1,1,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,20,流入分析,テーブル回転数,L4a,C,1,1,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,20,予実対比（一覧）,営業利益,L4a,S,4,0,中,高,スナップショット必須,"参照4回, 複合演算(L4a)"
S,20,主要KPI指標,坪月商,L4a,B,1,1,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,20,店舗ラベル別サマリー,売上達成率,L4a,A,1,1,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,20,店舗別サマリー,売上達成率,L4a,A,1,1,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,19,月次予算設定,変動費,L4b,B,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,FD仕入率トレンド,FD仕入率トレンド,L4a,S,0,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,19,FD仕入率トレンド,フード仕入比率,L4a,C,0,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,19,FD仕入率トレンド,ドリンク仕入比率,L4a,C,0,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,19,FD分析（仕入率/原価率）,FD仕入率,L4a,S,0,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,19,予実対比,実績_FLコスト 計,L4a,A,0,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
S,19,予実対比,予算_FLコスト 計,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,予算構成比_FLコスト 計,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,予算構成比_営業利益,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,予実差額_FLコスト 計,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,予実差額_営業利益,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,予算対比率_FLコスト 計,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,予算対比率_営業利益,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,構成比_FLコスト 計,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,予実対比,構成比_営業利益,L4b,A,0,2,高,高,スナップショット必須,"複合演算(L4b), 高負荷"
S,19,月次集計,PA人件費率,L4a,S,0,2,高,高,スナップショット必須,"複合演算(L4a), 高負荷"
