画面区分	画面タイトル	指標名	演算ロジック	演算式詳細（テーブル.カラム）	入力元画面	出力先画面	計算に使用する他指標
会社	主要KPI指標	坪月商	売上÷坪数	ZTOTAL.sales_excluded ÷ shops.floor_area	-	-	売上税抜(ZTOTAL)
会社	主要KPI指標	営業利益率	営業利益÷売上×100	(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ ZTOTAL.sales_excluded × 100	-	-	売上税抜, FD仕入額, 人件費, 経費
会社	主要KPI指標	家賃比率	家賃÷売上×100	monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100	-	-	家賃(monthly_costs), 売上税抜(ZTOTAL)
会社	主要KPI指標	ROI	営業利益÷投資×100	(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.value × 100	-	-	営業利益, 予算(monthly_budgets)
会社	当月実績	営業利益	売上-仕入-人件費-経費	ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value	-	店舗別サマリー,年間予実対比	売上税抜, FD仕入額, 人件費, その他経費
会社	当月実績	売上税抜	SUM	SUM(ZTOTAL.sales_excluded)	-	店舗別サマリー,ABC分析,日次推移,日次レポート	-
会社	当月実績	FD仕入率	仕入÷売上×100	trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100	-	店舗別サマリー	FD仕入額(trade_total), 売上税抜(ZTOTAL)
会社	当月実績	人件費率	人件費÷売上×100	labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100	-	店舗別サマリー	人件費(labor_costs_logs), 売上税抜(ZTOTAL)
会社	当月実績	FL率	(F+L)÷売上×100	(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100	-	-	FD仕入額, 人件費, 売上税抜
会社	店舗別サマリー	営業利益	売上-仕入-人件費-経費	ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value	当月実績	当月実績,年間予実対比	売上税抜, FD仕入額, 人件費, その他経費
会社	店舗別サマリー	売上達成率	実績÷目標×100	ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100	-	-	売上税抜(ZTOTAL), 売上目標(monthly_budgets)
会社	店舗別サマリー	売上進捗率	累計÷目標×100	SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100	-	進捗分析	売上税抜累計, 売上目標
会社	年間予実対比	営業利益	売上-仕入-人件費-経費	ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value	当月実績,店舗別サマリー	当月実績,店舗別サマリー	売上税抜, FD仕入額, 人件費, その他経費
会社	年間予実対比	客単価(ランチ)	売上÷客数(11-15時)	SUM(TTOTAL.sales_excluded WHERE settlement_time 11:00-15:00) / SUM(TTOTAL.customers WHERE settlement_time 11:00-15:00)	-	-	売上税抜(TTOTAL), 客数(TTOTAL), 会計日時フィルタ
