大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
マッピング_単軸	日 × 指標	dim_date+C45	日 × 売上（税抜）	売上系	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（1軸単純比較）	L1	SUM商品別	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_単軸	日 × 指標	dim_date+C46	日 × 売上構成比率	売上系	本部管理者	-	🟢 既実装	小	🟡 加重平均	率指標は加重平均	date×metric	FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（1軸単純比較）	L1	商品÷総売上×100	head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded	ABC分析.売上（税抜）, 当月実績.売上（税抜）	売上(税抜)	date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_単軸	日 × 指標	dim_date+C47	日 × 販売点数	客数系	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	客数分析	客数推移	客数の前年比/曜日傾向、集客施策の効果検証（1軸単純比較）	L1	SUM商品別	head_office_item_sales_logs.quantity	[外部]TITEM.quantity		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_単軸	日 × 指標	dim_date+C48	日 × 販売点数構成比率	客数系	本部管理者	-	🟢 既実装	小	🟡 加重平均	率指標は加重平均	date×metric	FLOW+FLOW	画面内	客数分析	客数推移	客数の前年比/曜日傾向、集客施策の効果検証（1軸単純比較）	L1	商品数÷総数×100	head_office_item_sales_logs.quantity	ABC分析.販売点数	売上(税抜)	date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_単軸	日 × 指標	dim_date+C49	日 × 価格	売上系	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（1軸単純比較）	L1	売上÷数量	head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity	ABC分析.売上（税抜）, ABC分析.販売点数		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_単軸	日 × 指標	dim_date+C50	日 × 目標PA人件費率	人件費系	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	人件費効率	PA率分析	PA率の店舗/業態比較、人件費効率改善の優先順位（1軸単純比較）	L1	マスタ参照	monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit	[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）			オンデマンド	-	-	on_demand	on_demand	月次給与確定後
マッピング_単軸	日 × 指標	dim_date+C100	日 × FD仕入　計	原価系	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（1軸単純比較）	L1	SUM	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	納品確定後
マッピング_単軸	日 × 指標	dim_date+C101	日 × 人件費　計	人件費系	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	人件費効率	スタッフ別人件費	スタッフ別の人時生産性評価、教育投資/シフト配置最適化（1軸単純比較）	L1	SUM	head_office_connected_service_labor_costs_logs.labor_costs	[外部]head_office_connected_service_labor_costs_logs.labor_costs		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_単軸	日 × 指標	dim_date+C102	日 × その他経費　計	その他	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（1軸単純比較）	L1	SUM	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_単軸	日 × 指標	dim_date+C103	日 × ラクミー利用料	その他	本部管理者	-	🟢 既実装	小	🟢 制限なし	そのまま集計可能	date×metric	FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（1軸単純比較）	L1	費目フィルタ	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
