No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照1-4次指標(V89/V69),判断基準・閾値目安,関連画面,データ基盤要件,備考
T-01,店長,運営効率,食材ロス率,5次,日次,日々の食材管理状況把握、ロス削減施策効果測定,食材ロス金額 ÷ 食材仕入金額 × 100,食材ロス金額=(期首棚卸+仕入)-(期末棚卸+売上原価)。賄い・廃棄・調理ロス・理論値差異を含む,"仕入金額(2次), 棚卸金額(3次), 売上原価(3次)",5%以下:優良 / 5-8%:標準 / 8%超:要改善,"棚卸, FD分析（仕入率/原価率）, 商品別仕入分析",棚卸精度が重要。POS連携なし店舗は手入力必須,日次の棚卸データ整備が前提
T-02,店長,労働生産性,人時売上高,5次,日次,シフト効率の把握、時間帯別の人員配置最適化,売上（税抜）÷ 総労働時間,労働時間は全従業員の就業時間合計（正社員+PA+ヘルプ）,"売上（税抜）(2次), 人件費(2次)","5,000円以上:高生産性 / 3,000-5,000:標準 / 3,000未満:要改善","時間帯別売上分析, 売上経費入力（経費）",シフト管理システム連携が必要,ヘルプ人件費を含めるかで解釈変わる
T-03,店長,労働生産性,人時粗利,5次,日次,売上だけでなく粗利ベースでの労働効率評価,粗利 ÷ 総労働時間,粗利=売上-FD仕入原価。人時売上より実態に近い,"粗利(3次), 人件費(2次)","3,500円以上:高 / 2,000-3,500:標準 / 2,000未満:要改善","月次集計, 感度分析",粗利算出にFD原価の正確な把握が必要,売上と併用で総合判断
T-04,店長,収益構造,FL率,5次,週次,食材と人件費の売上比率、飲食業の最重要KPI,(食材原価 + 人件費) ÷ 売上（税抜） × 100,食材原価=FD仕入合計、人件費=固定+PA+ヘルプ,"FD仕入(2次), 人件費(2次), 売上（税抜）(2次)",55%以下:優良 / 55-60%:標準 / 60%超:要改善,"FD分析（仕入率/原価率）, 予実対比",既存指標あり(各画面にFLコスト 計),業態別に目安異なる（カフェは低め、居酒屋は高め）
T-05,店長,運営効率,テーブル回転率,5次,日次,座席稼働率の把握、予約受入判断,客数 ÷ 席数 ÷ 営業時間（時間単位）,ランチ/ディナー別で算出推奨,"客数(1次), 席数(マスタ:1次), 営業時間(マスタ:1次)",居酒屋2.0以上:優良 / 1.5:標準 / 1.0未満:要改善,"時間帯別売上分析, 流入分析",席数マスタ整備必要,業態依存性が高い
T-06,店長,収益構造,時間帯別売上構成比,5次,日次,ピーク時間の確認、シフト最適化の根拠,時間帯別売上 ÷ 日次総売上 × 100,ランチ帯/アイドル帯/ディナー帯/深夜帯で分割,POS売上時間別(1次),ディナー帯60%超:標準的な居酒屋 / アイドル帯10%未満:集客強化要,時間帯別売上分析,既存指標あり,曜日別と組み合わせて分析
T-07,店長,運営品質,レジ誤差率,5次,日次,金銭管理の精度、不正検知,レジ誤差金額 ÷ POS売上 × 100,差異=実金 - POS確定額。過不足両方を絶対値で集計,"レジ実金(1次 要追加), POS売上(1次)",0.1%以下:優良 / 0.1-0.5%:標準 / 0.5%超:要調査,ダッシュボード.当月実績（異常検知用）,日次現金精算データの入力機能が必要,閾値超過時にアラート設定推奨
T-08,店長,運営効率,廃棄率,5次,日次,仕込み量の最適化、メニュー戦略見直し,廃棄金額 ÷ 仕入金額 × 100,廃棄=食中毒等の理由で破棄した食材の原価換算,"廃棄金額(1次 要追加), 仕入金額(2次)",2%以下:優良 / 2-5%:標準 / 5%超:要改善,"FD分析（仕入率/原価率）, 棚卸",廃棄記録フォームの追加が必要,食材ロス率と併せて管理
T-09,店長,運営効率,賄い比率,5次,週次,賄いコストの把握、福利厚生コスト管理,賄い食材費 ÷ 仕入金額 × 100,賄い食材=従業員食事提供分の原価換算,"賄い食材費(1次 要追加), 仕入金額(2次)",3%以下:標準 / 5%超:要コントロール,"棚卸, 小口現金管理",賄い記録の入力機能必要,労務規程との関連
T-10,店長,人的資源,シフト充足率,5次,日次,計画シフトとの乖離、応援要員の必要性判断,実シフト時間 ÷ 計画シフト時間 × 100,欠勤・遅刻・早退を反映した実績,"実シフト時間(1次 要追加), 計画シフト時間(1次 要追加)",95%以上:健全 / 90-95%:監視 / 90%未満:要対応,-（新規画面）,シフト管理システムとの連携必要,正社員/PA別に分解可能
T-11,店長,運営効率,発注差異率,5次,日次,発注精度と在庫管理、死に筋商品検出,(納品数 - 発注数) ÷ 発注数 × 100,商品別に算出、部分納品や欠品の頻度把握,"発注数(1次), 納品数(1次:納品書撮影)",-2% 〜 +2%:正常 / 絶対値5%超:要調査,"発注書一覧, 納品書管理, 商品別仕入分析",発注データと納品データの突合機能,仕入先別に分析可能
T-12,店長,収益構造,客単価変動率,5次,日次,客単価の傾向把握、メニュー戦略評価,(当月客単価 - 前月客単価) ÷ 前月客単価 × 100,客単価=売上÷客数。ランチ/ディナー別推奨,"客単価(2次), 前月客単価(3次時系列)",+5%超:強いセット率向上 / ±2%:安定 / -5%超:要改善,"予実対比, 売上進捗分析",既存指標あり（客単価）,季節変動を考慮
T-13,店長,運営品質,クーポン利用率,5次,週次,販促施策の効果測定,クーポン利用客数 ÷ 総客数 × 100,キャンペーン別に分解可能,"クーポン利用客数(1次 要追加), 客数(1次)",キャンペーン初月15%目標 / 定常化で5-10%,"流入分析, 支払種別売上分析",POSのクーポンコード連携必要,クーポン利用客の単価も併せて確認
T-14,店長,運営効率,アイドル時間人件費率,5次,日次,低稼働時間の人員コスト、シフト削減余地,アイドル時間人件費 ÷ アイドル時間売上 × 100,アイドル=客数が最低水準の時間帯。通常14-17時,"時間帯別人件費(2次), 時間帯別売上(2次)",30%以下:許容 / 30-50%:監視 / 50%超:シフト削減検討,時間帯別売上分析,時間帯別シフトデータ必要,ランチ終了後の片付け時間含めるか要定義
T-15,店長,運営効率,仕入商品単価変動,5次,週次,値上げ影響の早期検知、発注先見直し材料,(今月平均単価 - 先月平均単価) ÷ 先月平均単価 × 100,主要食材別（肉・魚・野菜等）に算出,"仕入単価(2次:商品仕入単価), 時系列比較(3次)",±3%:許容 / +5%超:要対応（値上げ or 発注先変更）,"商品仕入単価, 商品別仕入分析, 平均単価推移",既存指標あり,季節性を考慮、年間でトレンド把握
T-16,店長会議・本部,店舗比較,店舗間FL率偏差,5次,月次,平均からの乖離で要改善店舗を特定,(店舗FL率 - 全店舗平均FL率) ÷ 標準偏差,Zスコア。+1超で要改善、-1以下で優良,"店舗別FL率(4次), 全店舗平均(4次), 標準偏差(4次)",|Z|<1:正常分布内 / Z>+1:要改善 / Z>+2:緊急,"ダッシュボード.店舗別サマリー, 予実対比（一覧）",会社画面側で集計。既存データから算出可能,業態ラベル別の偏差も併用
T-17,店長会議・本部,収益性,店舗別営業利益率ランキング,5次,月次,収益性トップ・ボトムの把握、ベストプラクティス抽出,店舗別営業利益率の順位表,営業利益率 = 営業利益 ÷ 売上。同業態ラベル内比較推奨,"店舗別営業利益(4次), 店舗別売上(4次)",トップ10%:ベンチマーク対象 / ボトム10%:改善対象,"店舗別サマリー, 店舗ラベル別サマリー",会社画面側集計,単月と3ヶ月移動平均両方で評価
T-18,店長会議・本部,成長性,前年同月比客数変動,5次,月次,集客トレンドの把握、季節要因分離後の実力評価,(当月客数 - 前年同月客数) ÷ 前年同月客数 × 100,既存店のみで算出（新店除外）,"客数(2次), 前年同月客数(4次)",+5%超:成長 / ±2%:横ばい / -5%超:要対策,"店舗別サマリー, 年間予実対比（予実対比）",前年同月データ必要（最低2年分）,新規出店・改装閉店を除外するフラグ必要
T-19,店長会議・本部,店舗比較,店舗別労働分配率,5次,月次,人件費の売上に対する比率、店舗別人員適正化,人件費 ÷ 粗利 × 100,労働分配率。飲食業は40-50%が目安,"人件費(2次), 粗利(3次)",40%以下:優良 / 40-50%:標準 / 50%超:要改善,"店舗別人件費, PA人件費率分析",既存指標ベースで算出可能,業態依存。カフェは低め、居酒屋は高め
T-20,店長会議・本部,リスク,閉店リスクスコア,5次,月次,継続営業リスクの早期警戒,営業利益率 × 売上成長率 ÷ 100,両方マイナスなら危険信号。3ヶ月連続で赤なら要対策,"営業利益率(4次), 売上成長率(4次)",>0:健全 / -5〜0:監視 / <-5:赤信号,"店舗別サマリー, 店舗ラベル別サマリー",時系列データと組み合わせ,閉店判断の補助指標
T-21,店長会議・本部,店舗比較,ラベル別業績格差スコア,5次,月次,ラベル（業態・立地）別の平均と格差把握,ラベル内 max - min ÷ ラベル内平均 × 100,変動係数に類似。ラベル内の均質性を評価,"店舗別業績(4次 全指標), ラベル情報(1次)",20%以下:均質 / 50%超:格差大 要標準化,"店舗ラベル別サマリー, ABC分析",会社画面側のラベル別集計,業態ラベルと立地ラベルで別途算出
T-22,店長会議・本部,運営品質,達成率変動係数,5次,月次,予算達成率のばらつき、管理安定性の指標,店舗別予算達成率の標準偏差 ÷ 平均,CV (係数of variation)。低いほど均質な運営,"予算対比率(4次), 店舗別平均(4次)",0.1以下:非常に安定 / 0.3超:ばらつき大,"予算一覧（予算構成）, 予実対比（一覧）",既存データから算出,安定性評価の補助指標
T-23,店長会議・本部,成長性,店舗別成長率ランキング,5次,月次,成長店舗の特定、失速店舗の検出,売上成長率(YoY)の順位,既存店ベース。新店は別枠評価,"売上(2次), 前年同月売上(4次)",上位10%:水平展開対象 / 下位10%:原因分析,"年間予実対比（サマリー）, 店舗別サマリー",時系列データ必要,新店を含むと歪む
T-24,店長会議・本部,運営効率,店舗別FD原価率ばらつき,5次,週次,同業態内の原価管理水準差,同ラベル内の原価率 標準偏差,同じメニューを提供する店舗間でのばらつき,"FD仕入(2次), 売上(2次), ラベル(1次)",2%以下:均質 / 5%超:マニュアル見直し要,"FD分析（仕入率/原価率）, 店舗ラベル別サマリー",ラベル紐付けが前提,教育・マニュアル整備の材料
T-25,店長会議・本部,人的資源,ヘルプ人件費率,5次,月次,応援人件費の恒常化チェック、採用計画の根拠,ヘルプ人件費 ÷ 総人件費 × 100,ヘルプが多い=固定人員不足の可能性,"ヘルプ人件費(2次), 総人件費(3次)",5%以下:健全 / 15%超:採用増強検討,"PA人件費率分析, 店舗別人件費",既存データから算出可能,繁忙期は一時的に上昇許容
T-26,店長会議・本部,運営品質,店舗監査スコア,5次,月次,本部監査結果の定量化、店舗評価の体系化,衛生・接客・運営各項目のスコア合計,覆面調査・本部巡回・顧客満足度を統合,監査項目(1次 要追加),80点以上:優良 / 60-80:標準 / 60未満:要改善,-（新規画面）,監査データ入力画面の追加が必要,定性評価を数値化する運用整備が前提
T-27,店長会議・本部,成長性,新店vs既存店パフォーマンス,5次,月次,新店の立ち上がりペース評価,新店平均KPI ÷ 既存店平均KPI,売上・利益・客単価等で複合評価,"店舗ラベル(1次:新店フラグ), 各種業績指標(2-4次)",80%以上:立ち上がり順調 / 60%未満:要てこ入れ,"店舗別サマリー, 年間予実対比",新店フラグをラベル管理に含める必要,新店の定義（開業後N月）を決めておく
T-28,経営会議,収益性,全社営業利益率,5次,月次,全社の収益性指標、経営戦略の成否評価,全店舗合計営業利益 ÷ 全店舗合計売上 × 100,業態別・ラベル別に分解可能,"全店舗営業利益(4次), 全店舗売上(4次)",10%以上:優良 / 5-10%:標準 / 5%未満:要改善,"ダッシュボード.主要KPI指標, 年間予実対比（サマリー）",既存データから算出,業態ミックスで変動
T-29,経営会議,収益性,全社EBITDA,5次,月次,減価償却前営業利益、投資判断の基準,営業利益 + 減価償却費 + 賃借料,店舗投資回収力の指標。金融機関評価にも使用,"営業利益(4次), 減価償却費(2次), 地代家賃(2次)",売上比15%以上:健全 / 10%未満:再建検討,"ダッシュボード.主要KPI指標, 年間予実対比（予実対比）",減価償却費データの整備要,借入判断の主要指標
T-30,経営会議,成長性,全社売上成長率,5次,月次,事業成長性、市場地位の指標,(当期売上 - 前期売上) ÷ 前期売上 × 100,既存店売上+新店売上の合計で算出,"全社売上(3次), 前期売上(4次)",+10%超:高成長 / 0-5%:安定 / マイナス:縮小,年間予実対比（サマリー）,時系列データ必要,既存店+新店を分離表示推奨
T-31,経営会議,投資効率,店舗投資回収期間,5次,月次,新規出店判断、投資計画の評価,初期投資額 ÷ (月次営業利益 × 12),回収年数。業態別・立地別に算出,"店舗別営業利益(4次), 初期投資額(1次 要追加)",3年以下:優良 / 3-5年:標準 / 5年超:再検討,-（新規画面）,初期投資額マスタの追加必要,減損判定の補助指標
T-32,経営会議,収益性,ROA（総資産利益率）,5次,四半期,資産効率の指標、投資家向け,営業利益 ÷ 総資産 × 100,年次で算出が一般的,"営業利益(4次), 総資産(会計系:1次)",10%以上:優良 / 5%未満:要改善,-（新規画面）,会計システム連携必要,会計期末値で算出
T-33,経営会議,収益性,ROE（自己資本利益率）,5次,四半期,株主・オーナー視点の収益性,当期純利益 ÷ 自己資本 × 100,投資家指標の代表格,"当期純利益(会計系:1次), 自己資本(会計系:1次)",10%以上:優良,-（新規画面）,会計システム連携必要,配当方針にも影響
T-34,経営会議,リスク,固定費カバー率,5次,月次,売上減少耐性の指標、不況時の生存力,売上（税抜） ÷ 固定費（固定人件費+地代家賃+減価償却等）,1.0未満なら赤字。余裕度を測る,"売上(3次), 固定費用予算(4次)",1.5以上:健全 / 1.2-1.5:監視 / 1.0未満:赤字,"月次集計, 感度分析",既存データから算出可能,感度分析と併用推奨
T-35,経営会議,予測,感度分析スコア,5次,月次,客単価・客数変動が利益に与える影響,客単価10%変動時の営業利益変化率,+10%時と-10%時の両方でシミュレーション,"客単価(3次), 客数(1次), 変動費率(3次), 固定費(3次)",レバレッジ3以上:収益感応度高い,感度分析,既存画面あり,値上げ判断の根拠資料
T-36,経営会議,予測,シナリオ別予測利益,5次,月次,楽観/標準/悲観の3ケースで事業計画見直し,楽観=+5%売上/標準=現状/悲観=-10%売上 での利益,月次予算の感度分析を拡張,"月次予算(3次), 変動費率(3次), 固定費(3次)",悲観ケースで黒字維持:堅牢 / 悲観で赤字:要対策,"感度分析, 年間予実対比（サマリー）",感度分析画面の拡張,四半期に1回レビュー推奨
T-37,経営会議,予測,キャッシュフロー予測,5次,月次,資金繰り・投資可能額の把握,営業CF = 営業利益 + 減価償却費 - 運転資本増減,月次予算＋回収サイト考慮,"営業利益(4次), 減価償却費(2次), 売掛買掛(会計系:1次)",正のCF継続:健全 / 3ヶ月連続マイナス:要融資検討,-（新規画面）,会計システム連携必要,借入判断・投資判断の基礎
T-38,経営会議,成長性,業態別収益性ランキング,5次,四半期,業態ポートフォリオ最適化,業態ラベル別の営業利益率の順位,業態別の強弱を数値化,"営業利益率(4次), 業態ラベル(1次)",トップ業態:出店加速 / ボトム業態:撤退検討,"店舗ラベル別サマリー, ABC分析",業態ラベルの整備前提,M&A・業態転換の材料
T-39,経営会議,予測,年間KGI達成ペース,5次,月次,期中の軌道修正判断、予算修正の要否,累計実績 ÷ (年間目標 × 経過月/12) × 100,月次で進捗評価、3ヶ月連続未達で施策介入,"累計実績(4次), 年間目標(1次)",100±5%:順調 / 90%未満:施策必要 / 80%未満:予算修正,"年間予実対比（サマリー）, 年間予実対比（予実対比）",既存データから算出,四半期レビューの基礎資料
T-40,経営会議,リスク,DSCR（借入金返済能力）,5次,四半期,金融機関評価、借入限度の判定,営業CF ÷ (元利返済額),1.2倍以上が一般的な融資基準,"営業CF(5次T-37), 返済額(1次 要追加)",1.5倍以上:余裕 / 1.0-1.2:最低ライン / 1.0未満:要対策,-（新規画面）,借入データの管理が必要,金融機関への月次/四半期報告資料
