No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照ラクミー1-3次データ,判断基準・閾値目安,関連画面,備考
HB-01,本部管理者,全店集計,全店売上総額前月比,4次,月次,全社業績トレンド把握,(当月全店売上 - 前月全店売上) ÷ 前月全店売上 × 100,月次集計の基本指標,全店舗売上(3次),+5%超:成長 / -3%超:要対策,年間予実対比（サマリー）,経営会議報告
HB-02,本部管理者,全店集計,全店客数前月比,4次,月次,全社集客トレンド,(当月全店客数 - 前月全店客数) ÷ 前月全店客数 × 100,既存店のみで計算推奨,全店舗客数(3次),+3%超:成長 / -3%超:要対策,店舗ラベル別サマリー,客単価と分離評価
HB-03,本部管理者,全店集計,全店平均客単価,4次,月次,全社ブランド力の指標,全店総売上 ÷ 全店総客数,加重平均で算出,"全店舗売上(3次), 全店舗客数(3次)",上昇:ブランド力向上,"当月実績, 店舗別サマリー",値付け戦略の成否
HB-04,本部管理者,全店集計,全店FL率(加重平均),4次,月次,全社コストコントロール状況,(全店FD仕入 + 全店人件費) ÷ 全店売上,売上加重平均,"全店舗FD仕入(3次), 全店舗人件費(3次), 全店舗売上(3次)",55%以下:優良 / 60%超:要改善,主要KPI指標,ベンチマーク
HB-05,本部管理者,全店集計,全店粗利率(加重平均),4次,月次,全社収益力,全店粗利 ÷ 全店売上 × 100,加重平均,"全店舗粗利(3次), 全店舗売上(3次)",65%以上:優良 / 60%未満:要改善,主要KPI指標,経営判断の基礎
HB-06,本部管理者,全店集計,全店人件費率,4次,月次,全社労働コスト水準,全店人件費 ÷ 全店売上 × 100,加重平均,"全店舗人件費(3次), 全店舗売上(3次)",30%以下:優良 / 35%超:要改善,主要KPI指標,人員計画
HB-07,本部管理者,全店集計,全店FLR率,4次,月次,全社固定費負担含むコスト総合指標,(全店FD仕入 + 全店人件費 + 全店地代家賃) ÷ 全店売上,FL率+賃料,"全店舗FL率(4次), 全店舗地代家賃(3次), 全店舗売上(3次)",65%以下:優良,主要KPI指標,不動産戦略評価
HB-08,本部管理者,全店集計,全店営業利益率,4次,月次,最重要経営指標,全店営業利益 ÷ 全店売上 × 100,投資家向けレポート,"全店舗営業利益(4次), 全店舗売上(3次)",10%以上:優良 / 5%未満:要対策,"主要KPI指標, 年間予実対比",経営会議コア指標
HB-09,本部管理者,店舗比較,店舗別売上シェア,4次,月次,店舗貢献度の把握,店舗別売上 ÷ 全店総売上 × 100,パレート原則（80-20）で分析,店舗別売上(2次),上位20%店舗で80%売上:標準,店舗別サマリー,重点店舗管理
HB-10,本部管理者,店舗比較,店舗別利益シェア,4次,月次,店舗利益貢献度,店舗別営業利益 ÷ 全店総利益 × 100,赤字店舗はマイナス表示,店舗別営業利益(4次),赤字店舗の早期検出,店舗別サマリー,閉店判断補助
HB-25,本部管理者,ラベル分析,ラベル別売上構成比,4次,月次,業態ミックスの評価,ラベル別売上 ÷ 全店総売上 × 100,業態別の貢献度,"店舗別売上(2次), ラベル(1次)",戦略業態の割合確認,店舗ラベル別サマリー,M&A判断
HB-26,本部管理者,ラベル分析,ラベル別成長率,4次,月次,業態別成長性,ラベル別売上成長率,業態ポートフォリオ最適化,"ラベル別売上(4次), 前年同期(4次)",伸びる業態への集中投資判断,店舗ラベル別サマリー,投資配分
HB-27,本部管理者,ラベル分析,ラベル別営業利益率,4次,月次,業態別収益性,ラベル別営業利益 ÷ ラベル別売上,業態選別の材料,"ラベル別営業利益(4次), ラベル別売上(4次)",業態間で比較評価,店舗ラベル別サマリー,業態戦略
HB-28,本部管理者,ラベル分析,ラベル別客単価,4次,月次,業態ブランディング評価,ラベル別平均客単価,業態ポジショニング,"ラベル別売上(4次), ラベル別客数(4次)",業態特性の確認,ABC分析,顧客セグメント
HB-29,本部管理者,ラベル分析,ラベル別人件費率,4次,月次,業態別人員効率,ラベル別人件費 ÷ ラベル別売上,業態特性が反映,"ラベル別人件費(4次), ラベル別売上(4次)",業態ごとの目安値比較,店舗別人件費,業態別シフト設計
HB-30,本部管理者,ラベル分析,ラベル別FL率,4次,月次,業態別コスト構造,ラベル別FL率,業態ごとのベンチマーク,ラベル別FL率(4次),同業態内均質:健全,FD分析（仕入率/原価率）,業態別基準設定
HB-31,本部管理者,仕入先管理,仕入先別全社取引高,4次,月次,仕入先別の依存度、交渉力,仕入先別の全社仕入金額合計,トップ仕入先の特定,仕入先別仕入(2次),上位3社50%超:リスク,仕入先分析,仕入先交渉の材料
HB-32,本部管理者,仕入先管理,仕入先別店舗カバー率,4次,月次,仕入先の普遍性、標準化余地,仕入先と取引している店舗数 ÷ 全店舗数,共通仕入先の発見,"仕入先別仕入(2次), 店舗数(1次)",80%以上:標準仕入先,仕入先分析,集中購買候補
HB-33,本部管理者,仕入先管理,仕入先別単価変動(全社),4次,月次,全社横断の値上げ検知,全店舗での仕入先別平均単価の前月比,複数店舗で値上げ=仕入先要因,"商品仕入単価(2次), 仕入先(1次)",+3%超:要交渉,商品仕入単価,一括交渉の材料
HB-35,本部管理者,仕入先管理,食材別全社消費量,4次,月次,大量消費食材の特定、原価交渉,食材別全社仕入数量の合計,食材別の全社需要量,商品別仕入(2次),TOP10食材で全社仕入の50%超,"商品別仕入分析, 費目別仕入分析",集中購買戦略
HB-36,本部管理者,予算管理,全社月次予算達成率,4次,月次,全社ペース管理,全社実績 ÷ 全社予算 × 100,会社全体の進捗,"全店舗実績(3次), 全店舗予算(3次)",95-105%:順調 / 90%未満:施策必要,年間予実対比（サマリー）,経営報告
