UIカスタマイズ指標一覧（会社画面）V58
作成日: 2025-12-12
基準: 会社画面_データソース定義表_V58

カスタマイズレベル,カテゴリ,指標名,算出ロジック/説明,必要データソース,ディメンション,実現性,優先度,備考

L1: 既存指標の活用（単純演算）,売上分析,売上前年比,当月売上（税抜）÷ 前年同月売上（税抜）× 100,当月実績.売上（税抜）+ 前年データ,期間（前年）,高,S,外部連携データの期間指定で実現可能
L1: 既存指標の活用（単純演算）,売上分析,売上前月比,当月売上（税抜）÷ 前月売上（税抜）× 100,当月実績.売上（税抜）+ 前月データ,期間（前月）,高,A,外部連携データの期間指定で実現可能
L1: 既存指標の活用（単純演算）,売上分析,売上成長率,（当月売上 - 前年同月売上）÷ 前年同月売上 × 100,当月実績.売上（税抜）+ 前年データ,期間（前年）,高,A,前年比から算出
L1: 既存指標の活用（単純演算）,利益分析,営業利益前年比,当月営業利益 ÷ 前年同月営業利益 × 100,当月実績.営業利益 + 前年データ,期間（前年）,高,S,主要KPI
L1: 既存指標の活用（単純演算）,利益分析,営業利益率改善幅,当月営業利益率 - 前年同月営業利益率,主要KPI指標.営業利益率 + 前年データ,期間（前年）,高,A,改善度合いを可視化
L1: 既存指標の活用（単純演算）,客数分析,客数前年比,当月客数 ÷ 前年同月客数 × 100,客数.当月客数 + 前年データ,期間（前年）,高,A,集客力の推移
L1: 既存指標の活用（単純演算）,客数分析,客数前月比,当月客数 ÷ 前月客数 × 100,客数.当月客数 + 前月データ,期間（前月）,高,B,短期トレンド
L1: 既存指標の活用（単純演算）,客単価分析,客単価前年比,当月客単価 ÷ 前年同月客単価 × 100,客単価.当月客単価（税抜）+ 前年データ,期間（前年）,高,A,単価戦略の効果測定
L1: 既存指標の活用（単純演算）,コスト分析,FD仕入率改善幅,当月FD仕入率 - 前年同月FD仕入率,予実対比.FD仕入 + 前年データ,期間（前年）,高,S,コスト改善の可視化
L1: 既存指標の活用（単純演算）,コスト分析,人件費率改善幅,当月人件費率 - 前年同月人件費率,予実対比.人件費 + 前年データ,期間（前年）,高,S,人件費管理の効果測定

L2: 既存指標の組み合わせ（合成指標）,収益性分析,FL率,（FD仕入 + 人件費）÷ 売上（税抜）× 100,予実対比.FD仕入 + 予実対比.人件費 + 当月実績.売上,-,高,S,飲食業の最重要指標
L2: 既存指標の組み合わせ（合成指標）,収益性分析,FLコスト合計,FD仕入 + 人件費,予実対比.FD仕入 + 予実対比.人件費,-,高,A,コスト総額の把握
L2: 既存指標の組み合わせ（合成指標）,収益性分析,粗利益,売上（税抜）- FD仕入,当月実績.売上（税抜）+ 予実対比.FD仕入,-,高,A,粗利の把握
L2: 既存指標の組み合わせ（合成指標）,収益性分析,粗利率,（売上 - FD仕入）÷ 売上 × 100,当月実績.売上（税抜）+ 予実対比.FD仕入,-,高,A,粗利率の可視化
L2: 既存指標の組み合わせ（合成指標）,収益性分析,EBITDA相当,営業利益 + 減価償却費（概算）,当月実績.営業利益 + 固定費設定,-,中,B,キャッシュフロー概算
