ダッシュボードカスタマイズ可能指標一覧（店舗画面）
作成日: 2025-12-12
目的: ダッシュボード表示画面に追加・削除可能な指標のリスト

【現在のダッシュボード表示画面の構成】
- 主要KPI指標: 坪月商、営業利益率、家賃比率、ROI
- 当月実績: 営業利益、売上（税抜）、FD仕入率、人件費率、FL率

No,区分,追加元画面タイトル,追加元画面カテゴリ,指標名,指標説明,追加先ダッシュボード候補,表示形式提案,優先度

【売上分析画面からの追加候補】

1,既存指標,ABC分析,売上分析,売上（税抜）TOP3商品,売上上位3商品の商品名と売上額,主要KPI指標/当月実績,ミニランキング表示,A
2,既存指標,ABC分析,売上分析,売上構成比率TOP3,売上構成比率上位3商品,当月実績,円グラフ（簡易版）,B
3,既存指標,ABC分析,売上分析,販売点数TOP3商品,販売点数上位3商品,当月実績,ミニランキング表示,B
4,既存指標,商品別売上分析,売上分析,売上合計（税抜）,商品別売上の合計,当月実績,数値表示,A
5,既存指標,商品別売上分析,売上分析,販売数量合計,商品別販売数量の合計,当月実績,数値表示,B
6,既存指標,時間帯別売上分析,売上分析,ランチ売上（税抜）,ランチ時間帯の売上合計,当月実績,数値表示 + 構成比,A
7,既存指標,時間帯別売上分析,売上分析,ディナー売上（税抜）,ディナー時間帯の売上合計,当月実績,数値表示 + 構成比,A
8,既存指標,時間帯別売上分析,売上分析,ランチ客数,ランチ時間帯の客数,当月実績,数値表示,B
9,既存指標,時間帯別売上分析,売上分析,ディナー客数,ディナー時間帯の客数,当月実績,数値表示,B
10,既存指標,時間帯別売上分析,売上分析,ランチ客単価（税抜）,ランチ時間帯の客単価,主要KPI指標,数値表示,A
11,既存指標,時間帯別売上分析,売上分析,ディナー客単価（税抜）,ディナー時間帯の客単価,主要KPI指標,数値表示,A
12,既存指標,曜日別売上分析,売上分析,曜日別平均売上（税抜）,曜日ごとの平均売上,当月実績,ミニ棒グラフ（7曜日）,B
13,既存指標,曜日別売上分析,売上分析,曜日別平均客数,曜日ごとの平均客数,当月実績,ミニ棒グラフ（7曜日）,B
14,既存指標,曜日別売上分析,売上分析,曜日別平均客単価（税抜）,曜日ごとの平均客単価,当月実績,ミニ棒グラフ（7曜日）,B
15,既存指標,支払種別売上分析,売上分析,クレジットカード合計売上,クレジットカード決済の売上合計,当月実績,数値表示 + 比率,B
16,既存指標,支払種別売上分析,売上分析,QR決済合計売上,QR決済の売上合計,当月実績,数値表示 + 比率,B

【仕入分析画面からの追加候補】

17,既存指標,仕入先分析,仕入分析,仕入先TOP3,仕入額上位3社,当月実績,ミニランキング表示,B
18,既存指標,商品別仕入分析,仕入分析,商品別仕入TOP3,商品別仕入額上位3項目,当月実績,ミニランキング表示,B
19,既存指標,費目別仕入分析,仕入分析,費目別仕入額TOP3,費目別仕入額上位3項目,当月実績,ミニランキング表示,B
20,既存指標,商品仕入単価,仕入分析,仕入単価変動アラート,前月比で単価が10%以上上昇した商品数,当月実績,アラート表示,A
21,既存指標,平均単価推移,仕入分析,平均単価トレンド,直近6ヶ月の平均単価推移,当月実績,ミニ折れ線グラフ,B

【詳細分析画面からの追加候補】

22,既存指標,利益進捗分析,詳細分析,利益進捗率,月次の利益進捗率,主要KPI指標/当月実績,ゲージチャート,S
23,既存指標,利益進捗分析,詳細分析,利益達成率,月次の利益達成率,主要KPI指標,数値表示 + 色分け,S
24,既存指標,売上進捗分析,詳細分析,売上進捗率,月次の売上進捗率,主要KPI指標/当月実績,ゲージチャート,S
25,既存指標,売上進捗分析,詳細分析,売上達成率,月次の売上達成率,主要KPI指標,数値表示 + 色分け,S
26,既存指標,感度分析,詳細分析,客単価（税抜）,当月の客単価,主要KPI指標,数値表示,S
27,既存指標,感度分析,詳細分析,変動費率,当月の変動費率,当月実績,数値表示,A
28,既存指標,感度分析,詳細分析,粗利率,当月の粗利率,主要KPI指標,数値表示,S
29,既存指標,感度分析,詳細分析,客数,当月の総客数,当月実績,数値表示,A
30,既存指標,FD分析（仕入率/原価率）,詳細分析,FD原価率,FD原価率,主要KPI指標,数値表示,A
31,既存指標,FD分析（仕入率/原価率）,詳細分析,フード仕入率,フード仕入率,当月実績,数値表示,B
32,既存指標,FD分析（仕入率/原価率）,詳細分析,ドリンク仕入率,ドリンク仕入率,当月実績,数値表示,B
33,既存指標,FD分析（売上構成比）,詳細分析,フード売上合計,フード売上の合計,当月実績,数値表示,A
34,既存指標,FD分析（売上構成比）,詳細分析,ドリンク売上合計,ドリンク売上の合計,当月実績,数値表示,A
35,既存指標,FD仕入率トレンド,詳細分析,FD仕入率トレンド,直近6ヶ月/12ヶ月のFD仕入率推移,当月実績,ミニ折れ線グラフ,B
36,既存指標,流入分析,詳細分析,平均回転数,当月の平均席回転数,主要KPI指標,数値表示,A
37,既存指標,流入分析,詳細分析,平均テーブル回転数,当月の平均テーブル回転数,主要KPI指標,数値表示,A
38,既存指標,流入分析,詳細分析,テーブル稼働率,当月のテーブル稼働率,主要KPI指標,数値表示,A
39,既存指標,流入分析,詳細分析,予約売上,予約経由の売上合計,当月実績,数値表示 + 比率,B
40,既存指標,流入分析,詳細分析,ウォークイン売上,ウォークイン売上合計,当月実績,数値表示 + 比率,B

【集計画面からの追加候補】

41,既存指標,予実対比,集計,総売上予実差額,売上の予算と実績の差額,当月実績,数値表示（+/-色分け）,A
42,既存指標,予実対比,集計,FD仕入予実差額,FD仕入の予算と実績の差額,当月実績,数値表示（+/-色分け）,A
43,既存指標,予実対比,集計,人件費予実差額,人件費の予算と実績の差額,当月実績,数値表示（+/-色分け）,A
44,既存指標,予実対比,集計,フード売上,フード売上の合計,当月実績,数値表示,B
45,既存指標,予実対比,集計,ドリンク売上,ドリンク売上の合計,当月実績,数値表示,B
46,既存指標,予実対比,集計,FD仕入合計,FD仕入の合計,当月実績,数値表示,A
47,既存指標,予実対比,集計,人件費合計,人件費の合計,当月実績,数値表示,A
48,既存指標,予実対比,集計,PA人件費,PA人件費の合計,当月実績,数値表示,A
49,既存指標,年間予実対比（サマリー）,集計,年間営業利益推移,12ヶ月の営業利益推移,主要KPI指標,ミニ折れ線グラフ,S
50,既存指標,年間予実対比（サマリー）,集計,年間FD仕入額推移,12ヶ月のFD仕入額推移,当月実績,ミニ折れ線グラフ,B
51,既存指標,年間予実対比（サマリー）,集計,年間人件費額推移,12ヶ月の人件費額推移,当月実績,ミニ折れ線グラフ,B
52,既存指標,年間予実対比（サマリー）,集計,年間客単価推移,12ヶ月の客単価推移,当月実績,ミニ折れ線グラフ,A
53,既存指標,月次集計,集計,仕入費率,当月の仕入費率,当月実績,数値表示,A
54,既存指標,月次集計,集計,PA人件費率,当月のPA人件費率,当月実績,数値表示,A
55,既存指標,月次レポート,集計,原価率,当月の原価率,主要KPI指標,数値表示,A
56,既存指標,日次レポート,集計,本日売上（税抜）,本日の売上,当月実績,数値表示（リアルタイム）,S
57,既存指標,日次レポート,集計,本日仕入（税抜）,本日の仕入,当月実績,数値表示,A
58,既存指標,日次レポート,集計,本日PA人件費,本日のPA人件費,当月実績,数値表示,A

【登録管理画面からの追加候補】

59,既存指標,店舗管理,登録管理,総席数,店舗の総席数,主要KPI指標,数値表示,B
60,既存指標,店舗管理,登録管理,総卓数,店舗の総卓数,主要KPI指標,数値表示,B
61,既存指標,店舗管理,登録管理,坪数,店舗の坪数,主要KPI指標,数値表示,B
62,既存指標,店舗管理,登録管理,初期投資額,店舗の初期投資額,主要KPI指標,数値表示,B

【新指標（UIカスタマイズ提案）からの追加候補】

63,新指標,期間比較拡張,売上分析,売上前年比（日次）,当日売上÷前年同日売上×100,主要KPI指標/当月実績,数値表示（%）+ アイコン,S
64,新指標,期間比較拡張,売上分析,売上前年比（月次）,当月売上÷前年同月売上×100,主要KPI指標/当月実績,数値表示（%）+ アイコン,S
65,新指標,期間比較拡張,売上分析,売上前月比,当月売上÷前月売上×100,当月実績,数値表示（%）+ アイコン,A
66,新指標,期間比較拡張,売上分析,売上前週比,当週売上÷前週売上×100,当月実績,数値表示（%）+ アイコン,A
67,新指標,期間比較拡張,利益分析,営業利益前年比,当月営業利益÷前年同月営業利益×100,主要KPI指標/当月実績,数値表示（%）+ アイコン,S
68,新指標,期間比較拡張,利益分析,営業利益率改善幅,当月営業利益率-前年同月営業利益率,主要KPI指標,数値表示（pp）,A
69,新指標,期間比較拡張,客数分析,客数前年比（日次）,当日客数÷前年同日客数×100,当月実績,数値表示（%）+ アイコン,A
70,新指標,期間比較拡張,客単価分析,客単価前年比,当月客単価÷前年同月客単価×100,主要KPI指標,数値表示（%）+ アイコン,A
71,新指標,期間比較拡張,コスト分析,FD仕入率改善幅,当月FD仕入率-前年同月FD仕入率,当月実績,数値表示（pp）+ 色分け,S
72,新指標,期間比較拡張,コスト分析,PA人件費率改善幅,当月PA人件費率-前年同月PA人件費率,当月実績,数値表示（pp）+ 色分け,S
73,新指標,合成指標,効率性分析,人時売上高,売上÷総労働時間,主要KPI指標,数値表示（円/時間）,A
74,新指標,合成指標,効率性分析,人時生産性,(売上-FD仕入)÷総労働時間,主要KPI指標,数値表示（円/時間）,A
75,新指標,合成指標,予実分析,営業利益予実差額,営業利益実績-営業利益予算,当月実績,数値表示（+/-色分け）,S
76,新指標,合成指標,予実分析,日次目標残,月次目標-累計売上,当月実績,数値表示 + 達成率バー,S
77,新指標,合成指標,予実分析,日次必要売上,(月次目標-累計売上)÷残営業日数,当月実績,数値表示（円/日）,S
78,新指標,ディメンション,時系列分析,週別売上推移,週別の売上推移グラフ,当月実績,折れ線グラフ,A
79,新指標,ディメンション,ラベル別分析,仕入商品ラベル別仕入額,ラベル別の仕入額構成,当月実績,棒グラフ + 構成比,B
80,新指標,多次元分析,曜日×時間帯,曜日×時間帯別売上,曜日と時間帯のクロス集計,当月実績,ヒートマップ,A
81,新指標,多次元分析,曜日×時間帯,曜日×時間帯別客数,曜日と時間帯の客数クロス集計,当月実績,ヒートマップ,A
82,新指標,期間比較,前年同期比較,全KPI前年同日比較,全KPIの前年同日との比較,当月実績,比較表,S
83,新指標,期間比較,前年同期比較,全KPI前年同月比較,全KPIの前年同月との比較,当月実績,比較表,S
84,新指標,期間比較,累計比較,月次累計売上,月初から当日までの累計売上,当月実績,累計推移グラフ,S
85,新指標,期間比較,移動平均,7日移動平均売上,売上の7日移動平均,当月実績,折れ線グラフ,A
86,新指標,新指標（実現性高）,予測分析,本日売上予測,過去同曜日売上からの予測値,当月実績,予測値表示,A
87,新指標,新指標（実現性高）,予測分析,月末着地予測,累計売上+日平均×残日数,当月実績,予測値 + 目標差異,S
88,新指標,新指標（実現性高）,アラート,FL率超過アラート,FL率が目標超過時のアラート,主要KPI指標,アラートカード,S
89,新指標,新指標（実現性高）,アラート,売上進捗遅れアラート,売上進捗が日数進捗を下回る時のアラート,主要KPI指標,アラートカード,S
90,新指標,新指標（実現性高）,アラート,仕入異常アラート,仕入が過去平均×1.5超時のアラート,当月実績,アラートカード,A
91,新指標,新指標（実現性高）,スコアリング,日次総合スコア,KPIの加重平均スコア,主要KPI指標,スコア表示 + ランク,B
92,新指標,新指標（実現性中）,高度分析,損益分岐点売上,固定費÷(1-変動費率),主要KPI指標,数値表示 + 比較ゲージ,B
93,新指標,新指標（実現性中）,高度分析,損益分岐点客数,BEP÷平均客単価,主要KPI指標,数値表示（人）,B
94,新指標,新指標（実現性中）,シフト最適化,時間帯別必要人数,時間帯別売上予測÷人時売上目標,当月実績,時間帯別棒グラフ,A

凡例:
区分: 既存指標=現在の画面に存在する指標 / 新指標=UIカスタマイズ提案の新規指標
優先度: S=最重要（日次確認必須）/ A=重要（週次確認推奨）/ B=標準（月次確認）/ C=参考
追加先ダッシュボード候補: 主要KPI指標 / 当月実績

カスタマイズ機能の想定仕様:
1. ユーザーがダッシュボードの各セクション（主要KPI指標、当月実績）に表示する指標を選択可能
2. 上記リストから指標を追加・削除できる
3. 表示順序をドラッグ&ドロップで変更可能
4. デフォルト設定に戻すボタンあり
5. 設定はユーザー単位で保存

