,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指標グループ名,期間フィルター,期間フィルター,他フィルター,画面タイトル,指標カテゴリ名,指標列名１,指標列名2,指標列名3,指標列名4,指標列名5,指標列名6,指標列名7,指標列名8,指標列名9,指標列名10,指標列名11,指標列名12,指標列名13,指標列名14,指標列名15,指標列名16,指標列名17,指標列名18,指標列名19,指標列名20,指標列名21,指標列名22,指標列名23,指標列名24,指標列名25,指標列名26,指標列名27,指標列名28,指標列名29,指標列名30,指標列名31,指標列名32,指標列名33,指標列名34
メインKPI指標,月次,日次,,,主要KPI指標,- 坪月商,- 営業利益率,- 家賃比率,- ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダッシュボード指標,月次,日次,,,当月実績,- 営業利益,- 売上（税抜）,- FD仕入率,- 人件費率,- FL率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,店舗別サマリー,- 営業利益,- 売上（税抜）,売上目標,売上達成率,売上進捗率,FD仕入率,人件費率,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,店舗ラベル別サマリー,- 営業利益,- 売上（税抜）,売上目標,売上達成率,売上進捗率,FD仕入率,人件費率,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上分析,月次,日次,,,ABC分析,商品,- 売上（税抜）,売上構成比率,販売点数,販売点数構成比率,価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,商品別売上分析,商品単価（税抜）,商品単価（税込）,販売数量,売上合計（税抜）,売上合計（税込）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ,,時間帯別売上分析,ランチ売上（税抜）,客数,客単価（税抜）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ,,時間帯別売上分析,ディナー売上（税抜）,客数,客単価（税抜）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,曜日選択,,曜日別売上分析,曜日,平均売上（税抜）,平均客数,平均客数（税抜）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,支払種別売上分析,支払方法,売上（税込）,売上比率,クレジットカード合計売上,QR決済合計売上,MUGENファミリーカード合計売上,売掛合計売上,交通系IC合計売上,,,,,,,,,,,,,,,,,,,,,,,,,,
仕入分析,月次,日次,,,仕入別分析,仕入れ先,金額（税抜）,比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,商品別仕入分析,商品,仕入れ先,金額（税抜）,比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,費目別仕入分析,費目,金額（税抜）,比率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,,,商品仕入単価,アイテム,金額（税抜）,数量,単価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,商品ラベル選択、直近6ヶ月、直近12ヶ月,,平均単価推移,仕入商品ラベル,仕入金額（税抜）,数量,平均単価,平均単価推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
詳細分析,月次,,当月と前月のみ、店舗ラベル（店舗名）,,進捗分析,利益進捗率,進捗率比較（前月）,進捗率比較（前々月）,達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ、店舗ラベル（店舗名）,,進捗分析,売上進捗率,進捗率比較（前月）,進捗率比較（前々月）,達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ、店舗ラベル（店舗名）,,日次推移,売上（税抜）,仕入費,PA人件費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ、店舗ラベル（店舗名）,,利益率,目標利益率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ、店舗ラベル（店舗名）,,仕入費率,目標仕入費率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ、店舗ラベル（店舗名）,,PA人件費率,目標PA人件費率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ、店舗ラベル（店舗名）,,客数,当月客数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,当月と前月のみ、店舗ラベル（店舗名）,,客単価,当月客単価（税抜）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計,月次,日次,店舗名,,予実対比,総売上,フード売上,フード売上ランチ,フード売上ディナー,ドリンク売上,ドリンク売上ランチ,ドリンク売上ディナー,その他売上（サービス料等）,その他売上ランチ,その他売上ディナー,割引・値引きなど,FD仕入,フード仕入,ドリンク仕入,人件費,固定人件費,PA人件費,,,,,,,,,,,,,,,,,
,月次,,,,年間予実対比,営業利益,FD仕入額,人件費額,客単価,客単価(ランチ),客単価(ディナー),総売上　計,フード売上 計,フード売上ランチ,フード売上ディナー,ドリンク売上　計,ドリンク売上ランチ,ドリンク売上ディナー,その他売上 計 （サービス料等）,その他売上ランチ,その他売上ディナー,FLコスト　計,FD仕入　計,フード仕入,ドリンク仕入,人件費　計,固定人件費,PA人件費,ヘルプ人件費,その他経費　計,地代家賃,資材費,ラクミー利用料,レジ利用料,借入金返済,水道光熱費,減価償却費,販促費,営業利益
,月次,,店舗名,,月次レポート,原価（金額）,原価率,対象前月在庫（金額）,仕入総額,対象月在庫（金額）,売上合計（税抜）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,,店舗名,,月次レポート,店舗名,原価（金額）,原価率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次,日次,店舗名,,日次レポート,売上（税込）,売上（税抜）,仕入（税込）,仕入（税抜）,PA人件費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登録管理,,,,,ラベル設定（ラベル）,ラベルID,ラベル名,棚卸し,ステータスフラグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ラベル設定（店舗リスト）,店舗ID,店舗名,ラベル名,ステータスフラグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ラベル一覧,店舗ID,店舗名,ラベル名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,納品書管理,納品書ID,受付日付,納品日,店舗名,処理ステータス,発注先,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,納品書詳細,納品書ID,発注者,受注者,処理ステータス,納品日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小口現金,経費項目,経費コード,費目,税区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,棚卸詳細,実施日,仕入れ先,カテゴリ,ラベル,在庫数量,商品単価,小計,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,店舗管理,店舗名,電話番号,郵便番号,都道府県,住所,建物,業種,業態,総卓数,総席数,坪数,家賃種別,家賃（金額）,初期投資額,,,,,,,,,,,,,,,,,,,,
,,,,,従業員管理,従業員コード,所属コード,店舗ID,店舗名,区分（月給時給）,総支給額,所定労働時間,みなし残業時間,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ユーザー,ラクミーID,氏名,電話番号,ユーザー識別（本部、一般）,ステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,店舗間商品移動,日付,移動元店舗,金額,移動先店舗,金額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
