UIカスタマイズ指標一覧（店舗画面）V81 詳細版（重複削除版）
作成日: 2025-12-12
基準: 店舗画面_データソース定義表_V81
注意: 既存のラクミー経営管理画面で実現済みの機能は除外しています

No,カスタマイズレベル,カテゴリ,指標名,演算式詳細,データソース種別,インプット元,アウトプット先,データリネージュ（詳細）,表現提案,必要機能,実現性,優先度,実現に必要なこと・不明点・コスト,参照頻度,演算コスト,システム負荷,推奨対応

【L1: 既存指標の期間比較拡張】※既存画面にない期間比較機能

1,L1: 期間比較拡張,売上分析,売上前年比（日次）,ZTOTAL.sales_excluded[当日] ÷ ZTOTAL.sales_excluded[前年同日] × 100,外部連携（POS）,日次レポート.売上（税抜）,日次ダッシュボード,head_office_connected_service_sales_logs.sales_excluded → 日別集計 → 前年同日集計 → 除算 → 売上前年比,数値表示（%）+ 前年比アイコン（↑↓）+ 色分け,期間パラメータ（前年同日）,高,S,【必要】日別ZTOTALの前年同日取得【コスト】低,中,低,中,監視継続
2,L1: 期間比較拡張,売上分析,売上前年比（月次）,ZTOTAL.sales_excluded[当月] ÷ ZTOTAL.sales_excluded[前年同月] × 100,外部連携（POS）,月次集計.売上（税抜）,月次レポート,head_office_connected_service_sales_logs.sales_excluded → 月別集計 → 前年同月集計 → 除算 → 売上前年比,数値表示（%）+ 前年比アイコン,期間パラメータ（前年同月）,高,S,【必要】月別集計の前年同月取得【コスト】低,中,中,低,監視継続
3,L1: 期間比較拡張,売上分析,売上前月比,ZTOTAL.sales_excluded[当月] ÷ ZTOTAL.sales_excluded[前月] × 100,外部連携（POS）,月次集計.売上（税抜）,月次トレンド,head_office_connected_service_sales_logs.sales_excluded → 月別集計 → 前月集計 → 除算 → 売上前月比,数値表示（%）+ 前月比アイコン,前月データ取得,高,A,【必要】前月データ保持【コスト】低,中,中,低,監視継続
4,L1: 期間比較拡張,売上分析,売上前週比,SUM(ZTOTAL.sales_excluded[当週]) ÷ SUM(ZTOTAL.sales_excluded[前週]) × 100,外部連携（POS）,日次レポート集計,週次トレンド,head_office_connected_service_sales_logs.sales_excluded → 週別集計 → 前週集計 → 除算 → 売上前週比,数値表示（%）+ 前週比アイコン,週別集計,高,A,【必要】週別集計ロジック【コスト】低,中,中,低,監視継続
5,L1: 期間比較拡張,利益分析,営業利益前年比,予実対比（一覧）.営業利益[当月] ÷ 予実対比（一覧）.営業利益[前年同月] × 100,画面間参照,予実対比（一覧）.営業利益,主要KPI指標,予実対比.営業利益 → 前年同月取得 → 除算 → 営業利益前年比,数値表示（%）+ 前年比アイコン + 色分け,営業利益の前年同月データ,高,S,【必要】営業利益の前年データ保持【コスト】低,中,高,中,事前計算検討
6,L1: 期間比較拡張,利益分析,営業利益率改善幅,主要KPI指標.営業利益率[当月] - 主要KPI指標.営業利益率[前年同月],画面内演算,主要KPI指標.営業利益率,改善分析レポート,営業利益率[当月] - 営業利益率[前年同月] → 改善幅,数値表示（pp）+ 改善幅バー（+/-表示）,前年同月の営業利益率,高,A,【必要】営業利益率の前年データ【コスト】低,中,高,高,事前計算・非同期処理
7,L1: 期間比較拡張,客数分析,客数前年比（日次）,ZTOTAL.customers[当日] ÷ ZTOTAL.customers[前年同日] × 100,外部連携（POS）,日次レポート客数,日次ダッシュボード,head_office_connected_service_sales_logs.customers → 前年同日比較 → 客数前年比,数値表示（%）+ 前年比アイコン,前年同日データ,高,A,【必要】客数の前年同日取得【コスト】低,中,中,低,監視継続
8,L1: 期間比較拡張,客数分析,客数前週比,SUM(ZTOTAL.customers[当週]) ÷ SUM(ZTOTAL.customers[前週]) × 100,外部連携（POS）,日次客数集計,週次トレンド,head_office_connected_service_sales_logs.customers → 週別集計 → 前週比較,数値表示（%）+ 前週比アイコン,週別客数集計,高,B,【必要】週別集計【コスト】低,中,中,低,監視継続
9,L1: 期間比較拡張,客単価分析,客単価前年比,月次集計.客単価[当月] ÷ 月次集計.客単価[前年同月] × 100,画面間参照,月次集計.客単価（税抜）,単価分析レポート,客単価[当月] → 前年同月取得 → 除算 → 客単価前年比,数値表示（%）+ 前年比アイコン,客単価の前年同月,高,A,【必要】客単価の前年データ保持【コスト】低,中,中,中,監視継続
10,L1: 期間比較拡張,コスト分析,FD仕入率改善幅,FD分析.FD仕入率[当月] - FD分析.FD仕入率[前年同月],画面間参照,FD分析.FD仕入率,コスト改善レポート,FD仕入率[当月] - FD仕入率[前年同月] → 改善幅,数値表示（pp）+ 改善幅バー（マイナスが良い）,FD仕入率の前年同月,高,S,【必要】FD仕入率の前年データ保持【コスト】低,中,中,低,監視継続
11,L1: 期間比較拡張,コスト分析,PA人件費率改善幅,月次集計.PA人件費率[当月] - 月次集計.PA人件費率[前年同月],画面間参照,月次集計.PA人件費率,コスト改善レポート,PA人件費率[当月] - PA人件費率[前年同月] → 改善幅,数値表示（pp）+ 改善幅バー（マイナスが良い）,PA人件費率の前年同月,高,S,【必要】PA人件費率の前年データ保持【コスト】低,中,高,高,事前計算・非同期処理
12,L1: 期間比較拡張,コスト分析,仕入前日比,日次レポート.仕入（税抜）[当日] ÷ 日次レポート.仕入（税抜）[前日] × 100,外部連携（インフォマート）,日次レポート.仕入（税抜）,日次仕入管理,infomart_transactions → 日別集計 → 前日比較 → 仕入前日比,数値表示（%）+ 前日比アイコン + 異常検知色,前日データ取得,高,A,【必要】前日データ保持【コスト】低,中,中,低,監視継続

【L2: 合成指標】※既存画面にない新しい合成指標

13,L2: 合成指標,効率性分析,人時売上高,ZTOTAL.sales_excluded ÷ SUM(working_records.working_hours),外部連携（POS+勤怠）,売上 + 勤怠データ,人件費効率分析,head_office_connected_service_sales_logs.sales_excluded ÷ head_office_employee_working_records.working_hours → 人時売上高,数値表示（円/時間）+ 目標比較バー,総労働時間の集計,中,A,【必要】working_recordsから時間集計【不明】労働時間の粒度【コスト】中,中,中,低,監視継続
14,L2: 合成指標,効率性分析,人時生産性,（売上 - FD仕入）÷ SUM(working_records.working_hours),外部連携（POS+インフォマート+勤怠）,粗利 + 勤務時間,付加価値分析,粗利 ÷ 総労働時間 → 人時生産性,数値表示（円/時間）+ トレンドライン,粗利÷労働時間,中,A,【必要】粗利計算+労働時間集計【コスト】中,中,中,低,監視継続
15,L2: 合成指標,予実分析,営業利益予実差額,予実対比（一覧）.営業利益 - 予算.営業利益,画面間参照+ユーザー入力,営業利益実績 + 予算,予実対比,営業利益実績 - 営業利益予算 → 差額,数値表示（円）+ 差額バー,営業利益予算設定済み,高,S,【必要】営業利益予算設定【コスト】低,中,高,中,事前計算検討
16,L2: 合成指標,予実分析,日次目標残,monthly_budgets.sales - SUM(ZTOTAL.sales_excluded[当月累計]),ユーザー入力+外部連携（POS）,予算設定 + 累計売上,日次ダッシュボード,月次目標 - 累計売上 → 残り目標,数値表示（円）+ 達成率バー + 残日数表示,月次目標-累計実績,高,S,【必要】累計集計ロジック【コスト】低,中,中,低,監視継続
17,L2: 合成指標,予実分析,日次必要売上,（月次目標 - 累計売上）÷ 残営業日数,ユーザー入力+外部連携（POS）,日次目標残 + 営業日計算,日次ダッシュボード,目標残 ÷ 残日数 → 日次必要売上,数値表示（円/日）+ 過去平均との比較,目標残÷残日数,高,S,【必要】営業日カレンダー【不明】休業日の扱い【コスト】低,中,中,低,監視継続

【L3: 1次元ディメンション】※既存画面にない新しい切り口

18,L3: ディメンション,時系列分析,週別売上推移,SUM(ZTOTAL.sales_excluded) GROUP BY WEEK(date),外部連携（POS）,日次レポート集計,週次トレンド,売上 → 週別集計 → 週別売上推移,折れ線グラフ + 前年同週比較オプション,週別GROUP BY,高,A,【必要】週別集計ロジック【コスト】低,中,中,低,監視継続
19,L3: ディメンション,時系列分析,月別売上推移,ZTOTAL.sales_excluded GROUP BY MONTH(date),外部連携（POS）,月次集計データ,月次トレンド/季節性,売上 → 月別集計 → 月別売上推移,折れ線グラフ + 前年同月比較の2本線,月別GROUP BY,高,A,【必要】月別集計ビュー【コスト】低,中,中,低,監視継続
