次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,用途・機能説明,概念式／演算ロジック,判断基準・閾値目安,依存先指標,データ基盤要件,V89No/戦略No
1次,店長,ラベル一覧（仕入商品リスト）,一覧表示画面,商品ID,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),375
1次,店長,ラベル一覧（仕入商品リスト）,一覧表示画面,商品名,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),377
1次,店長,ラベル一覧（仕入商品リスト）,一覧表示画面,費目名,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),378
1次,店長,ラベル一覧（仕入商品リスト）,一覧表示画面,ラベル名,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),379
1次,店長,ラベル一覧（売上商品リスト）,一覧表示画面,発注先ID,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),380
1次,店長,ラベル一覧（売上商品リスト）,一覧表示画面,発注先名,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),381
1次,店長,ラベル一覧（売上商品リスト）,一覧表示画面,ラベル名,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),382
1次,店長,ラベル一覧（発注先リスト）,一覧表示画面,商品ID,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),383
1次,店長,ラベル一覧（発注先リスト）,一覧表示画面,商品名,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),384
1次,店長,ラベル一覧（発注先リスト）,一覧表示画面,ラベル名,,,,,L0,-,-,マスタ参照,-,-,既存(V89/V69),385
1次,店長,ラベル設定（ラベル）,設定入力画面,ラベルID,,,,,L0,-,仕入商品・売上商品・発注先にグルーピング用ラベル（タグ）を作成。仕入先分析・商品別分析のグルーピングおよび棚卸時のカテゴリ分けに使用,入力値,-,-,既存(V89/V69),1
1次,店長,ラベル設定（ラベル）,設定入力画面,ラベル名,,,,,L0,-,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,入力値,-,-,既存(V89/V69),2
1次,店長,ラベル設定（ラベル）,設定入力画面,棚卸,,,,,L0,-,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,入力値,-,-,既存(V89/V69),3
1次,店長,ラベル設定（ラベル）,設定入力画面,ステータスフラグ,,,,,L0,-,仕入商品・売上商品・発注先にグルーピング用ラベルを作成。棚卸時のカテゴリ分けに使用,入力値,-,-,既存(V89/V69),4
1次,店長,ラベル設定（仕入商品リスト）,設定入力画面,ラベル名1,,,,,L0,-,納品書詳細の仕入商品にラベルを紐付け。ラクミーアプリ棚卸でのカテゴリ選択・仕入先分析でのラベル別集計に活用,入力値,-,納品書詳細.仕入商品,既存(V89/V69),10
