列詳細仕様書: 会社画面_データソース定義表_V69
作成日: 2026-04-21
対象ファイル: 会社画面_データソース定義表_V69
総指標数: 486件
更新内容: V89/V69最新版に統計値を再計算

■ 独自指標レベル
レベル	定義	説明	例	件数	比率
L0	汎用指標	業界共通の基本指標	売上、客数	190	39.1%
L1	業界標準指標	飲食業界で一般的に使用される指標	客単価、仕入額	240	49.4%
L2	ラクミー独自指標	ラクミー固有の定義・演算を持つ指標	FL率、FD仕入率	21	4.3%
L3	画面固有指標	特定画面専用の指標	進捗率、達成率	30	6.2%
L4	高度演算指標	複数画面間の複合演算を行う指標	営業利益（複合）	5	1.0%

■ 経営重要度
レベル	定義	説明	例	件数	比率
S	最重要	経営判断に直結する最重要指標	営業利益、売上達成率、FL率	20	4.1%
A	重要	日常的な経営管理に必要な指標	売上、客数、仕入額	88	18.1%
B	中程度	詳細分析に使用する指標	商品別売上、時間帯別売上	87	17.9%
C	低	参考情報として使用する指標	仕入先別金額、費目別金額	221	45.5%
D	参照のみ	マスタ設定・管理用の指標	ユーザー設定、ラベル設定	70	14.4%

■ 計算レイヤー
レイヤー	名称	件数	比率
L0	データ取得層	51	10.5%
L1	単純演算層	170	35.0%
L2-S	画面内演算層（単一店舗）	188	38.7%
L2-C	画面内演算層（全店舗）	32	6.6%
L2-L	画面内演算層（店舗ラベル別）	1	0.2%
L3-S	画面間演算層（単一店舗）	24	4.9%
L3-C	画面間演算層（全店舗）	15	3.1%
L3-L	画面間演算層（店舗ラベル別）	5	1.0%

■ データスコープ
スコープ	件数	比率
全店舗年次	276	56.8%
店舗月次	105	21.6%
単一レコード	51	10.5%
全店舗	47	9.7%
店舗ラベル別	7	1.4%

■ データ負荷レベル
レベル	件数	比率
最高	15	3.1%
高	104	21.4%
中	68	14.0%
低	299	61.5%

■ スナップショット対象（V89/V69 現行値）
記号	件数	比率
×	299	61.5%
○	104	21.4%
△	68	14.0%
◎	15	3.1%
