画面タイトル,画面タイプ,ターゲット,総指標数,1次指標数,1次指標名(;区切り),2次指標数,2次指標名(;区切り),3次指標数,3次指標名(;区切り),4次指標数,4次指標名(;区切り),5次指標数,5次指標名(;区切り)
ラベル設定（ラベル）,設定入力画面,店長,4,4,ラベルID; ラベル名; 棚卸; ステータスフラグ,0,,0,,0,,0,
ラベル設定（仕入商品リスト）,設定入力画面,店長,15,14,商品ID; 発注先; 商品名; 費目; ラベル名1; ラベル名2; ラベル名3; ラベル名4; ラベル名5; ラベル名6; ラベル名7; ラベル名8; ラベル名9; ラベル名10,0,,1,AIによる費目生成,0,,0,
ラベル設定（売上商品リスト）,設定入力画面,店長,7,6,商品ID; 商品名; 商品ID（連携サービス）; 商品コード（連携サービス）; ラベル名; ステータスフラグ,0,,1,AIによるラベル生成,0,,0,
ラベル設定（発注先リスト）,設定入力画面,店長,4,4,発注先ID; 発注先名; ラベル名; ステータスフラグ,0,,0,,0,,0,
休業日設定,設定入力画面,店長,2,2,定休日（曜日）; 日付指定,0,,0,,0,,0,
単月費用設定,設定入力画面,店長,4,3,単月地代家賃; 対売上比（変動費用デフォルト値）; 金額（固定費用デフォルト値）,0,,1,費目,0,,0,
売上構成比設定,設定入力画面,店長,5,5,ランチ比率; ディナー比率; フード構成比; ドリンク構成比; その他構成比,0,,0,,0,,0,
店舗管理,設定入力画面,店長,12,12,店舗名; 電話番号; 郵便番号; 都道府県; 住所; 建物; 業種; 業態; 総卓数; 総席数; 坪数; 初期投資額,0,,0,,0,,0,
月次予算設定,設定入力画面,店長,15,4,目標月次利益; FD仕入比率; PA人件費率; 目標客単価（税抜）,0,,9,目標客数; 変動費率; 変動費単価; 粗利単価; 売上（税抜）; 変動費; 粗利率; 粗利; 営業利益,2,変動費用予算; 固定費用予算,0,
発注先商品管理,設定入力画面,店長,5,5,商品名; 商品コード; ステータス; 単位; 税区分,0,,0,,0,,0,
発注先情報編集,設定入力画面,店長,3,3,発注先; 表示名; 店舗コード,0,,0,,0,,0,
発注先管理,設定入力画面,店長,2,2,発注先名; カテゴリ,0,,0,,0,,0,
費用設定編集,設定入力画面,店長,3,3,費目名; 設定タイプ（固定費用予算、変動費用予算）; 固定費用予算デフォルト数値,0,,0,,0,,0,
費用設定（一覧）,設定入力画面,店長,3,3,費目; 設定タイプ; デフォルト数値,0,,0,,0,,0,
発注書作成,設定登録画面,店長,6,6,発注ID; 発注先名; 商品コード; 商品名; 発注単位; 税区分,0,,0,,0,,0,
売上経費入力（売上）,実績入力画面,店長,5,3,店内売上（標準税率）税抜; 店外売上（軽減税率）税抜; 客数,0,,2,店内売上（標準税率）税込; 店外売上（軽減税率）税込,0,,0,
売上経費入力（経費）,実績入力画面,店長,1,1,人件費（概算人件費集計）,0,,0,,0,,0,
小口現金管理,実績入力画面,店長,9,7,支払先; 経費項目; 出勤額; 入金額; 内容; 経費コード; 税区分,0,,2,残高; 費目,0,,0,
店舗間商品移動,実績入力画面,店長,4,4,相手店舗; 仕入金額（税抜）; 提供金額（税抜）; 商品タイプ,0,,0,,0,,0,
棚卸,実績入力画面,店長,5,3,棚卸商品; 在庫数量; 商品単価,0,,1,小計,0,,1,在庫金額月内変動
棚卸（カテゴリ、タブ選択）,実績入力画面,店長,11,11,肉類（カテゴリ１）; 魚介類（カテゴリ２）; 野菜・果物（カテゴリ３）; 加工品（カテゴリ４）; 米・穀物（カテゴリ５）; 麺・パン（カテゴリ６）; 乾物・缶詰（カテゴリ７）; 調味料（カテゴリ８）; 酒・ドリンク（カテゴリ９）; 資材（カテゴリ１０）; その他（カテゴリ１１）,0,,0,,0,,0,
棚卸（ラベル、タブ選択）,実績入力画面,店長,4,3,ラベル名１; ラベル名２; ラベル名３〜１０,0,,1,AIによる費目生成,0,,0,
棚卸（数量・単価の編集）,実績入力画面,店長,5,4,商品名; 仕入れ先; 在庫数量; 単価（税抜）,0,,1,推奨単価（税抜）,0,,0,
納品書撮影（登録）,実績入力画面,店長,9,0,,0,,9,納品書ID; 発注者; 納品日; 注文数; 納品数; 納品単価; 小計（税抜）; 小計（税込）; 納品書画像,0,,0,
ABC分析,分析画面,店長,8,0,,3,商品; 売上（税抜）; 販売点数,2,販売点数構成比率; 価格,1,売上構成比率,2,死に筋商品検出; 商品ABC分析
FD仕入率トレンド,分析画面,店長,5,0,,0,,2,直近6ヶ月; 直近12ヶ月,3,FD仕入率トレンド; フード仕入比率; ドリンク仕入比率,0,
