UIカスタマイズ指標一覧（店舗画面）V70
作成日: 2025-12-12
基準: 店舗画面_データソース定義表_V70

カスタマイズレベル,カテゴリ,指標名,算出ロジック/説明,必要データソース,ディメンション,実現性,優先度,備考

L1: 既存指標の活用（単純演算）,売上分析,売上前年比,当日/当月売上（税抜）÷ 前年同日/同月売上 × 100,日次レポート.売上（税抜）+ 前年データ,期間（前年）,高,S,日次でも確認可能
L1: 既存指標の活用（単純演算）,売上分析,売上前月比,当月売上（税抜）÷ 前月売上（税抜）× 100,月次集計.売上（税抜）+ 前月データ,期間（前月）,高,A,月次トレンド
L1: 既存指標の活用（単純演算）,売上分析,売上前週比,当週売上 ÷ 前週売上 × 100,日次レポート集計 + 前週データ,期間（前週）,高,A,週次トレンド
L1: 既存指標の活用（単純演算）,売上分析,売上成長率,（当月売上 - 前年同月売上）÷ 前年同月売上 × 100,月次集計.売上 + 前年データ,期間（前年）,高,A,成長性把握
L1: 既存指標の活用（単純演算）,利益分析,営業利益前年比,当月営業利益 ÷ 前年同月営業利益 × 100,予実対比（一覧）.営業利益 + 前年データ,期間（前年）,高,S,店長の最重要KPI
L1: 既存指標の活用（単純演算）,利益分析,営業利益率改善幅,当月営業利益率 - 前年同月営業利益率,主要KPI指標.営業利益率 + 前年データ,期間（前年）,高,A,改善度可視化
L1: 既存指標の活用（単純演算）,客数分析,客数前年比,当日/当月客数 ÷ 前年同日/同月客数 × 100,日次レポート.客数系 + 前年データ,期間（前年）,高,A,集客力推移
L1: 既存指標の活用（単純演算）,客数分析,客数前週比,当週客数 ÷ 前週客数 × 100,日次客数集計 + 前週データ,期間（前週）,高,B,短期集客トレンド
L1: 既存指標の活用（単純演算）,客単価分析,客単価前年比,当月客単価 ÷ 前年同月客単価 × 100,月次集計.客単価（税抜）+ 前年データ,期間（前年）,高,A,単価戦略効果
L1: 既存指標の活用（単純演算）,コスト分析,FD仕入率改善幅,当月FD仕入率 - 前年同月FD仕入率,FD分析.FD仕入率 + 前年データ,期間（前年）,高,S,仕入改善可視化
L1: 既存指標の活用（単純演算）,コスト分析,PA人件費率改善幅,当月PA人件費率 - 前年同月PA人件費率,月次集計.PA人件費率 + 前年データ,期間（前年）,高,S,人件費改善可視化
L1: 既存指標の活用（単純演算）,コスト分析,仕入前日比,当日仕入（税抜）÷ 前日仕入 × 100,日次レポート.仕入（税抜）+ 前日データ,期間（前日）,高,A,日次仕入管理

L2: 既存指標の組み合わせ（合成指標）,収益性分析,FL率,（FD仕入 + PA人件費）÷ 売上（税抜）× 100,予実対比.FD仕入 + 月次集計.PA人件費 + 売上,-,高,S,飲食業最重要指標
L2: 既存指標の組み合わせ（合成指標）,収益性分析,日次FL率概算,（当日仕入 + 当日PA人件費）÷ 当日売上 × 100,日次レポート各データ,-,高,S,日次FL把握
L2: 既存指標の組み合わせ（合成指標）,収益性分析,FLコスト合計,FD仕入 + PA人件費,予実対比.FD仕入 + 月次集計.PA人件費,-,高,A,コスト総額
L2: 既存指標の組み合わせ（合成指標）,収益性分析,粗利益,売上（税抜）- FD仕入,月次集計.売上 + 予実対比.FD仕入,-,高,A,粗利把握
L2: 既存指標の組み合わせ（合成指標）,収益性分析,粗利率,（売上 - FD仕入）÷ 売上 × 100,月次集計.売上 + 予実対比.FD仕入,-,高,A,粗利率可視化
L2: 既存指標の組み合わせ（合成指標）,効率性分析,人時売上高,売上（税抜）÷ 総勤務時間,日次レポート.売上 + PA人件費から逆算,-,中,A,時間効率
L2: 既存指標の組み合わせ（合成指標）,効率性分析,人時生産性,（売上 - FD仕入）÷ 総勤務時間,粗利 + 勤務時間,-,中,A,付加価値生産性
L2: 既存指標の組み合わせ（合成指標）,効率性分析,席回転率,客数 ÷ 総席数,月次集計.客数 + 店舗管理.総席数,-,高,A,席効率
L2: 既存指標の組み合わせ（合成指標）,効率性分析,テーブル回転数,組数 ÷ 総卓数 ÷ 営業日数,流入分析.テーブル回転数,-,高,A,テーブル効率
L2: 既存指標の組み合わせ（合成指標）,効率性分析,テーブル稼働率,実使用卓数 ÷ 総卓数 × 100,流入分析.テーブル稼働率,-,高,A,稼働率把握
L2: 既存指標の組み合わせ（合成指標）,効率性分析,坪効率,売上（税抜）÷ 坪数,月次集計.売上 + 店舗管理.坪数,-,高,A,面積効率
L2: 既存指標の組み合わせ（合成指標）,流入分析,予約客比率,予約客数 ÷ 総客数 × 100,流入分析.予約客数 + 流入分析.客数,-,高,A,予約依存度
L2: 既存指標の組み合わせ（合成指標）,流入分析,ウォークイン比率,ウォークイン客数 ÷ 総客数 × 100,流入分析.ウォークイン客数 + 流入分析.客数,-,高,A,飛び込み比率
L2: 既存指標の組み合わせ（合成指標）,予実分析,売上予実差額,売上実績 - 売上予算,月次集計.売上 + 予算設定.売上,-,高,A,金額乖離
L2: 既存指標の組み合わせ（合成指標）,予実分析,営業利益予実差額,営業利益実績 - 営業利益予算,予実対比（一覧）.営業利益 + 予算,-,高,S,利益乖離額
L2: 既存指標の組み合わせ（合成指標）,予実分析,日次目標残,月次売上目標 - 当月累計売上,予算設定 + 累計売上,-,高,S,残り目標額
L2: 既存指標の組み合わせ（合成指標）,予実分析,日次必要売上,日次目標残 ÷ 残営業日数,日次目標残 + 営業日計算,-,高,S,日々の目標

L3: ディメンション追加（1次元）,時系列分析,日別売上推移,日ごとの売上（税抜）の推移,日次レポートデータ,日,高,S,日次トレンド
L3: ディメンション追加（1次元）,時系列分析,週別売上推移,週ごとの売上（税抜）の推移,日次レポート集計,週,高,A,週次トレンド
L3: ディメンション追加（1次元）,時系列分析,月別売上推移,月ごとの売上（税抜）の推移,月次集計データ,月,高,A,月次トレンド
L3: ディメンション追加（1次元）,曜日別分析,曜日別平均売上,曜日ごとの平均売上（税抜）,曜日別売上分析データ,曜日,高,A,曜日パターン
L3: ディメンション追加（1次元）,曜日別分析,曜日別平均客数,曜日ごとの平均客数,曜日別売上分析.平均客数,曜日,高,A,曜日別集客
L3: ディメンション追加（1次元）,曜日別分析,曜日別平均客単価,曜日ごとの平均客単価,曜日別売上分析データ,曜日,高,B,曜日別単価
L3: ディメンション追加（1次元）,時間帯別分析,時間帯別売上構成,時間帯ごとの売上（税抜）の構成比,時間帯別売上分析データ,時間帯,高,A,ピーク把握
L3: ディメンション追加（1次元）,時間帯別分析,時間帯別客数構成,時間帯ごとの客数の構成比,時間帯別売上分析.客数,時間帯,高,A,時間帯別集客
L3: ディメンション追加（1次元）,時間帯別分析,時間帯別客単価,時間帯ごとの客単価（税抜）,時間帯別売上分析.客単価,時間帯,高,B,時間帯別単価
L3: ディメンション追加（1次元）,商品別分析,商品別売上ランキング,商品ごとの売上（税抜）を降順ソート,ABC分析.売上（税抜）,商品,高,A,売れ筋把握
L3: ディメンション追加（1次元）,商品別分析,商品別売上構成比,商品ごとの売上（税抜）の構成比,ABC分析.売上構成比率,商品,高,A,商品構成
L3: ディメンション追加（1次元）,商品別分析,商品カテゴリ別売上,カテゴリごとの売上（税抜）,ABC分析データ集計,商品カテゴリ,高,A,カテゴリ分析
