UIカスタマイズ指標一覧（会社画面）V58 詳細版
作成日: 2025-12-12
基準: 会社画面_データソース定義表_V58

No,カスタマイズレベル,カテゴリ,指標名,演算式詳細,データソース種別,インプット元,アウトプット先,データリネージュ（詳細）,表現提案,必要機能,実現性,優先度,実現に必要なこと・不明点・コスト

1,L1: 既存指標の活用,売上分析,売上前年比,ZTOTAL.sales_excluded[当月] ÷ ZTOTAL.sales_excluded[前年同月] × 100,外部連携（POS）,当月実績.売上（税抜）,ダッシュボード表示/店舗別サマリー,head_office_connected_service_sales_logs.sales_excluded → 当月集計 → 前年同月集計 → 除算 → 売上前年比,数値表示（%）+ 前年比アイコン（↑↓）+ 色分け（100%以上:緑/未満:赤）,期間パラメータ切替機能（前年同月データ取得）,高,S,【必要】期間指定でのZTOTAL集計クエリ追加【コスト】低（既存データ活用）
2,L1: 既存指標の活用,売上分析,売上前月比,ZTOTAL.sales_excluded[当月] ÷ ZTOTAL.sales_excluded[前月] × 100,外部連携（POS）,当月実績.売上（税抜）,ダッシュボード表示/店舗別サマリー,head_office_connected_service_sales_logs.sales_excluded → 当月集計 → 前月集計 → 除算 → 売上前月比,数値表示（%）+ 前月比アイコン（↑↓）,期間パラメータ切替機能（前月データ取得）,高,A,【必要】前月データ取得ロジック【コスト】低
3,L1: 既存指標の活用,売上分析,売上成長率,（ZTOTAL.sales_excluded[当月] - ZTOTAL.sales_excluded[前年同月]）÷ ZTOTAL.sales_excluded[前年同月] × 100,外部連携（POS）,当月実績.売上（税抜）,経営レポート/トレンド分析,head_office_connected_service_sales_logs.sales_excluded → 当月集計 → 前年同月集計 → 差分算出 → 除算 → 売上成長率,数値表示（%）+ 成長率バー + 色分け,売上前年比から自動算出,高,A,【必要】前年比計算済みなら追加演算のみ【コスト】低
4,L1: 既存指標の活用,利益分析,営業利益前年比,当月実績.営業利益[当月] ÷ 当月実績.営業利益[前年同月] × 100,画面間参照,当月実績.営業利益,主要KPI指標/店舗別サマリー,ZTOTAL.sales_excluded → 売上集計 + infomart_transactions.total_tax_excluded → FD仕入集計 + labor_costs_logs.labor_costs → 人件費集計 + monthly_costs.value → 費用集計 → 営業利益算出 → 前年同月比較 → 営業利益前年比,数値表示（%）+ 前年比アイコン + 色分け,期間パラメータ切替 + 営業利益計算済データ,高,S,【必要】monthly_costsからの前年同月集計【コスト】低
5,L1: 既存指標の活用,利益分析,営業利益率改善幅,主要KPI指標.営業利益率[当月] - 主要KPI指標.営業利益率[前年同月],画面内演算,主要KPI指標.営業利益率,経営レポート/改善分析,当月実績.営業利益 → 当月実績.売上（税抜） → 除算 → 営業利益率[当月] → 前年同月営業利益率 → 差分 → 営業利益率改善幅,数値表示（pp）+ 改善幅バー（+/-表示）,前年同月の営業利益率データ取得,高,A,【必要】営業利益率の前年同月保持【コスト】低
6,L1: 既存指標の活用,客数分析,客数前年比,ZTOTAL.customers[当月] ÷ ZTOTAL.customers[前年同月] × 100,外部連携（POS）,客数.当月客数,店舗別サマリー/集客分析,head_office_connected_service_sales_logs.customers → 当月集計 → 前年同月集計 → 除算 → 客数前年比,数値表示（%）+ 前年比アイコン,期間パラメータ切替,高,A,【必要】customers前年同月集計【コスト】低
7,L1: 既存指標の活用,客数分析,客数前月比,ZTOTAL.customers[当月] ÷ ZTOTAL.customers[前月] × 100,外部連携（POS）,客数.当月客数,月次トレンド分析,head_office_connected_service_sales_logs.customers → 当月集計 → 前月集計 → 除算 → 客数前月比,数値表示（%）+ 前月比アイコン,期間パラメータ切替,高,B,【必要】前月データ取得【コスト】低
8,L1: 既存指標の活用,客単価分析,客単価前年比,客単価.当月客単価[当月] ÷ 客単価.当月客単価[前年同月] × 100,画面間参照,客単価.当月客単価（税抜）,店舗別サマリー/単価分析,ZTOTAL.sales_excluded → ZTOTAL.customers → 除算 → 客単価[当月] → 前年同月客単価 → 除算 → 客単価前年比,数値表示（%）+ 前年比アイコン,客単価の前年同月データ取得,高,A,【必要】客単価の期間別保持【コスト】低
9,L1: 既存指標の活用,コスト分析,FD仕入率改善幅,予実対比.FD仕入率[当月] - 予実対比.FD仕入率[前年同月],画面間参照,予実対比.FD仕入,コスト改善レポート,infomart_transactions.total_tax_excluded → FD仕入集計 → ZTOTAL.sales_excluded → 除算 → FD仕入率[当月] → 前年同月FD仕入率 → 差分 → FD仕入率改善幅,数値表示（pp）+ 改善幅バー（マイナスが良い）,FD仕入率の前年同月データ,高,S,【必要】FD仕入率の前年データ保持【コスト】低
