,,,高：L2以上の指標が5個以上,,,最高：TITEM参照+時間帯フィルタ / 高負荷指標が多数,L0:データ取得層,,,,,,,,,,◎ 必須,,
作成日: 2025年12月17日,,,中：L2以上の指標が2-4個,,,高：外部連携×外部連携 / 複合演算,L1:単純演算層,,,,,,,,,,○ 推奨,,
,,,低：L2以上の指標が1個以下,,,中：外部連携単独 / 単純集計,L2-C:画面内演算層（全店舗）全店舗集計データの画面内四則演算・比率計算,,,,,,,,,,△ 検討,,高負荷指標数・高負荷率・経営重要度
,,,,,,低：マスタ参照 / 内部入力,L3-C:画面間演算層（全店舗）全店舗集計データの画面間演算,,,,,,,,,,× 不要,,
,,,,,,,L3-L:画面間演算層（店舗ラベル別）店舗ラベル別集計データの画面間演算,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,基礎データ,,分類,,,,,,,,input,,calculate,output,output指標を利用する先、画面,システム設計,,,
No,画面タイトル,画面タイプ,独自画面度,経営重要度,データスコープ,データ負荷,計算レイヤー,演算範囲,Step1_外部テーブル,Step2_内部テーブル,Step3_インプット元,Step4_演算ロジック,Step5_演算式,Step6_画面表示,Step7_アウトプット先,キャッシュ戦略,スナップショット対象,更新トリガー,
1,当月実績,ダッシュボード表示画面,低,S,全店舗,最高,L3-C,外部連携参照,ZTOTAL.sales_excluded,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,参照表示,売上（税抜）: SUM(ZTOTAL.sales_excluded),当月実績.売上（税抜）,"ABC分析, ABC分析.売上構成比率, 主要KPI指標.営業利益率, 主要KPI指標.坪月商, 主要KPI指標.家賃比率, 年間予実対比.営業利益, 年間予実対比.客単価, 店舗別サマリー, 当月実績.FD仕入率, 当月実績.FL率, 当月実績.人件費率, 当月実績.営業利益, 支払種別売上分析.売上比率, 日次レポート, 日次推移, 時間帯別売上分析.客単価（税抜）, 月次レポート.原価率, 進捗分析.進捗率比較（前々月）, 進捗分析.進捗率比較（前月）, 進捗分析.達成率",長期キャッシュ(1時間以上),◎,日次バッチ,
,,,,,,,,設定値参照,,monthly_budgets.profit,SUM(紐づく店舗.月次予算設定.営業利益予算),参照表示,営業利益予算: monthly_budgets.profit,当月実績.営業利益予算,当月実績.営業利益達成率,,,,
,,,,,,,,,,monthly_budgets.sales,SUM(紐づく店舗.月次予算設定.売上予算),データ取得,売上予算: monthly_budgets.sales,当月実績.売上予算,当月実績.売上達成率,,,,
,,,,,,,,画面間演算,"ZTOTAL.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",参照表示,営業利益: 当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,当月実績.営業利益,"主要KPI指標.ROI, 年間予実対比.営業利益, 店舗別サマリー.営業利益, 進捗分析.利益進捗率",,,,
,,,,,,,,,"infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","予実対比.FD仕入, 当月実績.売上（税抜）",仕入÷売上×100,FD仕入率: 予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100,当月実績.FD仕入率,店舗別サマリー.FD仕入率,,,,
,,,,,,,,,"head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","予実対比.人件費, 当月実績.売上（税抜）",比率計算,人件費率: 予実対比.人件費 ÷ 当月実績.売上（税抜） × 100,当月実績.人件費率,店舗別サマリー.人件費率,,,,
,,,,,,,,,"infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","予実対比.FD仕入, 予実対比.人件費, 当月実績.売上（税抜）",仕入÷売上×100,FL率: (予実対比.FD仕入 + 予実対比.人件費) ÷ 当月実績.売上（税抜） × 100,当月実績.FL率,,,,,
,,,,,,,,,"ZTOTAL.sales_excluded, monthly_budgets.profit","head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit","当月実績.営業利益, 当月実績.営業利益予算",比率計算,営業利益達成率: 当月実績.営業利益 ÷ 当月実績.営業利益予算 × 100,当月実績.営業利益達成率,,,,,
,,,,,,,,,"ZTOTAL.sales_excluded, monthly_budgets.sales","head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.sales","当月実績.売上（税抜）, 当月実績.売上予算",比率計算,売上達成率: 当月実績.売上（税抜） ÷ 当月実績.売上予算 × 100,当月実績.売上達成率,,,,,
