画面区分,画面タイトル,指標名,演算式,演算に使用する指標（画面タイトル.指標名）,演算式詳細（テーブル.カラム）,アウトプット先画面タイトル,アウトプット先指標名
会社,主要KPI指標,坪月商,売上÷坪数,当月実績.売上税抜 ÷ 店舗マスタ.坪数,ZTOTAL.sales_excluded ÷ shops.floor_area,-,-
会社,主要KPI指標,営業利益率,営業利益÷売上×100,当月実績.営業利益 ÷ 当月実績.売上税抜 × 100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ ZTOTAL.sales_excluded × 100,-,-
会社,主要KPI指標,家賃比率,家賃÷売上×100,月次費用入力.地代家賃 ÷ 当月実績.売上税抜 × 100,monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100,-,-
会社,主要KPI指標,ROI,営業利益÷投資×100,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,(営業利益) ÷ monthly_budgets.value × 100,-,-
会社,当月実績,営業利益,売上-仕入-人件費-経費,当月実績.売上税抜 - 当月実績.FD仕入額 - 当月実績.人件費 - 当月実績.その他経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,店舗別サマリー; 年間予実対比; 進捗分析,営業利益; 営業利益; 利益進捗率の計算に使用
会社,当月実績,売上税抜,SUM,-,SUM(ZTOTAL.sales_excluded),店舗別サマリー; ABC分析; 日次推移; 日次レポート; 主要KPI指標,売上税抜; 売上構成比率の計算に使用; 売上税抜; 売上税抜; 坪月商/営業利益率の計算に使用
会社,当月実績,FD仕入率,仕入÷売上×100,当月実績.FD仕入額 ÷ 当月実績.売上税抜 × 100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,店舗別サマリー,FD仕入率
会社,当月実績,人件費率,人件費÷売上×100,当月実績.人件費 ÷ 当月実績.売上税抜 × 100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100,店舗別サマリー,人件費率
会社,当月実績,FL率,(F+L)÷売上×100,(当月実績.FD仕入額 + 当月実績.人件費) ÷ 当月実績.売上税抜 × 100,(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100,-,-
会社,店舗別サマリー,営業利益,売上-仕入-人件費-経費,店舗別サマリー.売上税抜 - 店舗別サマリー.FD仕入額 - 店舗別サマリー.人件費 - 店舗別サマリー.その他経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,当月実績; 年間予実対比,営業利益（会社合計）; 営業利益
会社,店舗別サマリー,売上税抜,SUM店舗別,-,SUM(ZTOTAL.sales_excluded),-,-
会社,店舗別サマリー,売上目標,マスタ参照,-,monthly_budgets.value,-,-
会社,店舗別サマリー,売上達成率,実績÷目標×100,店舗別サマリー.売上税抜 ÷ 予算設定.売上目標 × 100,ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100,-,-
会社,店舗別サマリー,売上進捗率,累計÷目標×100,店舗別サマリー.売上税抜累計 ÷ 予算設定.売上目標 × 100,SUM(ZTOTAL.sales_excluded) ÷ monthly_budgets.value × 100,進捗分析,売上進捗率
会社,店舗別サマリー,FD仕入率,仕入÷売上×100,店舗別サマリー.FD仕入額 ÷ 店舗別サマリー.売上税抜 × 100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
会社,店舗別サマリー,人件費率,人件費÷売上×100,店舗別サマリー.人件費 ÷ 店舗別サマリー.売上税抜 × 100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100,-,-
会社,ABC分析,商品,商品マスタ,-,TITEM.item_name,-,-
会社,ABC分析,売上税抜,SUM商品別,-,SUM(TITEM.sales_excluded),-,-
会社,ABC分析,売上構成比率,商品÷総売上×100,ABC分析.商品別売上税抜 ÷ ABC分析.総売上税抜 × 100,TITEM.sales_excluded ÷ SUM(TITEM.sales_excluded) × 100,-,-
会社,ABC分析,販売点数,SUM商品別,-,SUM(TITEM.quantity),-,-
