ラクミー経営管理 店舗画面 データソース定義表 V81（推奨対応列追加版）
作成日: 2025年12月12日
総指標数,737,,,,,,,,,,,,,,,,,,,,,
経営重要度: 店長視点

■ ラクミー経営管理 データフロー

順序,画面カテゴリ,役割,例
①,設定入力画面,予算・費用予算設定（予の定義元）,予算設定、月次費用入力、店舗管理、費目マスタ,
②,実績入力画面,随時発生する実績入力（費用実績含む）,小口現金管理、店舗間商品移動、棚卸、費用実績入力,
③,分析画面,演算あり：外部連携・設定・実績を組み合わせて分析,予実対比、ABC分析、商品別売上分析、トレンド分析,
④,一覧表示画面,演算なし：データを一覧形式で表示,予算一覧、費用実績一覧、納品書管理、ラベル一覧,
⑤,ダッシュボード表示画面,重要KPIを集約表示,主要KPI指標、当月実績、店舗別サマリー,

■ 画面カテゴリ別 指標数

画面カテゴリ,件数,画面数,役割
設定入力画面,81件,21画面,予算・費用予算設定（予の定義元）
実績入力画面,17件,6画面,随時発生する実績入力（費用実績含む）
分析画面,510件,34画面,演算あり：外部連携・設定・実績を組み合わせて分析
一覧表示画面,96件,13画面,演算なし：データを一覧形式で表示
ダッシュボード表示画面,33件,8画面,重要KPIを集約表示

■ 設定入力画面 (81指標 / 21画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明,参照頻度,演算コスト,システム負荷,推奨対応
1,設定入力画面,ラベル設定（ラベル）,ラベルID,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,labels.id,-,labels.id,-,ユーザー入力（ラベル設定）,-,-,labels.id → ラベル設定（ラベル）.ラベルID,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
2,設定入力画面,ラベル設定（ラベル）,ラベル名,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,labels.name,-,labels.name,-,ユーザー入力（ラベル設定）,-,-,labels.name → ラベル設定（ラベル）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
3,設定入力画面,ラベル設定（ラベル）,棚卸,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,labels.is_inventory,-,labels.is_inventory,-,ユーザー入力（ラベル設定）,-,-,labels.is_inventory → ラベル設定（ラベル）.棚卸,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
4,設定入力画面,ラベル設定（ラベル）,ステータスフラグ,L2,D,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,labels.status,-,labels.status,-,ユーザー入力（ラベル設定）,-,-,labels.status → ラベル設定（ラベル）.ステータスフラグ,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
5,設定入力画面,ラベル設定（仕入商品リスト）,商品ID,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.id,-,infomart_items.id,-,マスタ参照,-,-,infomart_items.id → ラベル設定（仕入商品リスト）.商品ID,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
6,設定入力画面,ラベル設定（仕入商品リスト）,発注先,L2,D,-,発注先マスタ（参照）,マスタ参照表示,発注先マスタから発注先名を参照表示,マスタ参照,infomart_transactions.client_name,-,infomart_transactions.client_name,-,-,[マスタ]infomart_clients.name,-,infomart_transactions.client_name → ラベル設定（仕入商品リスト）.発注先,設定/入力検証済,データソース: インフォマート（仕入）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
7,設定入力画面,ラベル設定（仕入商品リスト）,商品名,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.name,-,infomart_items.name,-,マスタ参照,-,-,infomart_items.name → ラベル設定（仕入商品リスト）.商品名,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
8,設定入力画面,ラベル設定（仕入商品リスト）,費目,L2,D,-,費目マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,monthly_cost_items.name,-,monthly_cost_items.name,-,マスタ参照,-,-,monthly_cost_items.name → ラベル設定（仕入商品リスト）.費目,設定/入力検証済,データソース: 費目マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,監視継続
9,設定入力画面,ラベル設定（仕入商品リスト）,AIによる費目生成,L2,D,-,AI生成,AI生成,AIによる自動生成,AI生成,-,-,-,-,AI生成,-,-,AI生成 → ラベル設定（仕入商品リスト）.AIによる費目生成,AI生成,AIによる費目自動生成機能,-,-,設定入力画面,設定入力,AIが自動生成する費目設定,低,中,中,監視継続
