スナップショット対象 新定義案 再判定結果 (会社V69)
作成日: 2026-04-21
判定ルール: 高負荷指標数ベース（OR条件）

画面タイトル	総指標数	高負荷指標数	高負荷率	現在判定(旧)	新判定	変更	判定理由
予実対比	50	41	82%	○	◎	★変更	高負荷≥10件(41)
年間予実対比（予実対比）	216	16	7%	×	◎	★変更	高負荷≥10件(16)
店舗別人件費	14	14	100%	○	◎	★変更	高負荷≥10件(14)
ABC分析	6	6	100%	○	◎	★変更	高負荷率≥50%(100%)
支払方法別分析	6	6	100%	○	◎	★変更	高負荷率≥50%(100%)
平均単価推移	5	5	100%	○	◎	★変更	高負荷率≥50%(100%)
年間予実対比	54	5	9%	×	○	★変更	高負荷5-9件(5)
進捗分析	5	5	100%	○	◎	★変更	高負荷率≥50%(100%)
商品別仕入分析	4	4	100%	○	◎	★変更	高負荷率≥50%(100%)
曜日別分析	4	4	100%	◎	◎		高負荷率≥50%(100%)
仕入先分析	3	3	100%	○	◎	★変更	高負荷率≥50%(100%)
商品別売上分析	3	3	100%	○	◎	★変更	高負荷率≥50%(100%)
月次レポート	7	3	43%	×	○	★変更	高負荷率20-49%(43%)
当月実績	9	2	22%	△	◎	★変更	L3以上×データ負荷最高(6)
客単価分析	1	1	100%	◎	◎		高負荷率≥50%(100%)
客数分析	1	1	100%	○	◎	★変更	高負荷率≥50%(100%)
ユーザー	5	0	0%	×	×		高負荷0件
ラベル設定（ラベル）	4	0	0%	×	×		高負荷0件
ラベル設定（店舗リスト）	4	0	0%	×	×		高負荷0件
店舗管理	14	0	0%	×	×		高負荷0件
従業員管理	8	0	0%	×	×		高負荷0件
費用実績入力	8	0	0%	×	×		高負荷0件
PA人件費率分析	1	0	0%	×	×		高負荷0件
仕入費率分析	1	0	0%	×	×		高負荷0件
利益率分析	1	0	0%	×	×		高負荷0件
費目別仕入分析	3	0	0%	×	×		高負荷0件
ラベル一覧	3	0	0%	×	×		高負荷0件
商品仕入単価	4	0	0%	×	×		高負荷0件
棚卸詳細	7	0	0%	×	×		高負荷0件
納品書管理	6	0	0%	×	×		高負荷0件
納品書詳細	5	0	0%	×	×		高負荷0件
主要KPI指標	4	0	0%	△	×	★変更	高負荷0件
年間予実対比（サマリー）	6	0	0%	△	×	★変更	高負荷0件
店舗ラベル別サマリー	7	0	0%	×	×		高負荷0件
店舗別サマリー	7	0	0%	×	×		高負荷0件
