画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
ユーザー,設定入力画面,1次,ラクミーID,L0,-,-,1
ユーザー,設定入力画面,1次,氏名,L0,-,-,2
ユーザー,設定入力画面,1次,電話番号,L0,-,-,3
ユーザー,設定入力画面,1次,ユーザー識別（本部、一般）,L0,-,-,4
ユーザー,設定入力画面,1次,ステータス,L0,-,-,5
ラベル設定（ラベル）,設定入力画面,1次,ラベルID,L0,-,-,6
ラベル設定（ラベル）,設定入力画面,1次,ラベル名,L0,-,-,7
ラベル設定（ラベル）,設定入力画面,1次,棚卸し,L0,-,-,8
ラベル設定（ラベル）,設定入力画面,1次,ステータスフラグ,L0,-,-,9
ラベル設定（店舗リスト）,設定入力画面,1次,店舗ID,L0,-,-,10
ラベル設定（店舗リスト）,設定入力画面,1次,店舗名,L0,-,-,11
ラベル設定（店舗リスト）,設定入力画面,1次,ラベル名,L0,ラベル設定（ラベル）.ラベル名; 店舗管理.店舗名,-,12
ラベル設定（店舗リスト）,設定入力画面,1次,ステータスフラグ,L0,-,-,13
店舗管理,設定入力画面,1次,店舗名,L0,-,-,14
店舗管理,設定入力画面,1次,電話番号,L0,-,-,15
店舗管理,設定入力画面,1次,郵便番号,L0,-,-,16
店舗管理,設定入力画面,1次,都道府県,L0,-,-,17
店舗管理,設定入力画面,1次,住所,L0,-,-,18
店舗管理,設定入力画面,1次,建物,L0,-,-,19
店舗管理,設定入力画面,1次,業種,L0,-,-,20
店舗管理,設定入力画面,1次,業態,L0,-,-,21
店舗管理,設定入力画面,1次,総卓数,L0,-,-,22
店舗管理,設定入力画面,1次,総席数,L0,-,-,23
店舗管理,設定入力画面,1次,坪数,L0,-,-,24
店舗管理,設定入力画面,1次,家賃種別,L0,-,-,25
店舗管理,設定入力画面,1次,家賃（金額）,L0,-,-,26
店舗管理,設定入力画面,1次,初期投資額,L0,-,-,27
従業員管理,設定入力画面,1次,従業員コード,L0,-,-,28
従業員管理,設定入力画面,1次,所属コード,L0,-,-,29
従業員管理,設定入力画面,1次,店舗ID,L0,-,-,30
従業員管理,設定入力画面,1次,店舗名,L0,-,-,31
従業員管理,設定入力画面,1次,区分（月給時給）,L0,-,-,32
従業員管理,設定入力画面,1次,総支給額,L0,-,-,33
従業員管理,設定入力画面,1次,所定労働時間,L0,-,-,34
従業員管理,設定入力画面,1次,みなし残業時間,L0,-,-,35
費用実績入力,実績入力画面,1次,経費項目,L0,-,-,36
費用実績入力,実績入力画面,1次,経費コード,L0,-,-,37
費用実績入力,実績入力画面,1次,税区分,L0,-,-,39
費用実績入力,実績入力画面,1次,日付,L0,-,-,40
費用実績入力,実績入力画面,1次,金額,L0,-,-,42
費用実績入力,実績入力画面,3次,費目,L2-C,-,-,38
費用実績入力,実績入力画面,3次,移動元店舗,L2-C,-,-,41
費用実績入力,実績入力画面,3次,移動先店舗,L2-C,-,-,43
ABC分析,分析画面,2次,商品,L1,[外部]TITEM.item_name,-,44
ABC分析,分析画面,2次,売上（税抜）,L1,[外部]TITEM.sales_excluded,-,45
ABC分析,分析画面,2次,売上構成比率,L1,"ABC分析.売上（税抜）, 当月実績.売上（税抜）",-,46
ABC分析,分析画面,2次,販売点数,L1,[外部]TITEM.quantity,-,47
ABC分析,分析画面,2次,販売点数構成比率,L1,ABC分析.販売点数,-,48
ABC分析,分析画面,2次,価格,L1,"ABC分析.売上（税抜）, ABC分析.販売点数",-,49
PA人件費率分析,分析画面,2次,目標PA人件費率,L1,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,50
予実対比,分析画面,2次,総売上,L1,[外部]ZTOTAL.sales_excluded,-,51
予実対比,分析画面,2次,フード売上,L1,[外部]TITEM.sales_excluded,-,52
予実対比,分析画面,2次,フード売上ランチ,L1,[外部]TITEM.sales_excluded,-,53
予実対比,分析画面,2次,フード売上ディナー,L1,[外部]TITEM.sales_excluded,-,54
予実対比,分析画面,2次,ドリンク売上,L1,[外部]TITEM.sales_excluded,-,55
予実対比,分析画面,2次,ドリンク売上ランチ,L1,[外部]TITEM.sales_excluded,-,56
予実対比,分析画面,2次,ドリンク売上ディナー,L1,[外部]TITEM.sales_excluded,-,57
予実対比,分析画面,2次,割引・値引きなど,L1,[外部]ZTOTAL.discount,-,58
予実対比,分析画面,2次,FD仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,59
予実対比,分析画面,2次,フード仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,60
予実対比,分析画面,2次,ドリンク仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,61
予実対比,分析画面,2次,人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,62
予実対比,分析画面,2次,固定人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,63
予実対比,分析画面,2次,PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,64
予実対比,分析画面,2次,その他売上（サービス料等）,L1,[外部]ZTOTAL.service_charge_1,-,65
予実対比,分析画面,2次,その他売上ランチ,L1,[外部]TITEM.sales_excluded,-,66
予実対比,分析画面,2次,その他売上ディナー,L1,[外部]TITEM.sales_excluded,-,67
予実対比,分析画面,2次,FD仕入額,L1,[外部]infomart_transactions.total_tax_excluded,-,88
予実対比,分析画面,2次,人件費額,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,89
予実対比,分析画面,2次,客単価,L1,"当月実績.売上（税抜）, 客数.当月客数",-,90
予実対比,分析画面,2次,客単価（ランチ）,L1,"時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,91
予実対比,分析画面,2次,客単価（ディナー）,L1,"時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,92
予実対比,分析画面,2次,総売上　計,L1,[外部]ZTOTAL.sales_excluded,-,93
予実対比,分析画面,2次,フード売上 計,L1,[外部]TITEM.sales_excluded,-,94
予実対比,分析画面,2次,ドリンク売上　計,L1,[外部]TITEM.sales_excluded,-,95
予実対比,分析画面,2次,その他売上 計 （サービス料等）,L1,[外部]ZTOTAL.service_charge_1,-,96
予実対比,分析画面,2次,その他売上ランチ,L1,[外部]TITEM.sales_excluded,-,97
予実対比,分析画面,2次,その他売上ディナー,L1,[外部]TITEM.sales_excluded,-,98
予実対比,分析画面,2次,FLコスト　計,L1,-,-,99
予実対比,分析画面,2次,FD仕入　計,L1,[外部]infomart_transactions.total_tax_excluded,-,100
予実対比,分析画面,2次,人件費　計,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,101
予実対比,分析画面,2次,その他経費　計,L1,-,-,102
予実対比,分析画面,2次,ラクミー利用料,L1,-,-,103
予実対比,分析画面,2次,レジ利用料,L1,-,-,104
予実対比,分析画面,2次,借入金返済,L1,-,-,105
予実対比,分析画面,2次,フード売上ランチ,L1,[外部]TITEM.sales_excluded,-,106
予実対比,分析画面,2次,フード売上ディナー,L1,[外部]TITEM.sales_excluded,-,107
予実対比,分析画面,2次,ドリンク売上ランチ,L1,[外部]TITEM.sales_excluded,-,108
