UIカスタマイズ指標一覧（店舗画面）V70 詳細版
作成日: 2025-12-12
基準: 店舗画面_データソース定義表_V70

No,カスタマイズレベル,カテゴリ,指標名,演算式詳細,データソース種別,インプット元,アウトプット先,表現提案,必要機能,実現性,優先度,実現に必要なこと・不明点・コスト

1,L1: 既存指標の活用,売上分析,売上前年比（日次）,ZTOTAL.sales_excluded[当日] ÷ ZTOTAL.sales_excluded[前年同日] × 100,外部連携（POS）,日次レポート.売上（税抜）,日次ダッシュボード,数値表示（%）+ 前年比アイコン（↑↓）+ 色分け（100%以上:緑）,期間パラメータ（前年同日）,高,S,【必要】日別ZTOTALの前年同日取得【コスト】低
2,L1: 既存指標の活用,売上分析,売上前年比（月次）,ZTOTAL.sales_excluded[当月] ÷ ZTOTAL.sales_excluded[前年同月] × 100,外部連携（POS）,月次集計.売上（税抜）,月次レポート,数値表示（%）+ 前年比アイコン,期間パラメータ（前年同月）,高,S,【必要】月別集計の前年同月取得【コスト】低
3,L1: 既存指標の活用,売上分析,売上前月比,ZTOTAL.sales_excluded[当月] ÷ ZTOTAL.sales_excluded[前月] × 100,外部連携（POS）,月次集計.売上（税抜）,月次トレンド,数値表示（%）+ 前月比アイコン,前月データ取得,高,A,【必要】前月データ保持【コスト】低
4,L1: 既存指標の活用,売上分析,売上前週比,SUM(ZTOTAL.sales_excluded[当週]) ÷ SUM(ZTOTAL.sales_excluded[前週]) × 100,外部連携（POS）,日次レポート集計,週次トレンド,数値表示（%）+ 前週比アイコン,週別集計,高,A,【必要】週別集計ロジック【コスト】低
5,L1: 既存指標の活用,売上分析,売上成長率,（ZTOTAL.sales_excluded[当月] - ZTOTAL.sales_excluded[前年同月]）÷ ZTOTAL.sales_excluded[前年同月] × 100,外部連携（POS）,月次集計.売上（税抜）,成長分析レポート,数値表示（%）+ 成長率バー,前年比から算出,高,A,【必要】前年比計算済み【コスト】低
6,L1: 既存指標の活用,利益分析,営業利益前年比,予実対比（一覧）.営業利益[当月] ÷ 予実対比（一覧）.営業利益[前年同月] × 100,画面間参照,予実対比（一覧）.営業利益,主要KPI指標,数値表示（%）+ 前年比アイコン + 色分け,営業利益の前年同月データ,高,S,【必要】営業利益の前年データ保持【コスト】低
7,L1: 既存指標の活用,利益分析,営業利益率改善幅,主要KPI指標.営業利益率[当月] - 主要KPI指標.営業利益率[前年同月],画面内演算,主要KPI指標.営業利益率,改善分析レポート,数値表示（pp）+ 改善幅バー（+/-表示）,前年同月の営業利益率,高,A,【必要】営業利益率の前年データ【コスト】低
8,L1: 既存指標の活用,客数分析,客数前年比（日次）,ZTOTAL.customers[当日] ÷ ZTOTAL.customers[前年同日] × 100,外部連携（POS）,日次レポート客数系,日次ダッシュボード,数値表示（%）+ 前年比アイコン,前年同日データ,高,A,【必要】客数の前年同日取得【コスト】低
9,L1: 既存指標の活用,客数分析,客数前週比,SUM(ZTOTAL.customers[当週]) ÷ SUM(ZTOTAL.customers[前週]) × 100,外部連携（POS）,日次客数集計,週次トレンド,数値表示（%）+ 前週比アイコン,週別客数集計,高,B,【必要】週別集計【コスト】低
10,L1: 既存指標の活用,客単価分析,客単価前年比,月次集計.客単価（税抜）[当月] ÷ 月次集計.客単価（税抜）[前年同月] × 100,画面間参照,月次集計.客単価（税抜）,単価分析レポート,数値表示（%）+ 前年比アイコン,客単価の前年同月,高,A,【必要】客単価の前年データ保持【コスト】低
11,L1: 既存指標の活用,コスト分析,FD仕入率改善幅,FD分析.FD仕入率[当月] - FD分析.FD仕入率[前年同月],画面間参照,FD分析（仕入率/原価率）.FD仕入率,コスト改善レポート,数値表示（pp）+ 改善幅バー（マイナスが良い）,FD仕入率の前年同月,高,S,【必要】FD仕入率の前年データ保持【コスト】低
12,L1: 既存指標の活用,コスト分析,PA人件費率改善幅,月次集計.PA人件費率[当月] - 月次集計.PA人件費率[前年同月],画面間参照,月次集計.PA人件費率,コスト改善レポート,数値表示（pp）+ 改善幅バー（マイナスが良い）,PA人件費率の前年同月,高,S,【必要】PA人件費率の前年データ保持【コスト】低
13,L1: 既存指標の活用,コスト分析,仕入前日比,日次レポート.仕入（税抜）[当日] ÷ 日次レポート.仕入（税抜）[前日] × 100,外部連携（インフォマート）,日次レポート.仕入（税抜）,日次仕入管理,数値表示（%）+ 前日比アイコン + 異常検知色,前日データ取得,高,A,【必要】前日データ保持【コスト】低

14,L2: 合成指標,収益性分析,FL率,（infomart_transactions.total_tax_excluded + labor_costs_logs.labor_costs）÷ ZTOTAL.sales_excluded × 100,外部連携（インフォマート+KOT+POS）,予実対比.FD仕入 + 月次集計.PA人件費 + 売上,主要KPI指標/ダッシュボード,ゲージチャート（目標60%ライン）+ 数値表示 + アラート色（超過時赤）,FL率計算ロジック,高,S,【必要】FD仕入+PA人件費の合算【コスト】低
15,L2: 合成指標,収益性分析,日次FL率概算,（日次レポート.仕入（税抜）+ 日次レポート.PA人件費）÷ 日次レポート.売上（税抜）× 100,外部連携（インフォマート+KOT+POS）,日次レポート各データ,日次ダッシュボード,数値表示（%）+ 目標ライン + 日次トレンド,日次FL計算,高,S,【必要】日次仕入+人件費の合算【コスト】低
16,L2: 合成指標,収益性分析,FLコスト合計,infomart_transactions.total_tax_excluded + labor_costs_logs.labor_costs,外部連携（インフォマート+KOT）,予実対比.FD仕入 + 月次集計.PA人件費,コスト分析,積み上げ棒グラフ（FD/PA内訳）+ 合計数値,単純加算,高,A,【必要】なし【コスト】低
17,L2: 合成指標,収益性分析,粗利益,ZTOTAL.sales_excluded - infomart_transactions.total_tax_excluded,外部連携（POS+インフォマート）,月次集計.売上（税抜）+ 予実対比.FD仕入,損益分析,棒グラフ + 数値表示,売上-FD仕入,高,A,【必要】なし【コスト】低
18,L2: 合成指標,収益性分析,粗利率,（ZTOTAL.sales_excluded - infomart_transactions.total_tax_excluded）÷ ZTOTAL.sales_excluded × 100,外部連携（POS+インフォマート）,月次集計.売上（税抜）+ 予実対比.FD仕入,損益分析,数値表示（%）+ 目標ライン,粗利益÷売上,高,A,【必要】なし【コスト】低
19,L2: 合成指標,効率性分析,人時売上高,ZTOTAL.sales_excluded ÷ SUM(working_records.working_hours),外部連携（POS+勤怠）,日次レポート.売上（税抜）+ 勤怠データ,人件費効率分析,数値表示（円/時間）+ 目標比較バー,総労働時間の集計,中,A,【必要】working_recordsからの時間集計【不明】労働時間の粒度【コスト】中
20,L2: 合成指標,効率性分析,人時生産性,（ZTOTAL.sales_excluded - infomart_transactions.total_tax_excluded）÷ SUM(working_records.working_hours),外部連携（POS+インフォマート+勤怠）,粗利 + 勤務時間,付加価値分析,数値表示（円/時間）+ トレンドライン,粗利÷労働時間,中,A,【必要】粗利計算+労働時間集計【コスト】中
21,L2: 合成指標,効率性分析,席回転率,ZTOTAL.customers ÷ shops.total_seats ÷ 営業日数,外部連携（POS）+設定マスタ,月次集計.客数 + 店舗管理.総席数,効率分析,数値表示（回/日）+ 目標比較,客数÷席数÷日数,高,A,【必要】shops.total_seatsの参照【コスト】低
22,L2: 合成指標,効率性分析,テーブル回転数,流入分析.テーブル回転数（既存）,画面間参照,流入分析.テーブル回転数,効率分析,数値表示（回/日）+ 店舗目標比較,既存指標参照,高,A,【必要】なし（既存指標）【コスト】低
23,L2: 合成指標,効率性分析,テーブル稼働率,流入分析.テーブル稼働率（既存）,画面間参照,流入分析.テーブル稼働率,効率分析,ゲージチャート + 数値表示（%）,既存指標参照,高,A,【必要】なし（既存指標）【コスト】低
24,L2: 合成指標,効率性分析,坪効率,ZTOTAL.sales_excluded ÷ shops.floor_space,外部連携（POS）+設定マスタ,月次集計.売上（税抜）+ 店舗管理.坪数,効率分析,数値表示（円/坪）+ 目標比較,売上÷坪数,高,A,【必要】shops.floor_spaceの参照【コスト】低
25,L2: 合成指標,流入分析,予約客比率,流入分析.予約客数 ÷ 流入分析.客数 × 100,画面間参照,流入分析.予約客数 + 流入分析.客数,流入分析/マーケティング,円グラフ（予約/ウォークイン）+ 数値表示（%）,既存指標の比率計算,高,A,【必要】なし【コスト】低
26,L2: 合成指標,流入分析,ウォークイン比率,流入分析.ウォークイン客数 ÷ 流入分析.客数 × 100,画面間参照,流入分析.ウォークイン客数 + 流入分析.客数,流入分析,円グラフ + 数値表示（%）,既存指標の比率計算,高,A,【必要】なし【コスト】低
27,L2: 合成指標,予実分析,売上予実差額,ZTOTAL.sales_excluded - monthly_budgets.sales,外部連携（POS）+ユーザー入力,月次集計.売上（税抜）+ 予算設定.売上（税抜）,予実対比,数値表示（円）+ 差額バー（+:緑/-:赤）,売上実績-予算,高,A,【必要】予算設定済み【コスト】低
28,L2: 合成指標,予実分析,営業利益予実差額,予実対比（一覧）.営業利益 - monthly_budgets.profit,画面間参照+ユーザー入力,予実対比（一覧）.営業利益 + 予算,予実対比,数値表示（円）+ 差額バー,営業利益実績-予算,高,S,【必要】営業利益予算設定済み【コスト】低
29,L2: 合成指標,予実分析,日次目標残,monthly_budgets.sales - SUM(ZTOTAL.sales_excluded[当月累計]),ユーザー入力+外部連携（POS）,予算設定 + 累計売上,日次ダッシュボード,数値表示（円）+ 達成率バー + 残日数表示,月次目標-累計実績,高,S,【必要】累計集計ロジック【コスト】低
30,L2: 合成指標,予実分析,日次必要売上,（monthly_budgets.sales - 累計売上）÷ 残営業日数,ユーザー入力+外部連携（POS）,日次目標残 + 営業日計算,日次ダッシュボード,数値表示（円/日）+ 過去平均との比較,目標残÷残日数,高,S,【必要】営業日カレンダー【不明】休業日の扱い【コスト】低

31,L3: 1次元ディメンション,時系列分析,日別売上推移,ZTOTAL.sales_excluded GROUP BY DATE(date),外部連携（POS）,日次レポートデータ,トレンド分析,折れ線グラフ + 曜日別色分け + 前週同曜日比較オプション,日別GROUP BY,高,S,【必要】日別集計ビュー【コスト】低
32,L3: 1次元ディメンション,時系列分析,週別売上推移,SUM(ZTOTAL.sales_excluded) GROUP BY WEEK(date),外部連携（POS）,日次レポート集計,週次トレンド,折れ線グラフ + 前年同週比較オプション,週別GROUP BY,高,A,【必要】週別集計ロジック【コスト】低
33,L3: 1次元ディメンション,時系列分析,月別売上推移,ZTOTAL.sales_excluded GROUP BY MONTH(date),外部連携（POS）,月次集計データ,月次トレンド/季節性,折れ線グラフ + 前年同月比較の2本線,月別GROUP BY,高,A,【必要】月別集計ビュー【コスト】低
34,L3: 1次元ディメンション,曜日別分析,曜日別平均売上,AVG(ZTOTAL.sales_excluded) GROUP BY DAYOFWEEK(date),外部連携（POS）,曜日別売上分析データ,パターン分析/シフト計画,棒グラフ（月〜日）+ 平均ライン + 偏差表示,曜日別GROUP BY + 平均,高,A,【必要】曜日別集計【コスト】低
35,L3: 1次元ディメンション,曜日別分析,曜日別平均客数,AVG(ZTOTAL.customers) GROUP BY DAYOFWEEK(date),外部連携（POS）,曜日別売上分析.平均客数,パターン分析/シフト計画,棒グラフ（月〜日）+ 平均ライン,曜日別客数集計,高,A,【必要】曜日別客数集計【コスト】低
36,L3: 1次元ディメンション,曜日別分析,曜日別平均客単価,AVG(客単価) GROUP BY DAYOFWEEK(date),画面内演算,曜日別売上分析データ,パターン分析,棒グラフ + 全体平均ライン,曜日別客単価集計,高,B,【必要】曜日別客単価集計【コスト】低
37,L3: 1次元ディメンション,時間帯別分析,時間帯別売上構成,ZTOTAL.sales_excluded GROUP BY HOUR(time),外部連携（POS）,時間帯別売上分析データ,ピーク分析/シフト計画,積み上げ棒グラフ（時間帯別）+ ピーク時間ハイライト,時間帯別GROUP BY,高,A,【必要】時間帯別データ【不明】時間帯の粒度（1時間/30分）【コスト】低
38,L3: 1次元ディメンション,時間帯別分析,時間帯別客数構成,ZTOTAL.customers GROUP BY HOUR(time),外部連携（POS）,時間帯別売上分析.客数,ピーク分析/シフト計画,棒グラフ + ピーク時間ハイライト,時間帯別客数集計,高,A,【必要】時間帯別客数データ【コスト】低
39,L3: 1次元ディメンション,時間帯別分析,時間帯別客単価,AVG(客単価) GROUP BY HOUR(time),画面内演算,時間帯別売上分析.客単価（税抜）,単価分析,折れ線グラフ + 全体平均ライン,時間帯別客単価集計,高,B,【必要】時間帯別客単価集計【コスト】低
40,L3: 1次元ディメンション,商品別分析,商品別売上ランキング,TITEM.sales_excluded GROUP BY TITEM.item_name ORDER BY DESC,外部連携（POS）,ABC分析.売上（税抜）,メニュー分析/売れ筋把握,横棒グラフ（ランキング）+ ABC区分色分け,商品別GROUP BY + ソート,高,A,【必要】商品別売上集計【コスト】低
41,L3: 1次元ディメンション,商品別分析,商品別売上構成比,TITEM.sales_excluded ÷ SUM(TITEM.sales_excluded) × 100 GROUP BY item_name,外部連携（POS）,ABC分析.売上構成比率,メニュー分析,円グラフ + 構成比表 + 累積構成比,商品別構成比計算,高,A,【必要】商品別売上集計【コスト】低
42,L3: 1次元ディメンション,商品別分析,商品カテゴリ別売上,TITEM.sales_excluded GROUP BY item_labels.label_name,外部連携（POS）+設定マスタ,ABC分析データ集計,カテゴリ分析,円グラフ（FD/ドリンク/その他）+ 棒グラフ,カテゴリ別GROUP BY,高,A,【必要】商品-ラベル紐付け【コスト】低
43,L3: 1次元ディメンション,仕入先別分析,仕入先別仕入額ランキング,infomart_transactions.total_tax_excluded GROUP BY vendor_name ORDER BY DESC,外部連携（インフォマート）,費目別仕入分析データ,仕入先管理,横棒グラフ（ランキング）+ 構成比表示,仕入先別GROUP BY,高,A,【必要】仕入先別集計【コスト】低
44,L3: 1次元ディメンション,仕入先別分析,仕入先別仕入構成比,仕入先仕入額 ÷ 総仕入額 × 100 GROUP BY vendor_name,外部連携（インフォマート）,費目別仕入分析データ,仕入先管理,円グラフ + 構成比表,仕入先別構成比計算,高,B,【必要】仕入先別集計【コスト】低
45,L3: 1次元ディメンション,費目別分析,費目別仕入額,infomart_transactions.total_tax_excluded GROUP BY cost_item_name,外部連携（インフォマート）,費目別仕入分析.費目,費目管理/コスト分析,棒グラフ + 構成比表 + 前月比較オプション,費目別GROUP BY,高,A,【必要】費目別集計【コスト】低
46,L3: 1次元ディメンション,ラベル別分析,仕入商品ラベル別仕入額,infomart_transactions.total_tax_excluded GROUP BY item_labels.label_name,外部連携（インフォマート）+設定マスタ,ラベル一覧（仕入商品）データ,ラベル別コスト分析,棒グラフ + 構成比表,ラベル別GROUP BY,高,B,【必要】仕入商品-ラベル紐付け【コスト】低

47,L4: 2次元分析,曜日×時間帯,曜日×時間帯別売上マトリクス,AVG(ZTOTAL.sales_excluded) GROUP BY DAYOFWEEK THEN HOUR,外部連携（POS）,曜日別 + 時間帯別データ,詳細ピーク分析/シフト最適化,ヒートマップ（曜日×時間帯）+ ピーク値ハイライト,2軸GROUP BY + ピボット,中,A,【必要】ピボットテーブル機能【コスト】中
48,L4: 2次元分析,曜日×時間帯,曜日×時間帯別客数マトリクス,AVG(ZTOTAL.customers) GROUP BY DAYOFWEEK THEN HOUR,外部連携（POS）,曜日別 + 時間帯別データ,詳細集客分析/シフト最適化,ヒートマップ（曜日×時間帯）,2軸客数集計,中,A,【必要】ピボットテーブル機能【コスト】中
49,L4: 2次元分析,月×曜日,月×曜日別売上マトリクス,AVG(ZTOTAL.sales_excluded) GROUP BY MONTH THEN DAYOFWEEK,外部連携（POS）,月次 + 曜日別データ,季節×曜日パターン分析,ヒートマップ（月×曜日）+ 季節性ハイライト,2軸平均集計,中,B,【必要】月×曜日のピボット【コスト】中
50,L4: 2次元分析,商品×時間帯,商品カテゴリ×時間帯別売上マトリクス,TITEM.sales_excluded GROUP BY item_labels THEN HOUR,外部連携（POS）+設定マスタ,ABC分析 + 時間帯別データ,時間帯別売れ筋分析,ヒートマップ（商品×時間帯）+ 売れ筋ハイライト,2軸商品売上集計,中,B,【必要】商品×時間帯ピボット【コスト】中
51,L4: 2次元分析,商品×曜日,商品カテゴリ×曜日別売上マトリクス,TITEM.sales_excluded GROUP BY item_labels THEN DAYOFWEEK,外部連携（POS）+設定マスタ,ABC分析 + 曜日別データ,曜日別売れ筋分析,ヒートマップ（商品×曜日）,2軸商品売上集計,中,B,【必要】商品×曜日ピボット【コスト】中
52,L4: 2次元分析,費目×月,費目×月別仕入マトリクス,infomart_transactions.total_tax_excluded GROUP BY cost_item THEN MONTH,外部連携（インフォマート）,費目別仕入分析 + 月次データ,仕入の季節性分析,ヒートマップ（費目×月）+ 異常値ハイライト,2軸仕入集計,中,B,【必要】費目×月ピボット【コスト】中
53,L4: 2次元分析,発注先×月,発注先×月別仕入マトリクス,infomart_transactions.total_tax_excluded GROUP BY vendor THEN MONTH,外部連携（インフォマート）,費目別仕入 + 月次データ,発注先の季節性分析,ヒートマップ（発注先×月）,2軸発注先集計,中,B,【必要】発注先×月ピボット【コスト】中

54,L4: 3次元分析,曜日×時間帯×KPI,曜日×時間帯×KPIキューブ,全KPI GROUP BY DAYOFWEEK THEN HOUR THEN kpi_type,全種類,全KPIデータ,多角的ピーク分析,3次元キューブ / スライサー付きダッシュボード,OLAP機能 / BIツール,低,A,【必要】OLAPキューブ or BIツール【コスト】高
55,L4: 3次元分析,商品×曜日×時間帯,商品×曜日×時間帯キューブ,TITEM.sales_excluded GROUP BY item THEN DAYOFWEEK THEN HOUR,外部連携（POS）+設定マスタ,詳細売上データ,詳細売れ筋パターン分析,3次元ヒートマップ / ドリルダウンダッシュボード,3軸集計 + 可視化,低,B,【必要】大量データの3軸集計【コスト】高
56,L4: 3次元分析,月×曜日×時間帯,月×曜日×時間帯キューブ,ZTOTAL.sales_excluded GROUP BY MONTH THEN DAYOFWEEK THEN HOUR,外部連携（POS）,詳細売上データ,季節×曜日×時間帯パターン,3次元キューブ / アニメーション可視化,3軸集計,低,C,【必要】大量データ処理【コスト】高
