画面区分,画面タイトル,指標名,演算式,演算式詳細（テーブル.カラム）,使用する指標1,使用する指標2,使用する指標3,使用する指標4,備考
会社,主要KPI指標,坪月商,売上÷坪数,ZTOTAL.sales_excluded ÷ shops.floor_area,売上税抜(ZTOTAL.sales_excluded),坪数(shops.floor_area),-,-,-
会社,主要KPI指標,営業利益率,営業利益÷売上×100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ ZTOTAL.sales_excluded × 100,売上税抜(ZTOTAL.sales_excluded),FD仕入額(trade_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),経費(monthly_costs.value),営業利益を分子に使用
会社,主要KPI指標,家賃比率,家賃÷売上×100,monthly_costs.value(費目=家賃) ÷ ZTOTAL.sales_excluded × 100,家賃(monthly_costs.value),売上税抜(ZTOTAL.sales_excluded),-,-,費目フィルタで家賃を抽出
会社,主要KPI指標,ROI,営業利益÷投資×100,(ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value) ÷ monthly_budgets.value × 100,営業利益,予算(monthly_budgets.value),-,-,営業利益を分子に使用
会社,当月実績,営業利益,売上-仕入-人件費-経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,売上税抜(ZTOTAL.sales_excluded),FD仕入額(trade_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),経費(monthly_costs.value),最重要指標
会社,当月実績,売上税抜,SUM,SUM(ZTOTAL.sales_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-,日別集計の合計
会社,当月実績,FD仕入率,仕入÷売上×100,trade_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,FD仕入額(trade_total.total_tax_excluded),売上税抜(ZTOTAL.sales_excluded),-,-,-
会社,当月実績,人件費率,人件費÷売上×100,labor_costs_logs.labor_costs ÷ ZTOTAL.sales_excluded × 100,人件費(labor_costs_logs.labor_costs),売上税抜(ZTOTAL.sales_excluded),-,-,-
会社,当月実績,FL率,(F+L)÷売上×100,(trade_total.total_tax_excluded + labor_costs_logs.labor_costs) ÷ ZTOTAL.sales_excluded × 100,FD仕入額(trade_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),売上税抜(ZTOTAL.sales_excluded),-,Food+Labor比率
会社,店舗別サマリー,営業利益,売上-仕入-人件費-経費,ZTOTAL.sales_excluded - trade_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,売上税抜(ZTOTAL.sales_excluded),FD仕入額(trade_total.total_tax_excluded),人件費(labor_costs_logs.labor_costs),経費(monthly_costs.value),店舗別に集計
会社,店舗別サマリー,売上達成率,実績÷目標×100,ZTOTAL.sales_excluded ÷ monthly_budgets.value × 100,売上税抜(ZTOTAL.sales_excluded),売上目標(monthly_budgets.value),-,-,-
